EXP_INFO, , ,Checkpoint,ckpt/0301/00_Norm2d3d_NoAug, , ,Config,ckpt/0301/00_Norm2d3d_NoAug_WRONG/01_func333_model06_T16_DataTask00.yaml, , ,Arg,"train.py --config ckpt/0301/00_Norm2d3d_NoAug_WRONG/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/00_Norm2d3d_NoAug -gpu 6,7 -bs 384", , ,PID,1076628
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.34651,85.76,69.97,78.22,78.77,83.93,78.83,104.85,76.3,87.07,95.97,119.96,78.1,83.42,77.51,92.68,80.8,27.48,19.99,24.26,30.03,35.63,43.42,38.69,41.37,44.94,48.67,67.52,67.52,71.15,71.15,69.06,84.82,53.31,62.01,37.84,53.25,70.79,86.16,75.65,55.72,68.27,82.82,95.79,120.01,120.01,107.63,107.63,193.83,197.23,190.43,85.68,60.86,78.63,95.88,107.34,197.92,191.76,195.34,200.18,204.42,159.94,159.94,149.07,149.07
2,0.00019800,0.16821,70.07,56.59,66.09,62.91,65.27,67.84,82.67,60.87,68.62,76.64,93.45,67.42,66.48,68.13,79.02,69.08,18.11,11.26,13.66,20.45,27.07,36.19,30.39,33.72,38.1,42.57,45.41,45.41,136.55,136.55,58.47,78.66,38.27,46.82,21.83,34.78,55.88,74.79,62.28,40.17,53.55,70.27,85.14,86.11,86.11,196.35,196.35,190.69,194.78,186.6,76.21,48.04,65.03,87.93,103.86,194.47,187.41,191.41,197.06,202.0,125.55,125.55,279.08,279.08
3,0.00019602,0.13876,63.99,53.67,60.56,59.44,60.39,63.77,79.94,54.96,64.46,69.37,86.04,61.55,60.02,56.22,69.2,60.32,16.67,12.42,12.75,17.68,23.82,34.75,29.99,32.31,36.22,40.48,39.75,39.75,124.03,124.03,46.57,55.43,37.71,43.49,32.8,29.14,46.11,65.9,61.29,46.52,52.33,66.32,79.99,74.6,74.6,287.36,287.36,203.48,209.4,197.55,69.47,42.92,56.57,80.42,97.97,203.78,196.97,199.75,206.16,212.23,113.56,113.56,264.65,264.65
4,0.00019406,0.11857,60.46,50.65,59.07,52.6,55.42,60.27,73.65,53.48,59.58,67.6,81.46,59.4,58.95,52.44,66.91,55.43,15.64,11.19,12.55,16.62,22.19,32.67,28.88,30.49,33.64,37.66,38.66,38.66,120.31,120.31,33.82,36.32,31.33,34.67,22.13,25.07,37.14,54.33,49.47,38.52,41.62,51.56,66.2,66.62,66.62,181.4,181.4,193.62,199.45,187.78,71.53,41.85,59.35,83.28,101.64,193.05,187.57,189.71,194.89,200.01,112.25,112.25,261.66,261.66
5,0.00019212,0.10586,57.77,49.4,55.73,54.22,51.97,58.84,72.78,51.75,56.65,68.94,81.82,57.34,56.08,43.75,59.6,47.66,12.96,8.38,9.84,14.06,19.54,34.75,31.73,33.13,35.53,38.61,35.68,35.68,183.98,183.98,35.56,35.86,35.26,35.16,25.32,27.68,36.72,50.93,57.2,50.43,52.25,58.05,68.08,59.36,59.36,335.12,335.12,196.77,200.25,193.29,65.59,34.61,53.37,77.68,96.72,199.28,194.5,196.44,200.77,205.4,112.82,112.82,319.48,319.48
6,0.00019020,0.09715,54.33,46.25,52.27,49.43,48.87,57.08,68.32,48.33,50.85,64.55,77.56,54.07,53.18,41.59,56.35,46.21,10.45,5.14,7.31,11.9,17.46,30.39,26.77,28.45,31.34,34.98,34.37,34.37,141.52,141.52,25.04,25.23,24.85,25.06,13.99,17.72,27.39,41.16,38.42,29.62,32.48,40.23,51.35,55.64,55.64,187.71,187.71,190.49,195.38,185.61,59.14,25.88,46.51,72.17,92.01,190.29,185.5,187.28,191.72,196.65,102.44,102.44,280.2,280.2
7,0.00018830,0.09062,55.6,47.58,53.49,52.5,50.3,55.87,69.69,48.54,53.06,66.33,77.04,55.72,53.21,43.82,58.34,48.41,10.25,5.31,7.15,11.57,16.95,30.05,26.56,28.1,30.96,34.56,32.99,32.99,166.08,166.08,24.64,24.85,24.43,22.94,10.98,15.62,26.05,39.13,36.8,27.79,30.98,38.74,49.71,55.2,55.2,247.25,247.25,192.62,197.55,187.7,62.7,28.05,49.26,76.21,97.28,191.53,186.49,188.42,193.11,198.1,109.55,109.55,330.4,330.4
8,0.00018641,0.08548,52.25,45.85,52.38,47.23,47.83,54.42,65.52,47.0,47.97,63.2,73.73,52.37,50.27,39.08,53.67,43.31,9.8,4.72,6.74,11.17,16.56,29.96,26.48,28.13,30.9,34.35,31.91,31.91,155.25,155.25,23.5,23.6,23.39,21.91,9.62,14.72,25.14,38.18,37.66,28.69,32.17,39.75,50.03,50.9,50.9,268.12,268.12,192.9,198.18,187.62,60.54,26.96,47.85,73.96,93.41,193.33,188.18,190.29,194.9,199.93,106.6,106.6,268.22,268.22
9,0.00018455,0.08081,54.28,48.91,54.94,48.58,50.2,55.61,66.07,49.23,52.16,63.31,74.5,53.3,54.01,42.69,55.54,45.21,9.36,4.55,6.42,10.67,15.81,29.46,26.01,27.57,30.38,33.88,31.26,31.26,183.66,183.66,24.19,24.65,23.73,21.24,8.92,14.7,24.73,36.61,32.59,23.82,27.09,34.56,44.9,50.86,50.86,271.33,271.33,193.16,196.41,189.92,61.68,28.96,48.64,74.7,94.42,196.48,191.74,193.74,198.09,202.36,108.0,108.0,359.94,359.94
10,0.00018270,0.07831,51.98,44.65,51.3,46.88,47.04,53.99,66.74,45.92,47.55,62.09,74.32,51.52,50.44,39.45,54.1,43.7,9.0,4.09,6.05,10.33,15.53,29.0,25.55,27.12,29.91,33.41,30.69,30.69,151.21,151.21,24.35,24.59,24.11,21.02,9.31,14.52,24.13,36.12,33.96,25.99,28.87,35.69,45.29,50.8,50.8,209.9,209.9,190.54,195.24,185.84,58.33,22.51,44.62,72.6,93.58,190.24,185.43,187.34,191.73,196.48,107.32,107.32,343.78,343.78
