EXP_INFO, , ,Checkpoint,ckpt/0301/01_NoNorm_Aug, , ,Config,configs/03_train_on_non_AR_ICL/01_func333_model06_T16_DataTask00.yaml, , ,Arg,"train.py --config configs/03_train_on_non_AR_ICL/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/01_NoNorm_Aug -gpu 4,5 -bs 384 -aug 1 -normalize_2d 0 -normalize_3d 0", , ,PID,1378298
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.30009,582.54,517.59,568.92,588.69,536.88,585.7,572.06,524.04,634.76,660.67,754.14,587.81,551.62,527.9,602.55,524.71,267.23,267.39,267.28,267.18,267.07,266.47,266.1,266.36,266.59,266.82,327.03,327.03,272.61,272.61,208.45,208.32,208.59,209.92,210.93,210.27,209.58,208.89,209.6,208.75,209.36,209.88,210.4,349.06,349.06,216.16,216.16,226.77,226.66,226.88,220.84,221.61,220.97,220.7,220.07,227.6,227.12,227.24,227.78,228.24,244.8,244.8,233.64,233.64
2,0.00019800,0.24497,552.82,465.56,522.09,554.71,491.28,554.96,533.11,480.2,587.84,683.58,820.68,570.33,506.12,473.53,567.27,481.01,253.52,253.58,253.53,253.51,253.46,251.9,251.79,251.88,251.94,251.96,295.02,295.02,348.21,348.21,196.61,196.37,196.85,197.53,197.71,197.61,197.51,197.3,197.03,197.04,197.11,197.0,196.96,742.7,742.7,234.02,234.02,218.59,218.58,218.6,208.31,208.93,208.33,208.19,207.77,217.81,217.71,217.59,217.9,218.04,249.51,249.51,247.36,247.36
3,0.00019602,0.24857,547.07,461.7,523.88,544.48,490.85,551.44,534.96,480.09,595.6,650.66,788.88,552.37,504.25,473.53,572.55,480.73,245.89,245.93,245.9,245.88,245.85,248.25,248.14,248.24,248.3,248.31,275.33,275.33,282.0,282.0,194.32,194.09,194.55,194.34,194.21,194.31,194.43,194.39,194.16,194.51,194.36,194.01,193.77,694.62,694.62,241.46,241.46,217.45,217.39,217.52,209.42,209.66,209.32,209.43,209.26,218.63,218.55,218.39,218.74,218.84,286.52,286.52,260.45,260.45
4,0.00019406,0.24886,475.98,409.31,460.84,482.32,437.11,474.07,483.98,421.29,528.57,553.27,644.39,470.06,442.09,407.61,503.06,421.78,216.4,216.37,216.38,216.42,216.44,217.19,217.19,217.22,217.2,217.15,216.93,216.93,216.57,216.57,203.36,203.12,203.59,203.56,203.28,203.49,203.7,203.75,203.21,203.64,203.41,203.04,202.77,253.46,253.46,203.83,203.83,221.23,221.18,221.28,220.28,220.21,220.12,220.4,220.39,220.81,220.8,220.68,220.9,220.87,231.56,231.56,220.52,220.52
5,0.00019212,0.25847,493.33,420.74,476.96,500.03,449.62,489.23,492.72,435.71,547.35,578.19,677.98,488.04,457.81,426.24,522.49,436.85,223.81,223.77,223.79,223.83,223.85,223.99,223.97,224.01,224.0,223.96,236.81,236.81,223.99,223.99,194.19,193.96,194.42,194.19,193.92,194.13,194.34,194.38,193.91,194.38,194.14,193.72,193.39,208.72,208.72,194.21,194.21,215.44,215.38,215.5,214.98,214.95,214.8,215.08,215.09,215.54,215.57,215.4,215.59,215.58,226.3,226.3,215.13,215.13
6,0.00019020,0.25528,545.08,470.9,530.25,550.72,498.21,539.87,539.56,486.82,602.27,630.41,733.33,541.33,509.29,479.96,575.69,487.59,247.13,247.08,247.1,247.15,247.17,247.17,247.15,247.19,247.19,247.15,262.09,262.09,247.1,247.1,199.91,199.65,200.17,199.89,199.59,199.8,200.05,200.12,199.69,200.16,199.93,199.5,199.18,211.54,211.54,199.92,199.92,217.12,217.04,217.2,216.77,216.73,216.54,216.91,216.89,217.22,217.2,217.06,217.34,217.27,228.58,228.58,217.29,217.29
7,0.00018830,0.25491,562.82,489.19,547.94,568.91,516.1,558.3,557.74,504.65,618.82,648.19,751.19,558.36,527.16,497.21,592.84,505.71,254.63,254.58,254.6,254.65,254.68,254.59,254.57,254.61,254.61,254.57,270.33,270.33,254.43,254.43,194.86,194.61,195.11,194.99,194.71,194.91,195.14,195.2,194.62,195.07,194.85,194.43,194.11,208.05,208.05,194.99,194.99,214.85,214.78,214.91,214.98,215.09,214.81,214.99,215.02,214.99,214.97,214.78,215.1,215.1,226.58,226.58,214.44,214.44
8,0.00018641,0.25506,540.21,477.41,527.19,543.56,501.57,533.63,541.81,488.04,598.89,612.68,707.7,534.22,508.43,474.54,569.84,483.7,245.33,245.3,245.31,245.35,245.36,245.33,245.33,245.36,245.35,245.3,251.95,251.95,244.53,244.53,205.38,205.18,205.57,205.11,204.88,205.04,205.24,205.27,205.15,205.58,205.37,204.98,204.67,215.35,215.35,205.09,205.09,218.41,218.36,218.47,218.57,218.51,218.42,218.65,218.69,218.54,218.48,218.4,218.61,218.65,228.4,228.4,218.48,218.48
9,0.00018455,0.36330,432.2,404.75,443.33,421.14,426.25,400.9,443.18,417.37,506.72,429.41,449.87,407.87,425.26,408.69,478.58,419.62,207.8,207.87,207.82,207.77,207.73,207.69,207.7,207.71,207.68,207.66,219.49,219.49,207.48,207.48,301.88,301.68,302.08,302.17,302.05,302.15,302.26,302.2,301.87,302.05,301.94,301.78,301.71,496.58,496.58,299.86,299.86,333.39,333.35,333.43,308.34,308.44,308.27,308.37,308.3,333.38,333.35,333.27,333.41,333.48,386.64,386.64,305.89,305.89
10,0.00018270,0.39161,443.49,445.67,459.33,424.3,462.17,408.5,467.88,448.47,507.86,407.66,410.25,409.5,443.43,428.13,479.92,449.33,210.19,210.31,210.22,210.15,210.08,209.94,210.06,209.98,209.9,209.81,216.75,216.75,210.19,210.19,418.34,418.25,418.44,418.4,418.25,418.41,418.51,418.44,418.17,418.4,418.23,418.08,417.99,437.72,437.72,418.43,418.43,421.73,421.73,421.73,421.73,421.73,421.73,421.71,421.73,421.75,421.77,421.76,421.73,421.74,441.65,441.65,421.67,421.67
