EXP_INFO, , ,Checkpoint,ckpt/0301/02_NoNormAug_ModelDynaTUP, , ,Config,ckpt/0301/02_NoNormAug_ModelDynaTUP_WRONG/01_func333_model06_T16_DataTask00.yaml, , ,Arg,train.py --config ckpt/0301/02_NoNormAug_ModelDynaTUP_WRONG/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/02_NoNormAug_ModelDynaTUP -gpu 0 -bs 352 -aug 0 -normalize_2d 0 -normalize_3d 0, , ,PID,268351
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.06315,83.81,67.8,73.86,73.89,79.89,78.28,101.88,70.97,80.81,95.24,124.24,76.04,81.56,80.16,88.52,83.94,23.75,14.54,20.29,26.99,33.19,41.56,36.36,39.27,43.25,47.34,71.83,71.83,76.59,76.59,58.39,76.63,40.15,54.55,25.88,45.55,65.1,81.68,66.25,42.36,58.32,74.96,89.36,97.92,97.92,171.99,171.99,221.89,226.79,216.99,65.69,29.46,57.99,80.51,94.8,223.75,217.48,221.25,226.13,230.15,294.01,294.01,178.97,178.97
2,0.00019800,0.03812,73.44,60.72,66.8,65.1,74.22,67.24,90.3,64.45,71.54,77.36,96.02,67.9,71.1,72.21,82.26,74.46,19.67,10.53,15.69,22.86,29.59,36.66,30.91,34.11,38.53,43.07,55.17,55.17,72.21,72.21,55.29,74.8,35.77,45.78,17.64,34.91,56.03,74.53,61.62,37.82,53.33,70.29,85.03,80.75,80.75,158.67,158.67,218.13,223.26,213.0,61.5,22.13,51.78,77.68,94.4,219.71,213.2,216.98,222.14,226.53,271.53,271.53,171.9,171.9
3,0.00019602,0.03372,69.74,56.43,65.08,60.01,68.3,64.8,83.59,60.45,67.97,70.61,98.77,65.02,67.02,67.34,81.17,69.53,16.95,8.36,12.39,19.95,27.07,35.65,29.51,33.05,37.67,42.35,49.13,49.13,68.49,68.49,52.17,71.96,32.39,43.01,18.18,29.83,52.06,71.96,59.1,34.5,50.92,68.04,82.92,75.12,75.12,174.41,174.41,220.04,224.99,215.1,60.89,23.09,49.43,76.61,94.44,221.9,215.6,219.3,224.19,228.48,244.89,244.89,188.27,188.27
4,0.00019406,0.03141,70.87,58.3,65.87,67.18,69.01,67.41,84.78,63.18,69.14,74.33,91.58,67.21,67.5,69.1,76.57,71.89,18.97,11.98,14.82,21.16,27.91,36.62,30.73,34.23,38.51,43.03,46.37,46.37,69.84,69.84,49.49,68.11,30.88,40.7,17.18,27.96,48.68,68.98,59.55,37.37,53.23,66.94,80.63,71.11,71.11,190.77,190.77,218.87,223.73,214.02,63.3,23.69,51.43,79.54,98.53,221.2,215.0,218.54,223.5,227.76,208.53,208.53,207.66,207.66
5,0.00019212,0.02907,64.95,55.12,61.71,56.64,60.96,62.38,76.53,57.44,63.93,68.6,89.38,62.05,62.13,61.17,74.05,62.19,15.14,7.45,11.29,17.59,24.24,35.48,30.54,33.41,37.03,40.94,42.23,42.23,80.21,80.21,45.64,59.22,32.06,34.73,12.72,24.13,41.77,60.28,63.05,46.43,57.58,68.56,79.63,63.36,63.36,223.59,223.59,216.94,220.27,213.6,60.61,17.67,48.15,77.51,99.09,221.63,216.78,219.29,223.24,227.21,199.41,199.41,237.27,237.27
6,0.00019020,0.02729,64.3,52.1,61.16,54.6,60.85,61.96,77.66,57.1,63.96,69.26,90.78,60.9,63.0,59.39,71.6,60.16,13.81,6.72,10.23,16.05,22.25,35.19,30.62,33.13,36.65,40.37,40.71,40.71,89.08,89.08,40.68,52.25,29.11,30.46,10.98,21.83,36.71,52.3,62.63,48.42,56.74,67.41,77.93,62.06,62.06,230.95,230.95,216.27,219.16,213.37,59.37,16.09,47.01,76.65,97.72,221.68,217.24,219.25,223.15,227.06,179.34,179.34,242.55,242.55
7,0.00018830,0.02575,63.08,52.85,60.75,57.52,60.02,60.98,73.86,55.49,61.09,65.93,84.07,61.38,60.36,59.45,70.96,61.47,11.97,5.24,8.58,14.02,20.06,34.7,30.46,32.72,36.05,39.55,38.99,38.99,93.9,93.9,40.2,51.35,29.06,25.15,7.37,17.61,30.81,44.8,61.29,47.72,55.2,65.97,76.27,60.08,60.08,236.53,236.53,216.36,219.06,213.66,59.21,13.09,46.41,77.66,99.69,221.78,217.58,219.32,223.16,227.06,169.95,169.95,245.84,245.84
8,0.00018641,0.02488,60.63,51.71,59.43,53.56,57.15,60.74,70.58,53.85,58.59,62.91,79.39,58.72,59.6,56.67,67.68,58.94,11.16,4.14,7.79,13.36,19.36,34.16,30.04,32.21,35.44,38.94,38.37,38.37,98.03,98.03,38.52,47.55,29.48,23.94,7.58,16.96,29.33,41.88,61.46,50.6,56.03,65.07,74.15,57.91,57.91,237.56,237.56,218.53,220.73,216.33,57.08,11.97,43.76,74.79,97.82,224.22,220.37,221.74,225.35,229.42,174.24,174.24,249.34,249.34
9,0.00018455,0.02410,61.13,51.79,59.35,55.84,57.36,61.77,73.33,54.02,56.52,65.2,79.81,61.45,57.84,56.78,68.62,57.33,11.99,5.59,8.92,13.96,19.49,34.53,30.57,32.64,35.76,39.14,36.97,36.97,90.78,90.78,39.29,48.81,29.77,23.11,7.85,16.5,28.04,40.03,60.77,49.46,55.14,64.83,73.66,55.13,55.13,205.79,205.79,217.25,219.43,215.08,55.81,11.91,43.23,73.36,94.73,222.75,218.85,220.32,223.99,227.84,160.37,160.37,216.59,216.59
10,0.00018270,0.02349,62.43,55.2,61.99,55.52,59.14,60.26,72.08,57.01,59.88,65.07,83.36,60.53,60.77,57.52,68.73,59.32,10.45,3.61,7.15,12.57,18.45,34.36,29.98,32.51,35.82,39.13,36.02,36.02,89.7,89.7,39.22,49.09,29.35,21.42,5.82,14.9,26.51,38.47,60.02,48.07,54.47,64.5,73.06,53.27,53.27,187.02,187.02,215.49,218.31,212.66,53.83,10.17,40.72,70.77,93.68,220.6,216.72,218.17,221.77,225.71,155.84,155.84,206.93,206.93
11,0.00018088,0.02297,61.31,52.43,60.07,54.99,58.26,61.41,73.31,55.64,57.62,64.22,81.0,59.79,58.01,56.95,67.49,58.42,10.97,4.27,7.81,13.02,18.75,34.04,29.79,32.39,35.48,38.51,36.36,36.36,87.73,87.73,41.19,51.39,30.99,21.23,5.75,14.34,25.99,38.84,58.06,45.3,53.1,63.08,70.76,52.19,52.19,188.57,188.57,217.73,220.23,215.23,52.78,9.88,40.04,69.3,91.92,222.73,218.53,220.47,224.16,227.76,167.6,167.6,204.63,204.63
13,0.00017728,0.02211,61.75,53.17,60.12,54.39,59.66,60.68,73.31,57.48,57.92,63.97,80.08,59.86,59.93,58.38,66.91,60.34,11.04,5.17,8.08,12.81,18.13,33.86,29.72,32.05,35.26,38.42,35.62,35.62,91.89,91.89,41.2,50.82,31.58,20.49,7.06,14.47,24.77,35.66,56.92,45.17,51.76,61.62,69.13,51.21,51.21,184.37,184.37,217.64,220.24,215.04,53.37,10.86,39.99,69.74,92.88,222.55,218.59,220.26,223.79,227.56,153.95,153.95,200.26,200.26
15,0.00017375,0.02126,60.45,51.66,58.51,56.2,56.7,59.85,71.85,54.39,56.96,64.31,78.63,58.23,56.88,57.19,67.22,58.18,9.33,2.91,6.31,11.33,16.78,33.39,29.25,31.59,34.76,37.94,34.27,34.27,94.68,94.68,40.22,50.1,30.35,18.4,4.11,12.4,22.88,34.2,57.43,45.79,52.34,61.75,69.85,49.2,49.2,188.26,188.26,217.72,219.7,215.75,50.0,8.19,37.37,65.9,88.53,223.0,218.49,220.64,224.49,228.36,146.77,146.77,205.15,205.15
17,0.00017029,0.02062,61.18,56.19,61.99,54.3,59.32,59.92,70.99,56.79,57.81,64.17,78.55,57.75,59.14,56.86,64.35,59.62,8.63,2.39,5.54,10.56,16.02,33.98,29.94,32.35,35.25,38.37,33.44,33.44,93.66,93.66,40.67,49.41,31.92,17.81,4.06,12.09,22.33,32.77,56.7,46.07,52.61,60.31,67.81,47.43,47.43,186.41,186.41,216.53,218.63,214.42,49.29,8.0,36.62,64.89,87.63,222.06,217.71,219.86,223.39,227.28,148.0,148.0,202.29,202.29
19,0.00016690,0.02008,58.99,51.35,58.08,51.96,55.58,58.75,69.88,53.02,56.19,62.18,76.5,57.09,55.55,56.52,64.8,57.46,8.99,2.91,6.08,10.9,16.07,33.13,29.13,31.55,34.43,37.41,32.71,32.71,91.46,91.46,39.43,48.98,29.88,18.07,4.29,12.44,22.6,32.97,57.74,46.2,53.24,61.95,69.56,46.92,46.92,188.63,188.63,217.32,219.64,215.0,48.68,8.35,36.52,63.73,86.11,223.08,219.02,221.04,224.4,227.85,141.26,141.26,203.99,203.99
