EXP_INFO, , ,Checkpoint,ckpt/0301/02_NoNormAug_ModelDynaTUP, , ,Config,configs/03_train_on_non_AR_ICL/01_func333_model06_T16_DataTask00.yaml, , ,Arg,train.py --config configs/03_train_on_non_AR_ICL/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/02_NoNormAug_ModelDynaTUP -gpu 0 -bs 352 -aug 0 -normalize_2d 0 -normalize_3d 0, , ,PID,1525947
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.06387,81.3,66.05,71.24,73.24,77.12,76.19,98.77,69.22,77.86,94.55,122.93,75.74,79.47,75.67,84.92,76.6,29.64,37.88,32.67,26.96,21.04,46.48,40.67,44.49,48.49,52.28,68.27,68.27,64.72,64.72,58.6,56.73,60.47,66.36,89.0,75.95,59.6,40.9,84.08,63.63,78.93,91.93,101.82,92.43,92.43,148.27,148.27,218.86,218.56,219.16,76.49,96.9,86.84,71.49,50.71,225.81,219.91,223.98,228.07,231.27,268.99,268.99,157.04,157.04
2,0.00019800,0.03938,72.09,60.67,66.24,62.71,70.57,66.51,88.02,63.2,68.07,79.36,99.24,66.57,70.66,68.79,80.07,70.73,21.32,30.31,23.94,17.37,13.68,39.68,33.63,37.41,41.7,45.98,56.47,56.47,77.36,77.36,54.97,63.99,45.96,48.32,76.38,57.65,36.71,22.52,71.06,48.71,64.27,79.37,91.88,80.0,80.0,192.0,192.0,221.45,224.22,218.67,64.31,95.07,78.64,54.15,29.37,225.35,219.1,223.14,227.66,231.51,246.98,246.98,205.44,205.44
3,0.00019602,0.03352,66.92,55.19,60.6,59.96,63.83,62.5,78.98,58.29,61.04,72.45,96.2,62.66,63.76,65.05,76.42,66.82,16.87,26.33,19.34,12.78,9.02,37.02,32.15,35.01,38.4,42.52,48.73,48.73,94.05,94.05,44.5,55.43,33.57,41.46,71.31,50.38,28.61,15.56,66.5,49.46,60.96,71.39,84.19,71.29,71.29,207.57,207.57,216.91,220.54,213.27,61.61,96.56,77.89,50.32,21.67,222.09,217.32,220.03,223.63,227.36,232.25,232.25,224.71,224.71
4,0.00019406,0.03025,66.72,54.93,61.62,61.66,64.12,63.92,82.51,60.46,62.46,72.93,89.47,64.22,64.68,62.85,70.73,64.29,15.07,24.69,17.66,10.85,7.1,36.75,32.12,34.92,38.04,41.92,44.99,44.99,108.69,108.69,41.8,52.56,31.05,38.48,67.64,46.21,25.73,14.33,65.04,50.11,59.55,69.06,81.46,66.7,66.7,220.68,220.68,219.47,222.6,216.34,60.81,98.97,77.5,48.03,18.74,224.77,219.6,222.65,226.4,230.41,212.49,212.49,237.83,237.83
5,0.00019212,0.02829,66.67,57.05,62.92,60.9,62.72,64.84,78.06,60.73,62.37,72.51,90.22,64.74,64.29,62.7,73.35,62.65,15.34,23.68,17.33,11.56,8.78,36.97,32.16,35.23,38.31,42.18,42.92,42.92,124.04,124.04,41.84,52.73,30.94,32.88,58.18,39.56,22.18,11.59,65.77,51.18,60.45,69.68,81.76,61.87,61.87,235.99,235.99,212.07,215.81,208.34,59.67,99.23,76.42,46.21,16.81,217.52,212.45,215.46,219.12,223.05,204.17,204.17,254.23,254.23
6,0.00019020,0.02674,62.32,51.03,59.0,54.93,57.58,60.36,75.14,55.69,58.31,67.4,89.28,59.92,60.09,58.44,68.57,59.08,12.09,20.39,14.26,8.57,5.13,34.96,30.23,33.3,36.28,40.04,41.17,41.17,128.57,128.57,39.16,49.81,28.51,26.84,48.68,32.55,18.07,8.07,64.2,50.41,59.35,67.81,79.25,59.06,59.06,242.03,242.03,214.42,217.58,211.25,56.89,97.55,74.07,43.18,12.78,219.97,215.02,217.75,221.49,225.64,195.09,195.09,257.92,257.92
7,0.00018830,0.02567,62.27,52.08,59.16,58.75,58.72,61.25,75.12,54.55,59.89,65.76,81.82,61.57,59.32,58.06,68.68,59.36,11.74,19.75,13.8,8.3,5.1,34.93,30.19,33.16,36.35,40.02,40.24,40.24,124.81,124.81,39.39,49.98,28.8,25.39,44.76,30.64,17.66,8.5,62.42,48.85,57.24,66.31,77.27,59.64,59.64,234.06,234.06,217.5,220.38,214.62,56.91,98.18,73.71,42.62,13.14,223.03,218.0,220.79,224.7,228.62,208.16,208.16,248.62,248.62
8,0.00018641,0.02475,60.75,52.06,58.22,53.5,56.41,59.13,73.5,54.59,58.85,64.98,82.45,58.58,59.57,55.77,66.01,57.65,11.16,18.94,13.05,7.78,4.86,34.72,30.05,32.94,36.13,39.75,38.53,38.53,126.79,126.79,39.39,49.85,28.94,23.9,42.45,29.13,16.59,7.45,62.65,49.46,57.4,66.35,77.4,57.38,57.38,234.99,234.99,216.74,219.54,213.95,55.89,96.72,72.68,41.95,12.19,222.61,217.93,220.41,224.03,228.07,188.44,188.44,251.5,251.5
9,0.00018455,0.02399,60.88,53.01,59.8,53.84,57.07,61.16,72.72,55.05,57.71,63.19,80.3,59.54,59.17,56.78,66.68,57.19,10.45,18.31,12.5,7.17,3.81,34.62,30.05,32.95,35.98,39.5,37.46,37.46,123.34,123.34,38.28,48.55,28.01,22.37,40.5,27.38,15.28,6.29,63.38,50.5,58.36,67.2,77.47,54.98,54.98,232.47,232.47,215.43,218.15,212.7,54.64,95.08,71.22,41.27,10.98,221.49,216.96,219.23,222.84,226.94,164.29,164.29,246.51,246.51
