EXP_INFO, , ,Checkpoint,ckpt/0301/03_Norm2d3d_NoAug_TaskIDasPrompt, , ,Config,ckpt/0301/00_Norm2d3d_NoAug/01_func333_model06_T16_DataTask00.yaml, , ,Arg,"train.py --config ckpt/0301/00_Norm2d3d_NoAug/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/03_Norm2d3d_NoAug_TaskIDasPrompt -gpu 4,5 -bs 384 -use_task_id_as_prompt", , ,PID,408825
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,1.00067,435.93,445.22,443.08,427.39,456.34,410.61,465.26,444.04,477.01,408.39,404.52,406.53,433.85,416.89,456.31,443.54,203.98,204.14,204.01,203.92,203.84,203.93,204.07,203.98,203.89,203.78,213.8,213.8,204.28,204.28,428.35,428.26,428.43,428.42,428.32,428.45,428.52,428.41,428.17,428.4,428.22,428.08,428.0,446.4,446.4,428.42,428.42,414.59,414.47,414.72,419.82,419.94,419.86,419.74,419.72,417.32,417.11,417.27,417.37,417.52,440.52,440.52,420.36,420.36
2,0.00019800,1.03631,440.56,451.48,443.15,435.89,464.16,418.64,471.36,449.86,471.4,417.34,410.7,413.71,438.05,420.15,453.91,448.61,204.87,205.01,204.9,204.82,204.75,204.57,204.73,204.62,204.52,204.4,215.76,215.76,204.87,204.87,419.93,419.84,420.03,419.99,419.84,420.0,420.1,420.03,419.77,419.99,419.82,419.67,419.59,441.45,441.45,420.02,420.02,420.0,420.01,420.0,420.8,420.81,420.81,420.77,420.8,420.58,420.62,420.6,420.54,420.58,443.67,443.67,420.75,420.75
3,0.00019602,1.03557,438.19,447.97,443.18,430.89,461.27,413.67,467.92,447.14,475.07,412.15,406.89,409.67,436.21,418.79,455.79,446.26,204.55,204.69,204.58,204.5,204.42,204.25,204.41,204.3,204.2,204.09,214.59,214.59,204.55,204.55,417.76,417.67,417.85,417.82,417.67,417.83,417.93,417.85,417.59,417.82,417.64,417.49,417.4,437.94,437.94,417.85,417.85,421.29,421.29,421.29,421.29,421.29,421.3,421.27,421.29,421.31,421.33,421.32,421.28,421.3,442.62,442.62,421.23,421.23
4,0.00019406,1.03520,438.25,448.01,443.13,431.22,461.31,413.89,467.96,447.04,475.01,412.3,406.9,409.87,436.17,418.77,455.87,446.33,204.5,204.64,204.53,204.45,204.38,204.21,204.36,204.26,204.16,204.04,214.55,214.55,204.5,204.5,421.64,421.56,421.73,421.7,421.56,421.71,421.81,421.73,421.44,421.69,421.5,421.33,421.23,441.29,441.29,421.74,421.74,420.44,420.44,420.44,420.43,420.44,420.44,420.41,420.44,420.45,420.48,420.47,420.42,420.44,441.69,441.69,420.38,420.38
5,0.00019212,1.03496,439.57,450.15,442.87,434.12,463.0,416.82,469.9,448.75,472.33,415.42,409.2,412.22,437.22,419.5,454.37,447.72,204.63,204.77,204.65,204.58,204.5,204.33,204.49,204.38,204.28,204.16,215.27,215.27,204.63,204.63,418.09,418.0,418.18,418.15,418.0,418.16,418.26,418.18,417.9,418.14,417.96,417.8,417.7,439.37,439.37,418.18,418.18,420.8,420.8,420.79,420.79,420.8,420.8,420.76,420.79,420.81,420.84,420.82,420.77,420.8,443.18,443.18,420.74,420.74
6,0.00019020,1.03526,438.46,448.53,442.83,431.87,461.7,414.61,468.53,447.47,473.8,413.13,407.48,410.34,436.33,418.75,454.97,446.51,204.44,204.58,204.47,204.39,204.32,204.14,204.3,204.2,204.09,203.98,214.71,214.71,204.44,204.44,418.16,418.06,418.25,418.22,418.06,418.22,418.33,418.25,417.99,418.22,418.04,417.89,417.8,438.75,438.75,418.25,418.25,420.75,420.75,420.75,420.74,420.75,420.75,420.72,420.75,420.76,420.79,420.77,420.73,420.75,442.45,442.45,420.69,420.69
7,0.00018830,1.03474,437.97,447.8,442.76,431.01,461.12,413.73,467.93,446.84,474.39,412.2,406.74,409.59,435.88,418.38,455.23,445.97,204.31,204.45,204.34,204.26,204.19,204.01,204.17,204.07,203.97,203.85,214.44,214.44,204.31,204.31,420.28,420.19,420.37,420.34,420.19,420.35,420.44,420.37,420.1,420.33,420.15,420.0,419.91,440.25,440.25,420.37,420.37,420.42,420.42,420.42,420.41,420.42,420.42,420.38,420.42,420.43,420.46,420.44,420.4,420.42,441.79,441.79,420.36,420.36
8,0.00018641,1.03474,438.26,448.23,442.81,431.5,461.44,414.22,468.21,447.21,474.1,412.71,407.16,410.04,436.15,418.63,455.15,446.32,204.39,204.54,204.42,204.35,204.27,204.1,204.25,204.15,204.05,203.93,214.6,214.6,204.39,204.39,418.42,418.33,418.52,418.48,418.33,418.49,418.59,418.52,418.24,418.48,418.3,418.14,418.05,438.83,438.83,418.52,418.52,420.67,420.67,420.67,420.66,420.67,420.67,420.64,420.67,420.68,420.71,420.7,420.65,420.67,442.24,442.24,420.61,420.61
9,0.00018455,1.03466,438.75,448.94,442.85,432.43,462.01,415.15,468.79,447.8,473.5,413.67,407.89,410.83,436.57,418.98,454.91,446.86,204.5,204.64,204.53,204.45,204.37,204.2,204.36,204.26,204.15,204.04,214.86,214.86,204.5,204.5,417.85,417.76,417.94,417.91,417.76,417.92,418.02,417.94,417.67,417.91,417.72,417.57,417.47,438.62,438.62,417.95,417.95,420.82,420.82,420.82,420.81,420.82,420.82,420.79,420.82,420.83,420.86,420.85,420.8,420.82,442.69,442.69,420.76,420.76
