EXP_INFO, , ,Checkpoint,ckpt/0301/04_base00_DumbCOPY, , ,Config,ckpt/0301/00_Norm2d3d_NoAug/01_func333_model06_T16_DataTask00.yaml, , ,Arg,"train.py --config ckpt/0301/00_Norm2d3d_NoAug/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/04_base00_DumbCOPY -gpu 4,5 -bs 384 -dumb_task COPY", , ,PID,3107287
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.29806,79.49,65.09,72.16,71.24,76.15,76.25,98.31,69.98,79.34,90.74,112.38,75.21,77.05,70.36,83.77,74.31,26.47,33.34,28.36,24.14,20.05,42.68,38.27,40.91,44.05,47.49,64.59,64.59,42.1,42.1,54.0,59.57,48.43,71.09,87.28,75.03,66.82,55.24,80.28,66.26,75.78,84.17,94.91,109.69,109.69,57.23,57.23,201.92,202.76,201.08,89.14,104.45,95.55,84.95,71.6,208.87,204.83,207.39,210.43,212.85,154.52,154.52,85.34,85.34
2,0.00019800,0.14742,63.77,51.83,59.94,55.54,58.56,63.68,80.62,56.28,58.7,71.95,95.13,62.43,61.51,54.25,68.71,57.47,18.55,27.6,21.41,14.76,10.43,35.56,30.96,33.16,36.91,41.22,44.01,44.01,89.14,89.14,45.52,49.03,42.02,59.39,82.09,66.03,50.39,39.06,69.04,52.88,60.6,74.1,88.57,83.14,83.14,166.32,166.32,195.78,197.61,193.95,75.4,102.99,88.4,66.82,43.4,204.4,199.09,201.88,206.32,210.32,123.96,123.96,128.01,128.01
3,0.00019602,0.11548,60.07,49.68,56.81,56.64,55.47,59.65,78.6,51.54,59.86,68.55,81.36,59.35,57.3,48.34,66.58,51.29,16.72,24.89,18.42,13.04,10.55,33.76,29.45,31.09,34.98,39.53,39.01,39.01,82.24,82.24,43.86,45.8,41.92,57.45,78.79,61.27,47.09,42.66,64.53,48.7,54.18,69.58,85.67,71.67,71.67,145.0,145.0,196.65,199.45,193.86,69.84,98.78,82.67,59.12,38.82,203.65,199.01,200.66,205.1,209.83,117.49,117.49,97.99,97.99
4,0.00019406,0.10024,57.25,48.0,54.47,49.1,52.81,57.53,72.03,50.71,54.52,67.38,82.01,57.02,57.01,45.98,61.98,48.28,11.83,19.87,13.52,8.27,5.68,31.9,27.83,29.46,32.84,37.47,37.2,37.2,64.72,64.72,31.65,34.33,28.96,35.0,58.31,39.85,24.42,17.41,49.57,34.41,40.09,53.11,70.66,64.89,64.89,106.94,106.94,191.83,194.15,189.52,62.29,93.95,76.84,50.31,28.06,197.58,193.37,194.8,198.78,203.37,109.94,109.94,77.03,77.03
5,0.00019212,0.08898,56.68,49.26,55.77,50.98,52.09,57.3,68.73,51.6,54.61,63.98,79.45,55.17,54.81,46.46,60.24,49.76,11.92,18.39,13.03,8.86,7.4,30.61,26.71,28.42,31.59,35.73,34.71,34.71,76.76,76.76,32.58,34.56,30.61,33.28,49.46,36.15,25.89,21.61,42.87,32.94,35.94,44.79,57.82,58.09,58.09,146.78,146.78,196.87,199.25,194.49,60.16,93.6,74.04,46.91,26.11,203.15,199.05,200.36,204.41,208.8,108.07,108.07,86.4,86.4
6,0.00019020,0.08080,53.47,44.42,52.09,47.05,47.97,54.72,68.19,49.49,49.35,64.93,77.91,53.24,52.97,40.43,56.21,43.07,10.52,17.2,11.82,7.42,5.64,30.64,27.17,28.73,31.53,35.13,33.56,33.56,158.19,158.19,26.66,26.78,26.54,29.32,45.03,32.26,22.38,17.63,48.27,41.2,43.74,49.82,58.31,56.42,56.42,210.74,210.74,186.59,188.04,185.14,59.69,94.33,74.36,46.0,24.07,193.97,190.24,191.71,194.9,199.02,107.46,107.46,133.01,133.01
7,0.00018830,0.07588,54.01,47.63,52.89,51.54,48.63,56.62,66.54,47.94,48.98,63.33,75.45,55.07,52.66,40.88,55.71,46.27,10.38,17.02,11.71,7.29,5.5,30.6,27.15,28.71,31.45,35.09,32.93,32.93,79.11,79.11,25.8,25.95,25.65,28.79,45.76,32.07,21.06,16.26,41.93,33.45,36.43,43.77,54.06,58.45,58.45,111.77,111.77,196.22,198.32,194.12,58.82,92.62,72.1,45.45,25.12,201.7,197.95,199.38,202.66,206.81,115.19,115.19,90.97,90.97
8,0.00018641,0.07133,51.53,45.03,51.36,46.66,46.23,54.73,64.01,47.18,45.6,62.1,71.6,52.4,50.57,39.96,51.95,43.51,9.42,15.99,10.79,6.44,4.44,29.11,25.44,27.2,30.1,33.73,31.86,31.86,111.62,111.62,23.68,23.85,23.51,26.01,41.08,29.67,19.56,13.73,36.08,27.63,30.93,38.29,47.45,52.67,52.67,192.75,192.75,189.14,191.28,187.0,56.08,90.9,69.93,42.67,20.83,193.9,189.33,190.97,195.32,199.96,106.42,106.42,99.26,99.26
9,0.00018455,0.06756,51.96,44.15,50.9,48.02,47.01,54.23,65.37,46.26,48.62,62.46,73.22,52.65,50.68,39.81,53.7,42.25,8.63,15.33,10.12,5.65,3.41,29.19,25.67,27.3,30.11,33.67,30.59,30.59,63.05,63.05,22.68,22.82,22.55,24.12,39.58,27.91,17.72,11.27,34.62,25.81,29.48,36.87,46.32,47.79,47.79,152.63,152.63,194.53,197.18,191.87,54.82,88.79,68.23,41.81,20.46,198.24,194.17,195.65,199.49,203.65,106.8,106.8,91.25,91.25
