EXP_INFO, , ,Checkpoint,ckpt/0301/05_base00_NoNorm, , ,Config,ckpt/0301/05_base00_NoNorm_WRONG/01_func333_model06_T16_DataTask00.yaml, , ,Arg,"train.py --config ckpt/0301/05_base00_NoNorm_WRONG/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/05_base00_NoNorm -gpu 4,5 -bs 384 -normalize_2d 0 -normalize_3d 0", , ,PID,1084700
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.17970,164.65,133.75,157.36,170.08,151.29,162.59,178.63,128.31,203.36,203.1,226.2,157.37,151.26,130.49,174.82,141.07,78.65,76.55,77.64,79.28,81.11,79.25,77.08,78.23,79.91,81.76,133.46,133.46,88.11,88.11,144.59,152.56,136.62,148.63,136.01,143.86,153.08,161.56,150.77,138.32,146.06,155.16,163.55,200.41,200.41,154.03,154.03,248.16,250.13,246.19,152.52,142.98,149.44,156.29,161.36,249.84,246.86,248.69,250.96,252.86,270.04,270.04,161.55,161.55
2,0.00019800,0.06908,85.54,70.12,78.0,76.88,81.95,80.11,101.3,76.72,81.63,94.75,120.41,78.61,82.92,82.96,94.98,81.83,24.19,15.19,20.59,27.32,33.65,41.76,36.62,39.37,43.4,47.65,57.09,57.09,36.95,36.95,62.04,81.27,42.81,51.93,25.23,42.55,61.65,78.3,65.3,44.27,57.2,72.81,86.92,91.24,91.24,81.7,81.7,225.19,229.45,220.92,67.61,33.78,59.35,81.53,95.79,227.81,222.04,225.48,229.94,233.76,182.82,182.82,91.7,91.7
3,0.00019602,0.04281,80.15,67.8,77.85,70.66,76.53,74.87,94.59,70.59,84.55,84.72,105.6,74.28,78.25,76.08,91.48,74.44,26.62,18.53,22.95,29.37,35.62,40.44,34.74,37.9,42.29,46.85,46.46,46.46,45.16,45.16,60.44,80.12,40.76,52.15,24.89,41.88,62.06,79.8,64.39,42.0,55.93,72.42,87.21,73.15,73.15,103.55,103.55,220.43,225.21,215.65,66.19,29.82,56.95,81.13,96.86,222.96,216.44,220.38,225.44,229.57,154.22,154.22,113.13,113.13
4,0.00019406,0.03647,66.27,54.47,61.16,58.99,63.37,65.32,82.63,58.51,64.65,73.36,91.48,62.49,64.85,59.94,71.27,61.53,20.45,16.3,15.92,21.66,27.92,37.16,32.74,34.76,38.58,42.58,42.53,42.53,75.8,75.8,43.42,46.47,40.38,44.8,34.49,30.19,47.96,66.57,62.31,51.58,52.8,65.95,78.92,68.11,68.11,156.64,156.64,224.55,227.81,221.3,64.23,42.3,47.19,73.3,94.13,227.81,222.98,225.0,229.56,233.7,129.7,129.7,178.17,178.17
5,0.00019212,0.03115,67.32,59.13,64.45,62.21,62.57,68.03,79.9,61.76,65.19,75.12,91.54,66.82,65.43,58.38,70.94,58.4,19.44,15.14,15.91,20.45,26.28,37.47,33.51,35.09,38.64,42.65,42.94,42.94,78.37,78.37,33.27,34.24,32.3,35.12,23.01,24.34,37.13,55.99,48.17,38.15,39.2,49.45,65.9,61.88,61.88,155.8,155.8,216.52,220.7,212.35,60.9,31.7,45.51,73.21,93.16,217.61,212.9,214.65,219.11,223.78,123.24,123.24,181.32,181.32
6,0.00019020,0.02703,60.54,51.08,57.16,53.88,57.22,61.52,76.0,54.57,55.49,71.94,83.84,58.92,60.42,49.38,62.52,54.19,16.08,11.62,12.95,17.03,22.72,34.53,30.8,32.48,35.47,39.38,38.61,38.61,79.75,79.75,27.88,28.11,27.65,28.96,17.57,21.21,31.0,46.06,39.56,30.34,32.75,40.79,54.37,55.47,55.47,157.32,157.32,224.78,228.69,220.88,55.7,21.05,40.78,68.64,92.31,223.62,218.67,220.83,225.2,229.79,111.09,111.09,176.83,176.83
7,0.00018830,0.02477,57.22,46.98,53.69,52.91,51.51,57.84,71.01,51.31,53.55,68.83,84.51,56.86,55.37,46.57,60.28,47.04,12.63,7.95,9.5,13.71,19.36,32.36,28.83,30.4,33.23,36.98,34.61,34.61,77.27,77.27,25.03,25.04,25.03,23.66,12.26,16.53,26.28,39.57,35.1,26.48,29.23,36.77,47.91,52.27,52.27,162.26,162.26,225.92,230.2,221.63,53.3,17.6,38.7,66.65,90.26,222.6,217.93,220.09,224.07,228.31,117.33,117.33,182.74,182.74
8,0.00018641,0.02288,54.75,46.92,52.9,47.73,49.8,56.8,68.56,49.59,48.49,66.72,80.54,55.11,54.72,42.45,54.84,46.14,10.15,5.17,6.88,11.42,17.11,31.09,27.52,29.19,31.98,35.68,32.6,32.6,71.84,71.84,23.64,23.95,23.33,21.32,8.67,14.44,24.79,37.38,33.62,24.67,28.01,35.78,46.03,49.3,49.3,172.77,172.77,227.52,231.52,223.52,50.89,13.27,36.41,64.94,88.94,222.12,216.74,219.27,223.9,228.56,112.63,112.63,189.81,189.81
9,0.00018455,0.02085,58.71,49.98,55.94,54.23,53.34,59.63,71.34,53.51,54.24,72.38,84.44,58.34,57.67,46.69,59.0,49.96,13.39,9.48,10.66,14.24,19.18,32.08,28.74,30.22,32.91,36.45,34.47,34.47,71.99,71.99,24.57,24.81,24.34,22.2,11.49,15.85,24.75,36.72,33.08,25.17,27.8,34.73,44.61,50.8,50.8,178.8,178.8,225.53,229.21,221.85,51.6,15.59,37.83,65.22,87.76,220.25,215.35,217.73,221.75,226.16,104.41,104.41,199.51,199.51
