EXP_INFO, , ,Checkpoint,ckpt/0301/08_base05_ShuffleBatch/, , ,Config,ckpt/0301/08_base05_ShuffleBatch/config.yaml, , ,Arg,"train.py --config ckpt/0301/08_base05_ShuffleBatch/config.yaml -c ckpt/0301/08_base05_ShuffleBatch/ -gpu 6,7 -bs 384 -normalize_2d 0 -normalize_3d 0 -shuffle_batch", , ,PID,1036126
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.19839,298.38,238.98,284.2,295.68,264.04,278.5,315.84,229.44,338.27,362.34,430.8,288.37,283.02,274.38,331.65,260.13,76.34,75.07,75.76,76.74,77.78,76.87,75.6,76.3,77.28,78.32,115.56,115.56,116.2,116.2,161.24,164.5,157.98,164.01,158.74,161.67,165.69,169.95,163.81,158.52,161.45,165.5,169.78,238.66,238.66,251.71,251.71,202.75,206.2,199.3,153.6,145.24,150.41,156.43,162.31,206.09,200.22,203.6,207.99,212.55,274.67,274.67,218.89,218.89
2,0.00019800,0.07423,333.51,262.24,320.14,321.96,294.11,304.59,345.33,243.51,372.5,406.02,478.6,336.56,317.48,318.99,390.41,290.2,31.21,25.39,28.72,33.18,37.56,42.12,38.58,40.49,43.25,46.15,61.6,61.6,87.12,87.12,74.96,87.26,62.66,57.21,35.67,49.1,64.84,79.23,77.95,63.7,71.97,82.8,93.34,100.71,100.71,203.16,203.16,154.16,164.97,143.36,70.57,37.86,60.67,82.68,101.07,158.66,145.0,153.35,163.29,172.98,173.6,173.6,195.66,195.66
3,0.00019602,0.04207,340.05,265.47,323.14,329.18,296.99,309.68,352.91,246.24,377.24,414.96,489.53,346.46,328.53,325.64,400.66,294.09,31.16,26.44,28.41,32.69,37.08,42.01,38.03,40.33,43.35,46.35,57.28,57.28,95.3,95.3,68.17,81.08,55.26,51.66,34.4,42.06,57.49,72.7,71.99,56.64,65.57,77.26,88.5,87.85,87.85,233.08,233.08,158.34,166.67,150.02,65.89,37.68,54.17,76.26,95.46,163.96,151.39,159.05,168.21,177.18,142.45,142.45,240.84,240.84
4,0.00019406,0.03559,334.47,263.47,320.82,319.45,293.53,300.79,352.66,242.62,371.98,402.93,472.97,340.6,324.06,323.27,396.18,291.75,20.68,17.85,17.27,21.36,26.25,32.36,28.35,30.57,33.56,36.98,46.02,46.02,119.13,119.13,53.49,62.9,44.07,42.9,32.16,31.4,46.0,62.03,64.59,51.01,58.75,69.33,79.27,73.8,73.8,273.12,273.12,165.88,175.35,156.42,60.72,40.29,45.18,68.17,89.26,168.19,157.39,163.17,171.7,180.48,144.93,144.93,273.39,273.39
5,0.00019212,0.03039,331.58,260.56,313.88,318.85,290.0,299.91,352.41,240.96,365.97,402.09,472.85,338.55,320.55,318.86,389.42,288.86,13.38,10.38,10.0,13.99,19.15,28.02,24.73,26.27,29.0,32.1,39.39,39.39,128.05,128.05,41.01,41.53,40.49,34.52,26.13,24.09,36.1,51.74,52.29,44.91,44.64,53.57,66.07,64.69,64.69,236.76,236.76,167.37,174.59,160.15,56.03,34.52,39.69,64.61,85.3,168.89,160.17,164.07,171.4,179.93,117.68,117.68,258.9,258.9
6,0.00019020,0.02643,331.92,262.78,317.95,316.66,290.62,298.63,350.86,242.9,369.91,397.48,467.96,336.43,321.97,322.28,392.33,290.06,14.03,10.71,11.44,14.78,19.18,27.54,24.6,25.85,28.33,31.37,37.32,37.32,85.73,85.73,36.47,36.92,36.02,29.55,18.01,21.68,32.2,46.34,46.11,37.96,39.68,47.65,59.15,60.35,60.35,207.12,207.12,170.37,176.49,164.25,51.52,20.9,36.73,62.9,85.52,166.87,157.18,161.56,169.95,178.81,123.13,123.13,221.11,221.11
7,0.00018830,0.02392,335.81,266.04,320.21,320.02,293.95,300.79,355.38,244.65,372.62,402.63,473.21,341.13,327.59,327.52,397.62,293.72,12.82,9.17,10.41,13.77,17.94,24.98,21.97,23.29,25.8,28.85,37.06,37.06,73.79,73.79,32.6,32.89,32.31,26.42,14.91,18.97,29.36,42.43,42.44,34.05,36.45,44.18,55.08,57.5,57.5,173.74,173.74,177.25,181.86,172.63,49.65,16.16,34.97,62.17,85.32,172.24,162.57,167.25,175.3,183.85,112.19,112.19,189.54,189.54
8,0.00018641,0.02206,332.89,262.77,314.32,321.07,290.89,300.76,354.66,244.15,365.59,402.98,471.68,339.73,321.55,320.87,390.36,291.99,11.77,8.37,9.33,12.48,16.92,23.19,20.11,21.45,24.0,27.19,34.85,34.85,60.81,60.81,30.38,30.78,29.98,25.15,14.0,17.91,27.78,40.91,38.7,29.84,32.61,40.54,51.82,54.81,54.81,203.14,203.14,176.97,182.24,171.69,47.16,14.69,33.08,59.17,81.69,170.01,159.81,164.81,173.34,182.06,118.36,118.36,202.07,202.07
