EXP_INFO, , ,Checkpoint,ckpt/0301/13_base05_FixPromptLargestVelo/, , ,Config,ckpt/0301/13_base05_FixPromptLargestVelo/config.yaml, , ,Arg,"train.py --config ckpt/0301/13_base05_FixPromptLargestVelo/config.yaml -c ckpt/0301/13_base05_FixPromptLargestVelo/ -gpu 6,7 -bs 384 -normalize_2d 0 -normalize_3d 0 -fix_prompt largest_velo", , ,PID,1432001
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.14652,127.44,112.13,121.21,120.97,125.79,120.92,146.58,118.42,130.95,134.9,160.24,120.2,125.82,115.72,137.75,119.98,49.31,43.53,46.59,51.22,55.88,63.6,59.92,61.8,64.72,67.94,72.49,72.49,69.66,69.66,84.58,85.13,84.03,81.54,60.26,73.07,89.16,103.65,90.16,72.47,82.63,96.32,109.2,113.72,113.72,110.09,110.09,242.34,242.61,242.07,140.2,132.35,138.74,143.04,146.66,228.95,225.98,228.15,230.33,231.34,432.77,432.77,315.62,315.62
2,0.00019800,0.04850,87.96,76.76,81.28,83.48,82.66,87.62,99.12,81.33,83.66,100.48,119.27,87.6,82.81,80.78,90.71,81.93,31.64,27.08,27.94,33.06,38.48,44.71,40.93,42.22,45.77,49.91,57.31,57.31,56.92,56.92,60.87,61.59,60.15,57.16,40.63,44.88,62.84,80.3,65.26,51.53,54.62,69.77,85.12,82.28,82.28,135.57,135.57,251.63,251.98,251.28,119.0,108.82,116.5,123.9,126.76,243.39,241.12,243.17,244.53,244.73,442.95,442.95,428.51,428.51
3,0.00019602,0.03931,70.01,58.26,66.93,64.5,62.89,67.74,82.21,60.94,72.6,80.93,100.9,67.55,65.8,58.32,80.56,60.07,22.22,18.32,18.67,23.08,28.82,37.71,34.16,35.3,38.59,42.78,45.16,45.16,94.53,94.53,43.31,44.01,42.62,41.66,28.46,30.27,44.84,63.07,52.41,42.25,43.33,54.35,69.69,70.91,70.91,230.95,230.95,252.01,253.52,250.5,118.87,110.16,118.65,123.44,123.22,242.48,240.34,242.76,242.85,243.97,446.17,446.17,535.97,535.97
4,0.00019406,0.03009,68.47,59.31,63.16,64.0,64.52,70.22,84.23,62.15,63.6,76.53,94.47,67.32,66.88,57.13,71.17,62.44,21.1,17.09,18.26,21.96,27.08,36.2,32.66,34.17,37.07,40.91,43.95,43.95,149.12,149.12,34.6,34.23,34.97,34.15,22.3,25.4,36.95,51.94,44.48,35.43,37.17,46.14,59.19,59.89,59.89,394.97,394.97,254.18,254.42,253.93,164.67,172.29,168.94,169.95,147.51,245.72,242.55,247.66,246.12,246.55,434.1,434.1,571.65,571.65
5,0.00019212,0.02639,67.76,59.33,64.69,62.22,61.26,66.72,79.46,62.26,67.13,77.63,98.61,66.62,65.51,56.17,71.76,57.05,22.24,19.16,19.79,22.73,27.28,36.4,32.9,34.37,37.34,40.99,40.56,40.56,146.3,146.3,31.83,31.72,31.94,32.95,22.4,26.09,35.27,48.05,41.02,31.85,34.9,43.15,54.16,57.76,57.76,394.03,394.03,253.25,252.33,254.18,154.08,163.88,162.75,157.09,132.61,245.28,241.35,247.45,245.85,246.45,438.95,438.95,506.72,506.72
6,0.00019020,0.02428,59.6,52.54,57.78,52.66,55.22,58.26,72.24,56.75,54.65,69.54,86.93,58.22,58.5,48.24,62.42,50.05,15.93,12.3,13.14,16.7,21.56,32.59,29.06,30.53,33.55,37.22,35.41,35.41,141.66,141.66,30.24,30.3,30.17,28.71,18.56,21.99,31.3,42.99,38.51,30.36,32.86,40.46,50.37,54.06,54.06,394.58,394.58,244.23,241.74,246.73,149.02,160.06,160.44,144.94,130.64,236.48,233.41,238.99,236.52,237.01,443.87,443.87,446.94,446.94
7,0.00018830,0.02304,55.35,50.61,53.1,50.27,50.45,57.65,68.74,51.0,50.56,65.65,81.59,55.7,53.44,41.14,56.31,43.99,11.2,6.23,8.21,12.63,17.74,29.87,26.21,27.91,30.87,34.49,33.39,33.39,155.43,155.43,23.74,23.79,23.68,21.93,9.72,15.41,25.56,37.01,32.83,24.23,27.35,35.03,44.69,49.12,49.12,438.75,438.75,248.16,243.71,252.61,128.91,134.76,138.38,123.88,118.6,240.77,237.29,243.22,241.14,241.41,436.96,436.96,457.6,457.6
8,0.00018641,0.02153,53.95,47.43,53.43,47.96,48.57,54.88,65.99,49.17,50.54,65.48,82.21,53.43,52.49,40.02,53.89,43.76,10.35,5.39,7.24,11.71,17.05,29.47,25.88,27.56,30.42,34.03,31.97,31.97,152.85,152.85,23.85,23.96,23.73,21.99,9.99,15.66,25.39,36.91,33.2,24.29,28.01,35.44,45.05,48.15,48.15,411.22,411.22,245.27,240.34,250.2,135.52,149.9,147.37,130.29,114.54,242.15,239.75,245.12,242.01,241.7,441.79,441.79,433.27,433.27
9,0.00018455,0.01905,56.13,49.24,55.57,49.7,50.72,57.25,66.27,53.21,53.33,66.66,82.34,55.32,55.19,43.49,58.45,45.29,12.58,8.59,9.92,13.58,18.22,30.45,27.01,28.53,31.37,34.9,33.48,33.48,169.44,169.44,23.52,23.69,23.34,21.07,10.31,15.17,24.18,34.61,31.81,24.5,26.96,33.73,42.05,46.99,46.99,440.92,440.92,250.4,245.2,255.59,136.84,150.67,143.15,137.78,115.75,251.47,248.51,253.4,252.27,251.71,435.85,435.85,420.98,420.98
10,0.00018270,0.01881,52.46,45.65,50.58,47.31,46.05,53.39,65.28,48.01,50.17,65.68,78.95,51.73,51.29,37.8,53.98,41.01,9.74,5.08,6.73,11.0,16.15,28.73,25.11,26.77,29.7,33.34,30.8,30.8,161.62,161.62,21.4,21.41,21.38,18.58,6.92,12.65,22.23,32.54,29.9,21.61,24.96,32.14,40.89,44.99,44.99,443.7,443.7,247.66,241.69,253.62,123.43,129.17,128.85,127.06,108.66,251.37,248.71,253.68,252.14,250.95,436.07,436.07,396.89,396.89
