EXP_INFO, , ,Checkpoint,ckpt/0301/23_base05_moreloss/, , ,Config,ckpt/0301/23_base05_moreloss/config.yaml, , ,Arg,train.py --config ckpt/0301/23_base05_moreloss/config.yaml -c ckpt/0301/23_base05_moreloss/ -gpu 0 -bs 320, , ,PID,557137
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.12197,100.64,85.54,93.27,93.32,99.81,92.63,116.97,89.07,105.33,109.09,140.97,93.0,96.51,91.6,109.95,92.62,30.51,22.54,27.33,33.25,38.92,50.13,45.77,48.19,51.53,55.05,88.02,88.02,72.63,72.63,66.09,82.65,49.53,57.2,30.7,48.26,66.9,82.95,72.36,51.62,64.89,79.84,93.08,118.99,118.99,139.56,139.56,218.28,222.4,214.15,70.98,38.65,63.17,84.25,97.86,219.96,214.49,217.68,221.98,225.7,210.21,210.21,149.45,149.45
2,0.00019800,0.04964,82.67,70.51,77.19,72.48,80.1,78.61,95.02,75.66,79.21,91.08,111.55,78.93,81.18,78.02,89.54,80.96,26.59,22.1,23.15,27.8,33.32,42.42,38.58,40.5,43.51,47.1,55.04,55.04,97.01,97.01,55.9,63.65,48.15,51.62,35.75,40.44,56.44,73.84,75.6,65.56,70.67,78.78,87.38,91.18,91.18,198.5,198.5,220.25,223.26,217.24,69.37,41.21,56.18,80.9,99.2,224.76,220.29,222.39,226.34,230.03,186.58,186.58,221.55,221.55
3,0.00019602,0.03736,70.55,60.82,65.53,63.4,65.67,71.13,82.64,63.92,69.14,78.31,96.24,70.03,66.59,62.53,77.41,64.82,19.93,16.31,17.41,20.71,25.28,38.69,35.99,37.07,39.25,42.45,44.77,44.77,55.43,55.43,35.23,35.14,35.32,32.75,21.63,26.17,35.74,47.44,50.91,43.6,46.29,52.69,61.06,67.36,67.36,104.23,104.23,228.18,231.62,224.74,59.78,24.65,45.19,73.65,95.65,225.47,220.52,222.74,227.1,231.53,165.8,165.8,120.25,120.25
4,0.00019406,0.03128,61.9,52.06,57.31,56.56,56.69,62.04,72.39,57.6,57.88,70.67,84.93,61.07,61.69,55.08,64.78,57.74,14.41,10.54,11.79,15.32,19.98,34.84,31.96,33.32,35.58,38.5,39.75,39.75,42.4,42.4,30.84,31.1,30.57,27.9,18.27,22.05,30.52,40.76,48.21,42.22,44.3,49.65,56.69,61.79,61.79,97.56,97.56,225.65,229.45,221.85,56.04,20.61,41.64,69.88,92.02,220.84,216.01,218.15,222.34,226.85,158.96,158.96,111.75,111.75
5,0.00019212,0.02737,59.3,51.5,57.39,53.38,54.3,59.11,71.52,53.93,57.46,65.72,82.32,58.07,58.14,49.42,65.06,52.19,11.72,7.88,9.01,12.63,17.37,32.65,29.62,31.07,33.41,36.48,36.04,36.04,49.34,49.34,25.83,26.15,25.5,23.18,12.55,17.18,26.39,36.6,41.22,34.39,37.08,43.08,50.32,53.65,53.65,123.74,123.74,223.15,226.9,219.4,50.17,16.1,37.03,63.35,84.21,218.63,213.47,215.93,220.3,224.81,137.4,137.4,139.42,139.42
6,0.00019020,0.02459,56.24,47.34,54.17,49.94,50.31,57.39,66.67,51.08,53.83,66.45,80.49,56.37,55.02,45.22,61.34,47.97,11.73,7.74,9.1,12.74,17.33,33.09,30.52,31.74,33.76,36.32,35.41,35.41,40.53,40.53,24.79,24.83,24.76,20.58,10.12,14.84,23.96,33.4,41.32,35.53,37.6,42.86,49.26,51.05,51.05,87.89,87.89,220.31,224.28,216.33,48.4,15.34,36.41,61.2,80.65,214.95,210.03,212.31,216.54,220.92,132.62,132.62,104.3,104.3
7,0.00018830,0.02250,62.67,55.05,58.91,60.88,59.62,63.6,77.34,58.19,58.5,71.05,82.28,63.68,60.78,51.14,63.94,55.11,14.79,11.67,12.63,15.5,19.38,34.55,31.67,33.09,35.37,38.07,35.96,35.96,51.67,51.67,31.67,31.92,31.43,24.8,16.15,19.62,27.34,36.09,40.92,34.79,37.14,42.6,49.14,51.75,51.75,90.33,90.33,226.42,230.98,221.85,50.25,18.0,38.14,63.09,81.79,222.2,217.7,219.88,223.73,227.51,147.47,147.47,111.03,111.03
8,0.00018641,0.02116,55.39,47.27,53.91,51.32,48.86,58.13,67.72,49.73,51.13,66.27,78.25,55.99,52.77,44.34,58.23,46.92,10.69,6.91,8.17,11.63,16.03,32.27,29.51,30.86,33.01,35.7,32.14,32.14,41.17,41.17,24.14,24.26,24.02,19.37,9.56,14.0,22.33,31.61,37.17,31.0,33.37,38.79,45.51,47.12,47.12,98.99,98.99,223.62,227.95,219.29,46.12,13.62,34.26,58.48,78.12,219.03,214.55,216.65,220.44,224.5,137.29,137.29,116.91,116.91
9,0.00018455,0.02013,54.3,46.18,53.54,48.28,49.04,55.41,65.3,49.54,54.76,64.08,73.32,54.96,52.43,44.58,57.41,45.6,11.36,7.44,8.88,12.38,16.75,31.58,28.99,30.17,32.25,34.92,31.98,31.98,47.69,47.69,22.57,22.62,22.53,20.07,10.0,14.65,23.15,32.46,36.98,30.46,33.17,38.75,45.53,45.45,45.45,124.66,124.66,224.27,228.37,220.17,47.86,13.71,35.3,60.86,81.55,218.99,214.31,216.46,220.52,224.67,130.69,130.69,144.87,144.87
