EXP_INFO, , ,Checkpoint,ckpt/0301/24_base05_moreloss_4gpu/, , ,Config,ckpt/0301/24_base05_moreloss_4gpu/config.yaml, , ,Arg,"train.py --config ckpt/0301/24_base05_moreloss_4gpu/config.yaml -c ckpt/0301/24_base05_moreloss_4gpu/ -gpu 4,5,6,7 -bs 768", , ,PID,715304
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.17359,187.17,161.25,181.68,194.26,175.11,185.77,194.56,154.78,223.51,219.43,241.17,181.51,174.93,159.49,193.44,166.69,64.04,59.06,61.86,65.67,69.58,90.52,88.22,89.46,91.23,93.18,147.14,147.14,75.57,75.57,150.36,159.25,141.48,93.29,71.0,85.66,101.42,115.08,157.55,142.93,152.07,162.75,172.45,215.52,215.52,96.53,96.53,229.76,232.61,226.91,104.46,80.63,98.21,114.3,124.69,231.89,227.25,230.22,233.72,236.37,298.36,298.36,108.8,108.8
2,0.00019800,0.07118,142.12,128.05,138.47,134.88,137.05,136.88,152.3,130.56,147.48,150.32,180.77,137.15,139.25,134.36,147.4,136.91,56.79,51.89,54.43,58.35,62.52,69.74,66.5,68.18,70.72,73.55,100.62,100.62,79.93,79.93,88.54,102.69,74.4,85.16,63.96,76.95,92.76,106.98,94.4,76.06,87.32,100.94,113.27,139.47,139.47,113.95,113.95,230.87,234.01,227.73,97.06,72.07,90.07,107.32,118.78,233.89,228.58,231.85,235.86,239.25,228.16,228.16,129.33,129.33
3,0.00019602,0.05169,83.44,73.01,75.57,75.74,81.89,78.75,98.32,75.41,78.47,93.48,113.21,78.01,81.57,76.92,88.96,82.28,25.53,18.98,21.88,27.71,33.54,42.42,37.28,40.2,44.1,48.11,67.58,67.58,97.41,97.41,60.5,75.78,45.22,53.63,30.44,42.22,61.98,79.9,71.54,53.0,64.56,78.43,90.18,103.84,103.84,147.27,147.27,227.62,230.69,224.55,68.52,34.52,57.14,82.63,99.79,230.4,225.47,228.36,232.26,235.52,208.82,208.82,168.69,168.69
4,0.00019406,0.04324,82.57,72.18,78.24,73.04,79.74,76.1,95.35,74.36,83.25,88.63,111.47,78.48,80.95,79.27,89.26,78.16,25.55,20.52,21.94,26.94,32.82,42.16,38.0,39.98,43.36,47.31,57.71,57.71,91.5,91.5,51.9,60.88,42.93,47.39,31.17,35.48,52.23,70.68,68.87,57.84,62.9,72.33,82.4,88.02,88.02,161.01,161.01,218.36,220.96,215.76,68.06,38.42,54.85,80.36,98.63,222.44,218.37,220.21,223.82,227.35,188.55,188.55,187.1,187.1
5,0.00019212,0.03914,81.42,72.19,75.0,76.9,79.6,77.22,93.58,73.81,76.35,88.58,107.03,78.66,77.48,80.07,85.39,79.51,21.8,17.65,18.92,22.79,27.85,40.85,37.3,38.97,41.82,45.33,52.77,52.77,80.97,80.97,54.3,59.63,48.98,40.5,27.97,32.32,43.55,58.14,63.38,53.47,57.32,65.97,76.76,84.37,84.37,107.31,107.31,220.51,224.25,216.78,64.43,30.92,51.42,77.8,97.58,220.86,216.31,218.26,222.35,226.53,179.98,179.98,139.48,139.48
6,0.00019020,0.03485,75.34,66.44,73.01,65.87,71.13,72.99,87.44,69.97,74.45,82.41,100.06,73.28,73.77,68.76,81.97,68.48,22.67,19.44,20.28,23.31,27.66,39.76,36.77,38.04,40.47,43.77,50.62,50.62,66.18,66.18,39.18,39.38,38.98,39.56,30.15,33.32,41.76,53.03,57.02,50.39,52.65,58.52,66.51,76.34,76.34,110.99,110.99,226.27,229.44,223.11,64.15,34.6,50.95,75.55,95.51,223.55,218.83,220.91,225.09,229.38,208.91,208.91,133.85,133.85
7,0.00018830,0.03142,70.91,59.54,65.97,65.34,66.33,69.43,79.24,63.63,68.77,78.13,95.32,69.09,67.15,68.18,77.29,70.19,16.79,13.01,14.25,17.67,22.24,35.23,31.81,33.37,36.14,39.59,40.81,40.81,67.13,67.13,49.52,53.21,45.83,27.98,17.23,21.33,30.9,42.45,41.46,33.28,36.15,43.5,52.93,61.3,61.3,129.68,129.68,229.48,232.61,226.35,56.6,21.45,42.08,70.29,92.56,226.22,221.77,223.88,227.62,231.61,198.29,198.29,140.35,140.35
8,0.00018641,0.02899,67.81,60.04,65.36,62.48,64.32,68.63,78.84,62.25,64.57,76.8,92.09,67.55,69.74,56.19,67.9,60.4,21.46,18.17,19.19,22.15,26.32,38.39,35.53,36.94,39.16,41.94,43.18,43.18,78.2,78.2,32.77,32.84,32.69,31.1,21.67,25.08,33.51,44.14,46.01,38.87,41.39,47.71,56.06,63.08,63.08,143.15,143.15,221.17,223.69,218.65,58.16,26.14,44.44,70.67,91.38,221.46,217.33,219.39,222.75,226.39,234.49,234.49,164.79,164.79
9,0.00018455,0.02709,65.35,56.54,65.05,56.18,59.6,64.86,74.53,61.32,65.37,74.0,91.5,64.49,65.87,54.68,69.0,57.26,18.59,15.44,16.33,19.22,23.37,35.44,32.38,33.82,36.28,39.29,41.59,41.59,57.44,57.44,31.08,30.99,31.16,27.26,17.38,21.28,30.02,40.34,42.38,35.16,37.99,44.23,52.12,59.46,59.46,108.94,108.94,227.48,230.24,224.72,55.79,22.43,42.17,68.86,89.71,224.82,220.49,222.38,226.14,230.27,246.02,246.02,128.83,128.83
