EXP_INFO, , ,Checkpoint,ckpt/0301/25_base05_moreloss_limbloss_4gpu/, , ,Config,ckpt/0301/25_base05_moreloss_limbloss_4gpu/config.yaml, , ,Arg,"train.py --config ckpt/0301/25_base05_moreloss_limbloss_4gpu/config.yaml -c ckpt/0301/25_base05_moreloss_limbloss_4gpu/ -gpu 4,5,6,7 -bs 768", , ,PID,2562630
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.12993,125.92,97.53,111.53,117.75,116.86,118.46,137.36,103.15,158.54,155.13,194.8,114.23,121.23,104.95,128.37,108.84,38.16,31.2,35.34,40.53,45.59,61.21,57.55,59.57,62.37,65.35,87.04,87.04,46.2,46.2,74.06,88.53,59.6,68.36,43.2,60.09,77.56,92.6,81.34,61.84,74.36,88.35,100.79,126.84,126.84,69.48,69.48,224.83,227.54,222.11,79.31,50.38,71.99,91.17,103.7,227.5,222.29,225.47,229.45,232.8,217.79,217.79,80.63,80.63
2,0.00019800,0.05485,85.31,72.65,77.77,75.06,82.9,84.44,97.93,78.66,81.91,94.92,114.2,82.1,84.4,81.33,87.99,83.43,27.72,19.96,24.37,30.37,36.19,43.87,38.73,41.7,45.55,49.5,56.56,56.56,57.75,57.75,62.35,80.46,44.24,58.26,31.42,48.7,68.03,84.9,69.21,46.85,61.31,77.31,91.38,97.76,97.76,79.52,79.52,231.21,233.69,228.73,70.17,35.76,61.73,84.33,98.86,234.75,229.8,232.84,236.56,239.79,161.1,161.1,90.25,90.25
3,0.00019602,0.04437,81.49,70.84,74.55,76.68,79.61,78.38,92.54,74.52,80.47,85.74,104.28,78.75,79.58,78.84,85.83,81.69,27.22,19.97,23.65,29.68,35.59,42.76,37.28,40.51,44.58,48.66,48.66,48.66,65.46,65.46,57.97,73.25,42.69,55.2,30.17,44.14,64.32,82.16,71.26,51.49,64.18,78.58,90.8,81.17,81.17,100.78,100.78,232.82,235.2,230.44,66.98,29.99,56.73,82.31,98.9,236.93,232.24,235.06,238.71,241.69,146.68,146.68,111.41,111.41
4,0.00019406,0.03952,74.88,62.09,71.23,66.1,70.17,71.74,83.8,69.25,78.99,80.38,101.24,72.01,72.77,71.99,81.44,69.98,25.71,20.05,22.03,27.41,33.35,40.23,35.24,37.99,41.81,45.89,44.14,44.14,97.77,97.77,46.81,57.08,36.53,48.08,27.7,35.82,55.2,73.61,69.08,56.02,62.74,73.6,83.98,69.26,69.26,156.01,156.01,221.38,223.54,219.22,66.1,32.8,53.46,80.02,98.1,227.68,223.67,225.72,229.22,232.11,124.02,124.02,180.68,180.68
5,0.00019212,0.03596,78.3,70.87,74.16,74.17,75.52,75.83,88.53,73.02,75.68,82.84,99.96,77.47,75.65,74.52,81.89,74.33,25.8,21.54,22.88,26.8,31.98,42.28,38.45,40.39,43.38,46.88,43.28,43.28,58.35,58.35,48.12,54.12,42.13,41.87,27.63,32.45,45.46,61.94,68.65,58.9,63.49,71.6,80.63,61.04,61.04,100.65,100.65,222.18,224.7,219.66,65.48,31.82,52.67,78.56,98.86,226.1,221.78,223.89,227.61,231.11,108.04,108.04,128.38,128.38
6,0.00019020,0.03281,62.18,52.31,58.19,58.12,58.65,62.41,74.79,56.99,58.95,69.55,83.84,61.54,60.7,55.04,63.73,57.82,16.42,11.72,13.33,17.56,23.05,35.15,31.45,33.22,36.16,39.79,37.17,37.17,76.34,76.34,31.0,31.08,30.91,32.18,20.02,24.65,35.27,48.8,49.57,40.24,43.8,51.92,62.33,54.73,54.73,250.28,250.28,225.06,228.54,221.58,59.37,24.67,44.77,72.88,95.15,225.01,220.41,222.52,226.56,230.55,104.63,104.63,266.74,266.74
7,0.00018830,0.02980,69.94,62.66,64.81,68.94,66.54,71.34,80.2,64.47,62.64,77.04,91.06,71.25,67.09,65.21,69.93,65.84,21.07,17.71,18.67,21.77,26.15,37.93,34.56,36.11,38.83,42.22,39.27,39.27,60.14,60.14,35.69,36.49,34.89,32.51,22.45,25.72,34.92,46.95,48.99,41.29,43.84,50.8,60.02,57.08,57.08,215.02,215.02,224.56,228.51,220.61,60.21,25.34,45.46,73.88,96.17,222.59,217.55,219.96,224.26,228.58,130.93,130.93,242.96,242.96
8,0.00018641,0.02782,64.79,56.35,61.1,59.49,59.53,66.39,76.42,60.57,61.75,73.74,87.34,65.62,63.72,55.44,66.59,57.81,17.08,13.51,14.42,17.78,22.6,36.46,33.33,34.77,37.28,40.44,38.6,38.6,68.88,68.88,28.91,29.55,28.27,27.47,16.6,20.57,30.3,42.4,48.25,41.18,43.68,50.0,58.14,59.52,59.52,212.95,212.95,224.8,228.73,220.88,54.56,20.06,40.46,68.11,89.62,221.39,216.63,218.73,222.88,227.33,125.26,125.26,256.31,256.31
9,0.00018455,0.02601,66.55,55.97,64.38,62.39,59.92,68.82,77.19,60.73,65.27,78.09,92.45,67.75,64.17,55.0,69.37,56.75,19.45,16.1,17.14,20.18,24.37,37.24,34.4,35.71,37.97,40.87,37.68,37.68,62.63,62.63,27.95,28.49,27.42,26.54,16.5,20.23,29.27,40.16,47.03,40.61,42.94,48.6,55.98,55.5,55.5,209.45,209.45,225.54,228.74,222.34,54.38,20.19,40.9,67.81,88.62,223.01,218.05,220.47,224.67,228.85,114.31,114.31,243.98,243.98
