EXP_INFO, , ,Checkpoint,ckpt/0301/26_base05_moreloss_noangleloss_4gpu/, , ,Config,ckpt/0301/26_base05_moreloss_noangleloss_4gpu/config.yaml, , ,Arg,"train.py --config ckpt/0301/26_base05_moreloss_noangleloss_4gpu/config.yaml -c ckpt/0301/26_base05_moreloss_noangleloss_4gpu/ -gpu 4,5,6,7 -bs 768", , ,PID,2060872
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.18180,231.49,206.09,228.05,235.92,218.26,228.41,237.67,198.88,274.73,260.16,282.48,226.14,220.46,201.77,243.72,209.68,86.31,82.8,84.71,87.41,90.3,112.08,110.47,111.34,112.57,113.95,155.38,155.38,93.55,93.55,170.48,176.11,164.86,117.32,100.08,110.89,123.56,134.73,177.88,166.05,173.34,182.09,190.04,226.35,226.35,122.38,122.38,248.99,250.99,246.99,128.77,110.99,124.01,136.12,143.96,250.91,247.11,249.57,252.47,254.48,304.19,304.19,134.17,134.17
2,0.00019800,0.07554,128.3,114.54,114.84,127.44,127.81,123.36,146.2,120.72,115.91,144.26,173.03,122.54,125.6,118.37,125.51,124.33,49.52,44.1,47.02,51.27,55.67,63.34,59.94,61.75,64.38,67.27,95.75,95.75,98.23,98.23,82.96,97.34,68.57,78.81,56.55,70.53,86.8,101.36,89.04,70.4,81.98,95.68,108.1,129.39,129.39,162.8,162.8,225.97,229.72,222.23,85.58,58.2,78.22,96.82,109.08,228.76,223.27,226.56,230.76,234.47,233.4,233.4,171.73,171.73
3,0.00019602,0.05094,86.44,77.0,80.47,78.82,85.05,82.3,97.3,77.42,88.2,95.8,115.99,83.5,84.37,78.91,91.48,80.01,26.37,18.35,22.73,29.12,35.27,44.64,39.04,42.28,46.49,50.76,57.61,57.61,95.16,95.16,59.83,76.48,43.18,52.81,25.55,42.14,62.86,80.68,69.58,48.33,61.91,77.41,90.66,92.37,92.37,173.53,173.53,215.11,219.42,210.8,66.39,28.47,56.41,82.09,98.58,218.32,212.02,215.76,220.73,224.77,192.81,192.81,176.25,176.25
4,0.00019406,0.04153,71.73,60.56,67.25,62.41,69.85,67.77,85.25,62.61,70.47,76.79,97.36,67.43,69.52,70.1,79.42,69.15,16.77,9.88,12.52,18.89,25.81,36.77,31.84,34.42,38.24,42.58,46.91,46.91,95.64,95.64,45.8,57.23,34.37,40.73,18.81,28.08,47.99,68.05,62.74,48.45,55.78,67.45,79.27,76.77,76.77,218.48,218.48,215.88,219.02,212.73,61.31,24.93,48.48,76.25,95.59,220.03,214.85,217.54,221.89,225.84,177.91,177.91,239.14,239.14
5,0.00019212,0.03717,75.19,63.03,71.18,65.56,71.23,71.25,86.39,67.2,75.81,80.52,102.46,71.73,71.68,73.32,83.04,73.37,21.45,17.51,18.76,22.28,27.24,38.38,35.18,36.59,39.18,42.57,46.98,46.98,86.13,86.13,44.2,48.28,40.11,39.75,27.33,31.7,42.61,57.36,61.61,52.8,56.46,64.07,73.11,72.69,72.69,167.67,167.67,221.64,225.09,218.19,64.49,33.73,51.42,76.39,96.41,223.6,218.83,221.04,225.19,229.35,185.8,185.8,174.28,174.28
6,0.00019020,0.03352,70.48,61.26,67.15,62.29,65.06,67.97,80.44,63.5,69.92,78.07,98.58,69.1,67.6,64.59,77.61,64.08,21.66,18.1,19.28,22.43,26.83,37.99,35.04,36.28,38.69,41.95,47.5,47.5,84.28,84.28,37.22,37.54,36.91,35.82,24.71,28.95,38.82,50.79,53.9,46.32,48.94,55.84,64.5,70.98,70.98,201.45,201.45,225.31,228.99,221.63,60.4,27.4,46.33,73.47,94.41,221.4,216.17,218.53,223.14,227.76,176.14,176.14,211.05,211.05
7,0.00018830,0.03036,68.54,60.97,64.67,63.86,65.21,67.15,79.37,63.17,66.19,76.19,90.55,67.72,67.02,61.17,71.58,63.21,20.98,17.71,18.6,21.66,25.94,37.7,34.49,35.94,38.54,41.86,44.74,44.74,142.79,142.79,34.75,35.13,34.37,28.94,18.34,22.09,31.87,43.45,44.43,36.48,39.27,46.41,55.55,61.67,61.67,300.09,300.09,223.83,227.24,220.41,57.76,22.25,43.06,71.98,93.75,219.9,214.25,216.92,221.77,226.68,169.91,169.91,308.6,308.6
8,0.00018641,0.02816,65.77,57.67,62.39,60.66,61.74,66.75,78.47,60.88,62.66,76.35,88.61,65.12,65.63,54.48,65.91,59.2,18.48,15.43,16.24,19.06,23.19,36.37,33.53,34.85,37.09,40.01,41.15,41.15,85.99,85.99,31.21,31.66,30.76,30.78,21.37,24.57,33.09,44.07,44.06,36.75,39.17,45.67,54.62,60.82,60.82,209.0,209.0,230.36,232.83,227.89,58.64,26.17,44.89,71.21,92.29,228.9,224.1,226.43,230.48,234.61,210.93,210.93,236.21,236.21
9,0.00018455,0.02643,64.43,55.53,62.78,58.05,59.12,63.83,75.04,58.36,64.6,72.84,86.25,64.17,62.9,56.81,68.74,57.36,16.29,12.69,13.89,17.13,21.46,34.43,31.27,32.77,35.28,38.4,40.22,40.22,72.07,72.07,27.91,28.09,27.72,25.77,15.36,19.58,28.84,39.31,40.44,32.97,35.83,42.42,50.53,58.0,58.0,162.89,162.89,221.76,223.81,219.7,55.86,21.05,42.36,69.43,90.62,218.36,212.79,215.42,220.18,225.05,181.16,181.16,209.97,209.97
