EXP_INFO, , ,Checkpoint,ckpt/0301/27_base05_loss_m_nm_v_lgt_a_av/, , ,Config,ckpt/0301/27_base05_loss_m_nm_v_lgt_a_av/config.yaml, , ,Arg,"train.py --config ckpt/0301/27_base05_loss_m_nm_v_lgt_a_av/config.yaml -c ckpt/0301/27_base05_loss_m_nm_v_lgt_a_av/ -gpu 4,5,6,7 -bs 768", , ,PID,4034843
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.12926,133.85,107.53,121.54,125.42,124.2,127.64,143.49,113.78,163.96,158.75,194.53,123.6,132.15,115.54,136.81,118.75,44.72,38.77,42.1,46.68,51.33,65.14,61.79,63.56,66.17,69.02,96.91,96.91,59.63,59.63,80.38,93.95,66.81,73.49,49.67,65.23,82.2,96.85,87.42,68.59,80.45,94.21,106.45,137.08,137.08,83.17,83.17,225.76,228.85,222.67,82.15,54.02,74.82,93.69,106.09,228.26,222.96,226.16,230.23,233.7,223.97,223.97,91.31,91.31
2,0.00019800,0.05863,98.22,86.32,92.82,91.49,93.75,96.27,105.45,90.99,95.74,108.57,127.12,96.41,94.03,94.61,105.62,94.16,38.63,31.92,35.56,40.87,46.16,50.04,45.05,47.91,51.66,55.53,61.55,61.55,70.77,70.77,68.73,86.81,50.64,64.76,38.12,55.38,74.45,91.07,75.52,53.29,67.73,83.58,97.48,98.84,98.84,81.36,81.36,220.96,223.97,217.96,76.63,43.4,68.32,90.3,104.52,224.32,218.94,222.23,226.3,229.83,162.66,162.66,96.66,96.66
3,0.00019602,0.04460,77.09,66.26,69.17,71.92,76.0,75.02,90.95,69.15,73.01,83.31,100.78,73.8,73.73,73.82,82.64,76.75,23.82,15.31,20.19,26.78,33.0,40.64,34.94,38.33,42.54,46.74,46.97,46.97,90.54,90.54,53.9,70.32,37.49,50.57,22.79,40.07,60.82,78.62,66.26,45.01,58.75,74.18,87.11,78.27,78.27,130.29,130.29,225.72,228.15,223.29,64.52,26.0,54.94,80.48,96.67,230.5,225.41,228.57,232.45,235.58,134.28,134.28,137.28,137.28
4,0.00019406,0.03970,77.39,66.55,75.02,68.22,73.52,74.17,86.12,71.37,81.15,81.4,103.05,74.66,75.66,73.42,84.22,72.35,25.15,19.26,21.38,26.96,33.02,41.29,36.36,39.03,42.87,46.88,44.03,44.03,87.91,87.91,47.06,58.03,36.08,48.67,27.93,36.58,55.9,74.29,67.32,53.31,60.61,72.22,83.14,67.6,67.6,153.14,153.14,227.13,229.47,224.78,65.59,31.98,53.2,79.68,97.49,232.88,228.62,230.86,234.54,237.51,128.18,128.18,171.29,171.29
5,0.00019212,0.03619,73.35,65.17,70.55,64.67,71.13,70.74,83.24,68.65,71.43,74.35,93.49,71.28,70.8,72.68,79.35,72.75,20.03,14.85,16.58,21.37,27.29,38.19,33.98,36.07,39.44,43.28,41.99,41.99,91.51,91.51,45.47,52.1,38.84,36.51,20.62,26.31,40.83,58.28,61.22,50.23,54.84,64.45,75.35,62.03,62.03,216.59,216.59,226.48,230.13,222.83,60.7,26.62,47.46,74.1,94.62,228.16,223.65,225.72,229.71,233.54,105.95,105.95,245.69,245.69
6,0.00019020,0.03258,63.99,54.06,61.42,55.84,60.35,63.36,75.89,59.27,62.83,69.23,86.29,62.76,62.98,57.5,68.44,59.61,17.15,12.97,14.23,18.11,23.3,35.78,32.37,34.0,36.7,40.05,38.87,38.87,68.85,68.85,31.62,32.07,31.17,34.42,23.77,27.1,36.8,49.99,53.82,46.15,48.86,55.52,64.76,60.24,60.24,208.16,208.16,228.89,232.47,225.31,59.9,27.02,45.45,72.35,94.77,227.68,222.75,225.0,229.29,233.67,126.24,126.24,227.66,227.66
7,0.00018830,0.02976,63.94,53.21,59.28,59.3,60.15,64.37,75.82,57.85,58.8,70.5,84.16,63.8,62.04,60.14,67.64,61.98,14.16,9.66,11.12,15.26,20.61,33.57,29.87,31.62,34.55,38.22,35.83,35.83,67.49,67.49,29.28,29.76,28.8,27.07,15.12,19.45,30.15,43.55,50.78,43.76,46.16,52.37,60.82,54.17,54.17,243.67,243.67,225.9,229.31,222.5,55.79,19.28,40.64,69.91,93.32,224.24,219.12,221.52,225.88,230.43,123.07,123.07,263.1,263.1
8,0.00018641,0.02757,61.58,54.15,59.26,54.78,57.96,61.89,74.07,56.63,57.34,68.19,78.89,61.82,61.43,55.32,64.64,57.33,13.23,8.98,10.35,14.24,19.34,33.23,29.71,31.4,34.19,37.63,34.08,34.08,48.97,48.97,33.75,35.28,32.23,25.05,14.22,18.43,27.96,39.6,45.41,37.92,40.8,47.28,55.64,50.0,50.0,136.27,136.27,225.83,229.59,222.08,53.79,19.19,39.23,66.92,89.82,222.67,217.7,219.97,224.26,228.74,119.23,119.23,163.55,163.55
9,0.00018455,0.02595,62.78,53.34,62.75,54.07,57.75,63.56,72.57,58.32,63.37,71.94,84.83,62.48,61.22,53.2,67.59,54.78,16.76,13.15,14.3,17.53,22.04,33.64,30.31,31.86,34.53,37.85,38.37,38.37,66.92,66.92,30.36,31.01,29.72,24.66,13.64,18.25,27.82,38.93,42.87,35.35,38.44,44.86,52.83,52.99,52.99,246.05,246.05,223.78,227.27,220.29,53.37,18.26,39.04,66.8,89.39,220.1,214.94,217.32,221.82,226.32,113.24,113.24,270.44,270.44
