EXP_INFO, , ,Checkpoint,ckpt/0301/28_base05_loss_m_nm_v_lgt_a_av_1gpu/, , ,Config,ckpt/0301/28_base05_loss_m_nm_v_lgt_a_av_1gpu/config.yaml, , ,Arg,train.py --config ckpt/0301/28_base05_loss_m_nm_v_lgt_a_av_1gpu/config.yaml -c ckpt/0301/28_base05_loss_m_nm_v_lgt_a_av_1gpu/ -gpu 0 -bs 320, , ,PID,4053683
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.09293,81.35,67.53,71.1,74.16,79.85,77.45,97.28,75.88,77.85,90.09,116.41,76.12,80.07,75.67,82.27,78.52,23.35,14.31,19.75,26.51,32.84,41.94,36.36,39.69,43.8,47.93,53.38,53.38,61.95,61.95,60.86,77.63,44.1,55.29,26.45,45.84,65.87,82.99,69.01,46.61,61.32,77.18,90.93,96.67,96.67,84.95,84.95,224.95,227.64,222.26,65.3,27.7,56.99,80.79,95.74,227.75,222.07,225.66,229.87,233.39,162.78,162.78,99.59,99.59
2,0.00019800,0.04368,86.39,76.04,81.32,81.41,83.99,84.83,98.18,78.38,89.17,88.67,108.06,83.99,82.76,83.22,92.18,83.68,32.68,26.69,29.39,34.58,40.04,45.42,40.67,43.27,46.93,50.8,49.92,49.92,73.07,73.07,56.76,66.44,47.08,60.1,38.52,49.22,67.66,84.99,75.79,63.1,69.45,79.99,90.62,73.76,73.76,167.41,167.41,224.84,227.43,222.26,75.33,43.7,65.7,88.4,103.54,230.67,225.9,228.44,232.51,235.82,149.82,149.82,190.11,190.11
3,0.00019602,0.03456,68.09,58.27,64.39,62.72,63.26,66.1,80.71,59.26,69.69,72.46,92.19,66.64,62.78,62.78,77.15,62.96,18.13,14.17,15.28,18.98,24.09,36.88,33.27,35.03,37.84,41.36,39.71,39.71,90.46,90.46,33.13,33.49,32.76,30.61,17.96,22.62,33.86,47.99,50.59,41.76,45.06,52.67,62.88,57.93,57.93,318.91,318.91,224.7,228.32,221.08,58.1,22.21,43.29,71.85,95.05,223.69,218.61,221.06,225.36,229.72,127.26,127.26,334.8,334.8
4,0.00019406,0.02988,58.94,48.4,55.6,52.3,53.15,58.09,72.34,53.34,56.99,67.51,86.18,58.67,57.83,49.75,62.3,51.65,14.52,10.62,11.79,15.38,20.29,35.51,32.67,34.05,36.24,39.09,36.7,36.7,74.28,74.28,28.43,28.69,28.18,27.98,17.7,21.48,30.62,42.12,46.13,38.9,41.49,47.89,56.25,54.07,54.07,262.59,262.59,219.58,222.71,216.46,57.25,22.08,42.4,70.77,93.75,218.89,213.78,216.3,220.59,224.87,139.25,139.25,250.26,250.26
5,0.00019212,0.02556,62.35,54.36,59.53,56.99,57.76,62.58,74.59,57.16,60.78,68.33,86.56,62.16,59.9,53.27,65.66,55.65,16.68,12.96,14.26,17.55,21.95,36.55,34.04,35.21,37.16,39.78,35.29,35.29,45.07,45.07,32.16,32.52,31.8,28.86,19.0,22.86,31.63,41.97,44.98,38.14,40.59,46.7,54.5,49.67,49.67,114.62,114.62,220.7,223.93,217.48,56.58,23.17,42.69,69.55,90.93,219.13,214.43,216.76,220.71,224.62,119.65,119.65,129.09,129.09
6,0.00019020,0.02327,62.43,54.68,61.41,56.06,58.01,61.98,72.61,57.75,58.38,70.03,85.56,61.74,60.51,55.13,64.95,57.61,14.78,11.45,12.36,15.51,19.82,35.45,33.04,34.16,36.02,38.56,34.68,34.68,56.69,56.69,31.69,32.66,30.73,22.53,13.05,16.76,25.23,35.07,48.88,43.77,45.73,50.05,55.97,47.6,47.6,128.7,128.7,219.59,223.09,216.1,50.35,17.4,37.39,63.17,83.45,217.72,213.44,215.44,219.11,222.87,143.17,143.17,140.47,140.47
7,0.00018830,0.02199,56.88,51.12,53.7,52.69,52.49,59.6,69.85,50.66,52.13,65.18,76.48,58.35,54.7,47.65,58.15,50.53,12.6,8.91,10.1,13.49,17.91,33.4,30.57,31.98,34.17,36.87,32.66,32.66,53.8,53.8,24.11,24.41,23.82,20.61,10.74,14.99,23.56,33.17,38.44,31.86,34.45,40.18,47.26,46.9,46.9,127.48,127.48,219.87,224.08,215.66,48.89,15.03,36.11,61.99,82.45,217.4,213.18,215.14,218.8,222.48,102.08,102.08,136.74,136.74
8,0.00018641,0.02034,56.62,50.08,54.26,51.66,51.26,58.1,68.1,53.28,50.76,65.66,78.11,56.7,55.08,48.64,57.86,49.78,10.52,6.25,7.93,11.66,16.23,31.99,29.18,30.53,32.76,35.49,31.15,31.15,61.62,61.62,21.18,21.2,21.17,18.38,7.43,12.74,21.88,31.47,32.07,24.48,27.67,34.24,41.88,43.06,43.06,157.1,157.1,222.93,226.79,219.06,47.08,12.11,34.46,60.43,81.3,218.43,214.31,216.17,219.72,223.5,123.52,123.52,166.57,166.57
9,0.00018455,0.01937,61.13,55.51,59.43,55.63,57.85,61.26,70.51,57.94,55.21,69.55,82.41,60.16,59.84,53.75,60.98,56.84,15.23,12.34,13.24,15.82,19.54,33.68,31.03,32.3,34.39,37.01,32.97,32.97,57.59,57.59,27.6,27.91,27.28,23.55,14.99,18.63,26.01,34.57,33.3,26.22,29.16,35.26,42.58,46.02,46.02,134.08,134.08,226.87,231.16,222.59,49.36,18.82,37.22,60.88,80.52,221.06,216.85,218.87,222.39,226.13,111.7,111.7,150.63,150.63
