EXP_INFO, , ,Checkpoint,ckpt/0304_base030105_woGlobalOrient/01_default/, , ,Config,ckpt/0304_base030105_woGlobalOrient/01_default/config.yaml, , ,Arg,"train.py --config ckpt/0304_base030105_woGlobalOrient/01_default/config.yaml -c ckpt/0304_base030105_woGlobalOrient/01_default/ -gpu 4,5,6,7 -bs 768 -use_presave_data 0", , ,PID,558245
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.20549,187.69,158.22,173.06,205.3,174.84,190.87,202.79,152.58,210.0,233.46,252.18,185.13,171.75,150.07,191.5,163.61,61.59,57.23,59.72,63.02,66.38,91.27,89.45,90.43,91.83,93.37,152.45,152.45,113.96,113.96,84.06,96.17,71.95,82.96,66.08,76.79,89.1,99.85,90.73,73.98,84.63,96.83,107.48,136.24,136.24,120.11,120.11,484.51,485.62,483.41,244.66,235.91,241.91,248.14,252.69,485.34,483.76,484.77,485.91,486.91,563.77,563.77,361.82,361.82
2,0.00019800,0.06638,120.46,103.16,112.13,112.25,119.44,111.67,137.39,102.96,136.48,134.45,163.3,109.41,124.7,104.23,125.28,110.02,36.05,29.41,33.21,38.28,43.27,59.07,55.56,57.48,60.19,63.05,111.57,111.57,90.47,90.47,65.37,80.53,50.22,60.67,38.53,51.06,68.66,84.42,72.52,52.21,65.39,79.99,92.48,102.04,102.04,88.77,88.77,475.04,476.45,473.62,179.95,167.76,175.98,184.81,191.24,477.17,475.32,476.51,477.85,478.99,504.96,504.96,301.56,301.56
3,0.00019602,0.04936,94.5,80.58,88.1,87.22,92.24,88.35,108.11,84.07,95.47,103.26,126.93,87.89,92.57,88.18,105.2,89.26,35.21,28.7,32.21,37.33,42.6,47.63,42.88,45.54,49.14,52.93,69.89,69.89,95.94,95.94,61.93,77.31,46.55,58.2,38.45,46.72,65.17,82.43,70.29,49.16,63.19,78.06,90.75,86.3,86.3,90.05,90.05,435.24,435.69,434.79,117.07,99.93,112.2,123.91,132.23,436.21,434.08,435.54,436.97,438.25,408.47,408.47,207.81,207.81
4,0.00019406,0.04152,84.33,73.4,78.67,80.39,82.86,80.3,99.71,76.23,80.93,88.29,108.93,78.72,84.01,79.81,89.25,83.42,28.18,21.78,24.53,30.25,36.16,43.11,37.87,40.81,44.81,48.96,55.77,55.77,86.16,86.16,59.16,74.77,43.55,51.27,37.91,38.73,55.52,72.92,67.58,47.9,60.13,74.75,87.53,75.65,75.65,115.42,115.42,399.31,399.98,398.64,103.11,82.16,97.04,111.62,121.65,403.0,400.72,402.3,403.88,405.12,387.32,387.32,214.85,214.85
5,0.00019212,0.04127,72.82,60.38,69.86,62.87,70.17,69.17,88.27,66.03,74.19,72.89,93.25,68.66,71.17,70.11,84.05,71.23,19.93,14.58,15.6,21.54,28.02,38.32,33.37,36.15,39.87,43.89,47.98,47.98,76.08,76.08,45.11,52.2,38.01,45.36,34.55,32.55,48.4,65.95,68.02,52.83,62.46,73.64,83.14,64.91,64.91,130.06,130.06,384.6,385.6,383.59,89.58,68.96,81.21,97.83,110.32,385.65,384.23,384.96,386.25,387.16,335.97,335.97,192.22,192.22
6,0.00019020,0.03314,74.53,62.86,71.21,68.02,71.15,71.87,88.26,65.01,70.96,80.63,98.2,70.16,72.9,71.55,80.22,74.99,21.26,17.78,16.76,22.08,28.41,37.68,32.92,35.33,39.11,43.36,46.46,46.46,85.08,85.08,45.48,52.62,38.33,42.13,34.5,30.78,43.87,59.38,57.44,45.28,48.25,60.89,75.35,58.89,58.89,133.77,133.77,399.08,401.01,397.15,86.45,69.0,75.72,93.14,107.94,397.2,396.11,396.11,397.71,398.87,323.02,323.02,153.53,153.53
7,0.00018830,0.03255,72.99,64.79,68.99,67.79,68.76,71.36,84.7,66.7,67.53,81.37,98.13,72.86,71.91,65.74,77.94,66.28,23.18,20.29,19.06,23.73,29.66,40.56,36.4,38.37,41.66,45.79,44.92,44.92,66.01,66.01,34.74,37.05,32.42,38.36,29.15,28.41,40.94,54.94,54.05,44.5,45.55,55.93,70.2,57.82,57.82,125.69,125.69,400.95,402.43,399.48,84.35,65.72,72.48,91.52,107.67,399.49,397.15,398.18,401.25,401.4,341.59,341.59,224.62,224.62
8,0.00018641,0.02858,67.63,56.46,64.25,62.38,62.06,67.14,82.19,60.44,63.11,77.97,96.23,66.19,65.4,58.72,71.63,60.22,20.24,16.41,16.69,21.03,26.83,37.66,33.83,35.49,38.64,42.69,42.8,42.8,59.56,59.56,31.11,32.52,29.7,36.45,24.41,29.01,39.67,52.71,49.96,39.46,43.76,52.39,64.22,55.76,55.76,117.48,117.48,393.09,393.92,392.26,73.53,48.88,60.71,83.38,101.16,395.94,394.28,395.71,397.39,396.38,270.56,270.56,169.76,169.76
9,0.00018455,0.02585,70.47,60.65,68.76,62.69,67.41,70.08,83.96,66.15,69.48,75.82,90.82,67.56,70.1,63.12,74.11,66.33,21.72,18.19,18.69,22.23,27.78,37.37,33.93,35.18,38.14,42.24,41.1,41.1,61.81,61.81,33.17,33.38,32.97,35.21,24.43,28.51,37.96,49.94,47.78,38.49,42.16,49.91,60.56,53.19,53.19,120.42,120.42,386.81,387.22,386.39,79.97,52.83,67.25,91.1,108.69,391.8,390.18,391.66,393.27,392.09,252.64,252.64,205.46,205.46
