EXP_INFO, , ,PID,2540219, , , , ,"train.py --config configs/0501_outputSMPL/config.yaml -c ckpt/0501/00_H36MMESH -gpu 6,7 -bs 256", , ,Checkpoint,ckpt/0501/00_H36MMESH, , ,Config,configs/0501_outputSMPL/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.78069,187.17309,187.95378,234.3,235.45,234.2,233.66,234.65,0.85,0.83,0.09,0.77,0.08,241.56,240.22,240.86,242.21,242.72,0.85,0.83,0.11,0.78,0.1,240.37,238.05,239.48,241.35,242.21,0.85,0.83,0.11,0.77,0.1,252.37,252.37,0.85,0.84,0.1,0.78,0.09,243.56,243.56,0.85,0.83,0.09,0.77,0.08
2,0.00019800,0.72664,177.33072,178.05736,215.68,216.8,215.3,215.01,216.68,0.85,0.83,0.09,0.77,0.08,226.09,224.33,225.36,226.97,227.23,0.85,0.83,0.11,0.78,0.1,225.43,221.97,224.14,226.77,228.4,0.85,0.83,0.11,0.77,0.1,239.2,239.2,0.86,0.84,0.1,0.79,0.09,229.34,229.34,0.85,0.83,0.09,0.78,0.08
3,0.00019602,0.70387,173.43344,174.13731,189.33,191.62,188.96,188.09,190.65,0.85,0.83,0.09,0.77,0.08,201.63,198.74,200.45,202.8,204.22,0.85,0.84,0.11,0.78,0.1,208.73,204.75,207.0,210.19,212.98,0.85,0.83,0.11,0.77,0.1,201.62,201.62,0.86,0.84,0.1,0.78,0.09,229.28,229.28,0.85,0.83,0.08,0.78,0.08
4,0.00019406,0.66835,168.95810,169.62645,147.99,150.91,147.78,146.32,149.21,0.85,0.82,0.08,0.77,0.08,179.97,176.26,178.71,181.36,183.03,0.84,0.83,0.11,0.77,0.1,183.83,178.26,181.76,185.72,189.06,0.84,0.83,0.11,0.77,0.1,170.72,170.72,0.86,0.84,0.09,0.78,0.08,229.04,229.04,0.85,0.83,0.08,0.77,0.07
5,0.00019212,0.63116,165.14843,165.77959,127.27,130.34,127.01,125.5,128.83,0.84,0.82,0.08,0.76,0.08,169.02,163.32,167.1,171.11,173.87,0.84,0.82,0.11,0.77,0.1,172.46,163.88,169.61,175.46,179.94,0.84,0.82,0.11,0.76,0.1,150.6,150.6,0.85,0.83,0.09,0.77,0.08,222.57,222.57,0.84,0.83,0.08,0.77,0.07
6,0.00019020,0.60868,162.31950,162.92819,109.46,112.56,109.44,107.74,110.52,0.84,0.82,0.08,0.77,0.07,159.58,150.98,157.02,162.76,166.3,0.85,0.83,0.1,0.77,0.1,163.18,152.0,159.8,167.12,172.38,0.85,0.83,0.1,0.77,0.1,133.62,133.62,0.86,0.84,0.09,0.78,0.08,217.41,217.41,0.85,0.83,0.07,0.77,0.07
7,0.00018830,0.59192,159.57675,160.16867,109.68,111.79,109.59,108.26,111.25,0.84,0.82,0.08,0.76,0.07,156.28,143.92,152.71,160.9,165.71,0.84,0.82,0.1,0.76,0.09,159.6,144.9,155.26,164.76,171.73,0.83,0.82,0.1,0.76,0.09,129.76,129.76,0.85,0.83,0.08,0.77,0.07,216.08,216.08,0.84,0.82,0.07,0.77,0.06
8,0.00018641,0.57919,157.38789,157.96708,98.56,101.48,98.6,96.91,99.75,0.83,0.81,0.07,0.75,0.07,151.81,137.27,147.62,157.28,163.14,0.83,0.81,0.1,0.76,0.09,154.77,137.88,150.0,160.67,168.45,0.83,0.81,0.1,0.76,0.09,119.99,119.99,0.84,0.82,0.08,0.76,0.07,207.4,207.4,0.83,0.81,0.07,0.76,0.06
9,0.00018455,0.56800,155.54418,156.11218,96.82,99.46,96.71,95.35,98.06,0.82,0.81,0.07,0.75,0.07,151.99,135.42,147.11,158.26,165.18,0.83,0.81,0.1,0.76,0.09,151.71,131.62,146.18,158.7,167.79,0.83,0.81,0.1,0.75,0.09,122.86,122.86,0.84,0.82,0.08,0.77,0.07,195.94,195.94,0.83,0.81,0.06,0.76,0.06
