EXP_INFO, , ,PID,4072276, , , , ,"train.py --config ckpt/0501/02_base00_nojointloss/config.yaml -c ckpt/0501/02_base00_nojointloss/ -gpu 6,7 -bs 256", , ,Checkpoint,ckpt/0501/02_base00_nojointloss/, , ,Config,ckpt/0501/02_base00_nojointloss/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.00000,187.24244,187.24244,246.89,248.33,246.74,246.11,247.4,0.84,0.83,0.09,0.77,0.08,249.68,248.0,248.73,250.41,251.57,0.84,0.83,0.11,0.77,0.1,252.7,250.43,251.68,253.58,254.89,0.84,0.82,0.11,0.77,0.1,257.58,257.58,0.86,0.84,0.1,0.78,0.09,256.21,256.21,0.84,0.83,0.09,0.77,0.08
2,0.00019800,0.00000,177.00323,177.00323,233.63,235.14,233.49,232.82,233.73,0.85,0.83,0.09,0.78,0.08,234.67,232.08,233.72,235.82,236.36,0.85,0.84,0.11,0.78,0.1,242.73,239.07,241.36,244.12,245.61,0.85,0.83,0.11,0.77,0.1,244.75,244.75,0.86,0.84,0.1,0.79,0.09,236.05,236.05,0.85,0.84,0.09,0.78,0.08
3,0.00019602,0.00000,171.39800,171.39800,217.05,218.95,217.05,216.19,216.02,0.84,0.82,0.08,0.77,0.07,230.22,227.76,229.35,231.54,230.13,0.85,0.84,0.11,0.78,0.1,226.09,221.77,224.74,227.94,227.57,0.85,0.83,0.11,0.77,0.1,239.53,239.53,0.86,0.84,0.09,0.78,0.08,231.94,231.94,0.85,0.83,0.08,0.77,0.07
4,0.00019406,0.00000,166.08328,166.08328,192.9,194.27,192.65,192.12,192.72,0.84,0.82,0.08,0.77,0.07,207.99,202.74,205.91,209.86,213.1,0.84,0.82,0.1,0.77,0.09,209.92,201.72,207.28,213.28,214.97,0.84,0.82,0.1,0.77,0.09,223.92,223.92,0.85,0.84,0.09,0.78,0.08,226.71,226.71,0.84,0.83,0.07,0.77,0.07
5,0.00019212,0.00000,162.06930,162.06930,171.26,172.42,170.84,170.43,172.31,0.84,0.82,0.08,0.76,0.07,186.77,179.27,184.52,189.37,193.6,0.84,0.82,0.1,0.77,0.09,195.61,184.48,192.49,199.67,203.04,0.84,0.82,0.11,0.76,0.1,199.07,199.07,0.85,0.83,0.09,0.77,0.08,219.53,219.53,0.84,0.83,0.08,0.77,0.07
6,0.00019020,0.00000,159.26012,159.26012,156.26,156.91,155.56,155.54,158.65,0.84,0.82,0.07,0.76,0.07,180.42,172.1,177.82,183.34,188.29,0.84,0.83,0.1,0.77,0.09,186.45,174.69,182.84,190.59,196.62,0.84,0.82,0.1,0.77,0.09,191.97,191.97,0.85,0.83,0.09,0.78,0.08,220.88,220.88,0.85,0.83,0.07,0.77,0.07
7,0.00018830,0.00000,157.10582,157.10582,151.75,153.29,151.54,150.73,152.56,0.83,0.81,0.07,0.76,0.06,172.6,162.81,169.34,176.09,181.69,0.84,0.82,0.09,0.77,0.08,181.72,167.65,177.62,186.64,193.97,0.83,0.81,0.1,0.76,0.09,179.72,179.72,0.85,0.83,0.08,0.77,0.07,209.28,209.28,0.84,0.82,0.07,0.77,0.06
8,0.00018641,0.00000,155.40142,155.40142,146.21,146.93,145.96,145.52,147.6,0.83,0.81,0.07,0.75,0.06,170.91,159.41,167.28,175.09,180.64,0.83,0.82,0.09,0.76,0.08,177.97,164.1,173.71,183.02,189.77,0.83,0.81,0.1,0.76,0.09,173.26,173.26,0.84,0.82,0.08,0.76,0.07,201.85,201.85,0.83,0.81,0.06,0.76,0.06
9,0.00018455,0.00000,153.86380,153.86380,135.45,136.69,135.3,134.5,136.77,0.82,0.81,0.07,0.75,0.06,166.92,155.13,164.02,171.09,175.0,0.83,0.82,0.09,0.76,0.08,168.94,153.2,164.28,174.52,182.12,0.82,0.81,0.1,0.75,0.09,173.5,173.5,0.85,0.83,0.08,0.77,0.07,182.85,182.85,0.83,0.82,0.07,0.76,0.06
10,0.00018270,0.00000,152.66844,152.66844,132.03,133.36,131.7,131.09,133.19,0.83,0.81,0.07,0.76,0.06,162.14,148.68,158.53,167.04,172.29,0.83,0.82,0.09,0.76,0.08,166.65,150.74,161.94,172.27,180.33,0.83,0.81,0.1,0.76,0.09,163.64,163.64,0.84,0.82,0.07,0.77,0.07,168.33,168.33,0.83,0.82,0.06,0.76,0.06
11,0.00018088,0.00000,151.44325,151.44325,128.09,129.45,127.8,126.97,129.52,0.84,0.81,0.07,0.76,0.06,160.58,146.83,156.78,165.67,171.1,0.84,0.82,0.09,0.76,0.08,164.74,147.23,159.36,170.99,179.88,0.84,0.82,0.1,0.76,0.09,164.38,164.38,0.85,0.83,0.08,0.77,0.07,159.57,159.57,0.84,0.82,0.06,0.76,0.06
13,0.00017728,0.00000,148.89263,148.89263,129.16,130.57,129.21,127.98,129.82,0.83,0.81,0.07,0.75,0.06,158.15,142.7,153.99,163.85,169.5,0.83,0.81,0.09,0.76,0.08,165.44,146.21,160.67,172.27,179.49,0.83,0.81,0.09,0.75,0.09,156.93,156.93,0.84,0.82,0.07,0.76,0.07,150.17,150.17,0.83,0.81,0.05,0.76,0.05
15,0.00017375,0.00000,147.12035,147.12035,127.92,129.87,127.73,126.65,129.28,0.83,0.81,0.07,0.75,0.06,154.98,137.87,150.7,161.18,166.71,0.83,0.81,0.09,0.76,0.08,164.38,144.25,159.31,171.41,179.42,0.83,0.81,0.09,0.75,0.09,149.58,149.58,0.84,0.82,0.07,0.76,0.07,139.54,139.54,0.83,0.81,0.05,0.76,0.05
17,0.00017029,0.00000,145.74429,145.74429,121.86,123.55,122.04,120.9,122.46,0.82,0.8,0.06,0.75,0.06,152.73,135.33,148.05,159.35,165.37,0.83,0.81,0.09,0.76,0.08,160.67,139.89,155.71,167.71,176.37,0.82,0.8,0.09,0.75,0.09,147.51,147.51,0.83,0.82,0.07,0.76,0.07,137.74,137.74,0.83,0.81,0.06,0.75,0.05
19,0.00016690,0.00000,144.34047,144.34047,118.21,120.0,118.12,117.27,119.79,0.82,0.8,0.07,0.74,0.06,150.64,132.06,145.43,157.77,164.5,0.83,0.81,0.09,0.76,0.08,158.27,135.48,152.48,166.46,175.26,0.82,0.8,0.09,0.75,0.09,146.42,146.42,0.84,0.82,0.08,0.76,0.07,131.41,131.41,0.83,0.81,0.06,0.75,0.05
