EXP_INFO, , ,PID,2516548, , , , ,"train.py --config ckpt/0501/03_base02_vertex_x1000/config.yaml -c ckpt/0501/03_base02_vertex_x1000/ -gpu 6,7 -bs 256 -vertex_x1000", , ,Checkpoint,ckpt/0501/03_base02_vertex_x1000/, , ,Config,ckpt/0501/03_base02_vertex_x1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.00000,528.04717,528.04717,168.5,175.72,167.04,165.16,171.54,208.74,174.73,110.9,157.03,101.59,187.04,171.79,182.5,192.45,200.02,239.26,202.57,114.95,181.7,105.96,190.27,176.06,185.93,195.34,202.58,239.88,202.91,114.48,182.16,105.28,199.32,199.32,224.03,189.23,115.89,169.09,106.95,167.56,167.56,205.51,172.01,111.01,154.61,101.88
2,0.00019800,0.00000,478.34106,478.34106,145.13,153.68,143.47,141.35,148.21,154.94,129.61,87.25,116.86,79.84,168.73,149.49,163.42,175.64,183.91,207.62,174.23,100.66,157.0,92.4,177.05,159.68,172.06,183.38,190.85,208.57,175.41,100.81,158.11,92.68,173.29,173.29,167.04,138.22,96.44,123.78,87.88,148.8,148.8,152.51,126.7,88.23,114.35,80.58
3,0.00019602,0.00000,456.94428,456.94428,119.18,126.39,117.73,116.02,121.91,135.41,113.38,76.4,102.46,70.12,156.38,136.25,150.98,163.51,172.12,203.28,170.05,97.31,153.23,89.57,164.27,147.6,160.11,170.23,176.07,207.96,174.32,99.66,157.17,91.71,150.46,150.46,145.39,118.54,87.58,106.21,79.79,131.98,131.98,138.69,115.52,80.0,104.38,73.29
4,0.00019406,0.00000,438.87573,438.87573,108.04,109.62,106.85,107.33,110.63,121.61,104.25,67.37,94.35,62.06,146.06,121.53,140.11,155.39,162.14,176.81,148.43,90.01,133.66,82.54,153.96,130.99,148.69,162.97,167.53,183.36,155.54,92.72,140.35,85.34,145.99,145.99,131.36,108.35,80.29,96.63,73.26,112.42,112.42,132.67,112.31,74.22,100.92,67.86
5,0.00019212,0.00000,398.88493,398.88493,104.36,102.83,104.27,104.64,103.09,105.22,86.94,57.47,79.47,52.62,128.45,100.78,119.74,138.79,152.79,155.31,128.36,83.16,115.81,75.88,145.32,123.65,137.85,153.21,166.25,170.56,142.44,88.0,128.94,80.53,118.25,118.25,100.77,77.57,63.83,69.49,57.74,86.39,86.39,82.17,65.39,49.77,59.51,45.51
6,0.00019020,0.00000,367.93886,367.93886,88.0,87.87,86.83,87.85,90.94,92.51,77.04,52.44,70.16,47.84,119.78,81.33,107.89,133.65,154.1,139.33,116.11,75.54,104.67,68.97,133.87,104.52,125.32,144.25,160.07,158.98,133.37,83.59,120.58,76.39,112.22,112.22,84.59,64.34,56.91,57.16,51.29,58.92,58.92,56.24,45.11,36.28,40.79,33.29
7,0.00018830,0.00000,353.60628,353.60628,92.03,94.38,91.63,91.0,93.07,98.28,83.03,53.82,75.43,49.44,120.25,84.98,111.73,133.09,147.34,141.36,117.62,75.21,106.33,68.93,136.04,110.95,129.23,145.18,156.82,161.02,134.5,84.63,121.69,77.53,118.63,118.63,87.87,68.75,55.89,61.09,50.77,61.79,61.79,57.25,46.74,33.82,42.63,31.28
8,0.00018641,0.00000,345.45464,345.45464,94.44,100.14,95.51,91.68,94.19,100.54,85.53,54.02,78.04,49.6,154.39,125.65,148.81,165.04,171.97,145.95,121.61,75.17,110.48,69.32,146.91,123.39,140.99,155.26,165.68,165.0,138.79,85.3,125.76,78.06,110.36,110.36,85.17,65.9,53.41,59.07,48.62,60.64,60.64,56.65,44.95,31.13,41.47,29.25
9,0.00018455,0.00000,341.26920,341.26920,91.58,90.65,90.11,91.39,96.12,95.85,79.23,50.38,72.35,46.31,109.55,66.83,99.22,124.89,142.08,132.66,109.22,69.99,98.72,64.08,131.9,100.21,123.51,143.1,157.3,156.24,130.09,81.64,117.87,74.88,99.33,99.33,80.75,60.07,50.02,53.51,45.13,52.2,52.2,53.73,42.0,27.88,38.29,25.64
