EXP_INFO, , ,PID,1392438, , , , ,"train.py --config ckpt/0501/04_H36MTCMR/config.yaml -c ckpt/0501/04_H36MTCMR/ -gpu 6,7 -bs 256", , ,Checkpoint,ckpt/0501/04_H36MTCMR/, , ,Config,ckpt/0501/04_H36MTCMR/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH_TCMR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.56432,155.54055,156.10487,212.67,212.7,212.62,212.73,212.69,933.67,841.64,181.09,782.51,157.78,218.47,217.33,218.1,218.77,219.77,930.05,838.64,188.14,780.38,164.72,217.31,216.09,216.91,217.64,218.68,931.49,839.73,187.78,780.99,164.74,250.27,250.27,939.8,845.62,189.48,786.81,166.26,230.12,230.12,929.48,837.68,180.52,779.46,156.69
2,0.00019800,0.47333,143.82179,144.29512,138.13,138.21,138.06,138.11,138.44,905.35,822.41,176.72,764.42,153.09,145.25,143.63,144.65,145.58,147.4,904.67,822.11,183.86,764.45,160.67,152.23,150.17,151.54,152.75,154.66,905.49,822.83,184.17,765.06,160.95,185.23,185.23,913.37,828.69,184.17,770.27,160.69,230.09,230.09,909.4,824.73,178.46,766.7,154.53
3,0.00019602,0.42285,137.06995,137.49279,99.58,99.92,99.47,99.5,99.83,898.64,815.72,172.91,758.71,149.14,121.84,119.8,121.09,122.34,124.39,900.01,817.06,180.94,760.06,157.45,128.49,125.92,127.69,129.18,131.19,899.87,817.19,182.21,760.27,158.91,142.44,142.44,909.31,823.92,180.02,766.26,155.97,224.25,224.25,903.17,818.03,173.92,761.2,149.64
4,0.00019406,0.38046,131.50348,131.88394,86.41,86.87,86.47,86.28,86.25,900.52,817.44,174.61,760.06,150.34,100.08,87.82,95.26,104.35,113.78,897.8,816.02,180.27,758.8,155.94,115.11,105.16,111.0,118.5,127.37,900.57,818.48,181.99,761.18,158.07,129.25,129.25,909.48,824.79,180.95,766.28,156.5,110.34,110.34,897.59,814.22,173.29,757.05,148.36
5,0.00019212,0.34895,126.73252,127.08147,81.21,81.17,81.3,81.24,81.12,893.49,810.61,173.5,753.3,149.13,91.03,71.11,83.18,98.65,111.91,887.29,806.62,177.98,749.77,153.52,106.04,90.05,99.76,111.97,123.54,892.52,810.58,180.46,753.52,156.38,122.88,122.88,895.56,814.68,178.28,756.93,153.65,92.94,92.94,889.39,807.19,172.24,750.05,147.06
6,0.00019020,0.31725,123.80655,124.12380,73.98,74.05,74.03,73.99,73.81,890.57,807.35,173.0,750.93,148.34,83.11,59.85,74.42,91.85,107.09,885.74,803.96,178.1,747.79,153.28,97.11,79.29,89.97,103.66,117.07,888.79,806.74,179.57,750.58,155.22,118.47,118.47,897.53,815.39,176.98,757.9,152.32,64.52,64.52,887.53,804.25,171.93,747.83,146.35
7,0.00018830,0.30150,122.01184,122.31333,76.95,77.17,77.01,76.86,76.77,889.58,807.15,172.79,750.22,147.98,82.62,58.66,73.98,91.32,107.36,883.03,802.33,178.74,745.77,153.63,98.67,81.61,91.89,104.83,117.91,887.82,806.6,179.49,749.89,155.02,116.9,116.9,898.52,815.93,179.11,757.62,154.07,59.23,59.23,884.28,801.89,173.1,745.23,147.04
8,0.00018641,0.29407,120.81534,121.10941,74.06,74.06,74.06,74.11,73.97,887.85,806.08,172.76,749.1,148.24,81.22,57.32,72.56,89.73,106.24,886.85,805.9,179.12,749.12,154.18,97.37,80.03,90.31,103.6,117.44,887.33,806.27,180.26,749.47,155.87,114.01,114.01,897.66,815.18,179.58,756.89,154.47,57.03,57.03,887.33,805.21,171.95,748.14,146.38
9,0.00018455,0.28811,119.76226,120.05037,70.04,70.0,70.05,70.13,69.86,897.04,811.23,173.42,753.62,148.82,77.22,52.96,68.35,85.79,102.91,897.43,811.97,183.02,754.09,157.9,92.18,74.9,85.12,98.31,112.22,898.18,812.87,182.26,755.18,157.72,110.25,110.25,909.08,821.63,180.93,762.57,155.99,52.82,52.82,894.9,809.37,173.96,751.66,148.46
