EXP_INFO, , ,PID,1860566, , , , ,train.py --config ckpt/0501/05_base04_vx1000/config.yaml -c ckpt/0501/05_base04_vx1000/ -gpu 0 -bs 200 -vertex_x1000, , ,Checkpoint,ckpt/0501/05_base04_vx1000/, , ,Config,ckpt/0501/05_base04_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH_TCMR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.50792,409.93168,410.43960,167.17,168.68,166.4,166.51,168.95,383.02,236.75,166.42,208.29,149.98,174.79,167.99,172.29,177.01,182.31,381.87,238.16,165.38,209.75,148.86,177.45,170.61,174.96,179.69,184.92,385.34,241.61,166.21,212.69,149.8,204.31,204.31,396.31,252.22,172.55,221.99,155.69,167.64,167.64,387.36,240.09,167.72,210.96,151.61
2,0.00019800,0.41627,370.53311,370.94938,136.16,139.24,135.29,134.87,137.96,353.55,200.56,153.55,176.11,136.32,149.37,140.47,146.27,152.32,158.59,358.33,210.04,155.96,184.79,138.57,148.29,139.83,145.38,151.1,157.0,360.03,210.47,155.78,185.14,138.49,183.65,183.65,369.71,222.23,164.03,195.38,146.12,139.34,139.34,356.16,200.85,154.76,176.27,137.38
3,0.00019602,0.39194,359.18368,359.57562,122.08,126.18,121.06,120.31,124.19,333.71,183.63,147.39,160.97,130.28,136.42,125.87,133.02,139.95,146.72,340.51,198.28,152.15,174.49,134.96,136.77,126.77,133.51,140.1,146.59,343.57,198.05,151.63,174.2,134.54,173.04,173.04,348.93,207.29,159.64,182.29,141.67,125.16,125.16,335.51,183.89,148.78,161.09,131.52
4,0.00019406,0.37819,349.75178,350.12998,111.22,115.57,110.16,109.29,113.62,329.02,174.28,140.62,152.43,124.3,128.25,116.3,124.47,132.25,139.72,335.04,189.44,146.08,166.41,129.53,128.49,117.02,124.82,132.34,139.55,339.94,190.88,146.14,167.6,129.71,163.88,163.88,345.54,198.28,154.2,173.8,136.8,114.62,114.62,328.99,174.0,141.84,152.08,125.36
5,0.00019212,0.35960,336.34625,336.70586,99.93,109.24,101.28,95.96,96.81,304.96,161.0,129.74,140.67,113.99,112.63,97.7,107.64,117.88,127.1,311.97,173.17,137.53,151.57,121.41,114.38,100.27,109.57,119.35,128.21,314.28,175.52,137.85,153.72,121.7,156.2,156.2,330.58,184.42,146.77,161.11,129.48,99.67,99.67,303.76,158.78,129.95,138.58,114.17
6,0.00019020,0.34116,323.52668,323.86784,94.46,103.16,97.18,90.69,88.63,303.27,156.5,127.48,136.08,111.92,106.88,92.96,101.58,111.93,121.54,309.5,167.79,134.8,146.42,118.75,108.82,95.65,103.71,113.59,122.85,311.44,169.94,135.01,148.32,119.07,149.4,149.4,329.54,179.8,144.79,156.48,127.61,87.21,87.21,298.97,150.51,125.53,130.79,110.05
7,0.00018830,0.31871,310.37678,310.69549,83.84,86.54,84.66,82.82,81.96,297.28,142.25,119.27,123.09,104.37,96.87,78.34,89.86,103.92,115.94,304.53,156.68,129.93,136.07,114.01,104.98,91.46,99.56,110.01,119.69,310.27,164.15,132.12,142.9,116.29,133.27,133.27,319.81,162.81,137.39,140.85,120.4,74.68,74.68,292.31,134.21,116.61,115.82,101.68
8,0.00018641,0.29809,299.25749,299.55558,73.03,73.22,72.98,73.04,73.09,295.8,136.11,116.23,117.54,101.31,89.95,69.36,81.42,98.18,111.98,302.46,151.68,127.93,131.45,112.01,97.52,81.74,90.72,103.74,115.12,308.45,159.93,130.42,138.97,114.49,126.36,126.36,316.86,158.26,134.6,136.82,117.9,66.55,66.55,291.15,129.12,114.6,111.05,99.66
9,0.00018455,0.28220,290.98895,291.27115,73.17,74.15,73.31,72.93,72.62,293.03,131.5,112.79,113.53,98.19,86.65,67.1,78.1,94.48,108.48,302.29,146.68,124.94,126.97,109.3,93.71,77.58,86.43,100.1,112.35,305.41,153.22,126.43,133.02,110.82,120.54,120.54,314.44,150.57,131.1,129.74,114.65,65.47,65.47,289.44,123.22,110.85,105.81,96.32
10,0.00018270,0.26732,282.70162,282.96894,73.12,73.37,72.88,73.12,73.54,303.1,131.51,111.17,113.61,96.8,84.29,66.0,75.75,91.72,105.81,310.35,145.57,123.05,126.06,107.7,92.06,76.89,84.77,98.14,110.51,313.01,152.0,124.78,131.98,109.32,114.0,114.0,322.0,146.73,128.53,126.31,112.28,64.11,64.11,300.07,123.26,109.22,105.97,94.88
11,0.00018088,0.25645,276.34814,276.60459,73.02,72.75,72.75,73.26,73.54,308.76,136.52,113.03,117.96,98.97,81.92,65.08,73.41,88.87,103.0,312.09,145.91,122.62,126.56,107.42,91.76,78.22,84.83,97.2,109.16,314.57,154.45,125.7,134.21,110.36,136.06,136.06,331.56,162.09,132.59,140.33,116.65,63.45,63.45,308.0,129.06,110.51,111.3,96.51
13,0.00017728,0.23924,264.29378,264.53302,69.28,69.97,68.93,69.12,69.87,294.8,127.45,108.65,109.95,94.57,75.94,59.53,67.26,82.59,97.45,296.75,133.95,115.84,115.69,101.11,85.73,72.28,78.48,91.05,103.97,304.28,145.47,120.43,126.15,105.44,98.0,98.0,302.81,129.02,118.59,110.51,103.13,55.72,55.72,285.73,112.68,102.84,96.5,88.98
15,0.00017375,0.22665,256.14373,256.37038,67.54,67.58,67.23,67.59,68.15,296.47,125.67,108.13,108.5,93.98,70.46,54.27,61.62,77.01,92.36,296.28,130.24,113.69,112.57,99.1,82.52,69.74,75.07,87.62,100.97,304.89,141.84,118.8,123.03,103.86,90.14,90.14,302.8,124.82,115.79,106.98,100.58,50.16,50.16,286.62,109.51,101.04,93.93,87.35
17,0.00017029,0.21922,250.77495,250.99416,64.54,64.91,64.36,64.46,64.86,296.54,124.31,107.01,107.23,93.03,67.45,51.07,58.48,74.03,89.64,293.35,127.31,112.18,109.79,97.66,78.64,65.56,71.1,83.85,97.28,304.6,139.26,117.3,120.65,102.56,86.2,86.2,298.66,122.16,114.49,104.4,99.21,47.94,47.94,282.75,107.21,99.3,91.72,85.65
19,0.00016690,0.21234,246.46269,246.67502,62.38,62.85,62.28,62.28,62.45,291.54,125.26,106.01,108.42,92.45,62.02,45.37,52.82,68.68,84.98,289.96,125.42,110.91,108.13,96.51,75.87,63.77,68.52,80.62,94.12,301.34,139.41,116.49,121.0,101.98,81.1,81.1,290.56,119.73,112.48,102.4,97.51,43.09,43.09,277.56,105.91,98.45,90.61,84.99
21,0.00016358,0.20657,242.91567,243.12224,59.95,60.87,59.93,59.71,59.85,286.13,122.5,106.59,105.67,92.64,62.23,46.23,53.38,68.54,84.45,281.81,124.85,111.47,107.71,96.85,73.82,61.14,66.41,78.78,92.38,293.67,136.68,116.58,118.37,101.81,80.84,80.84,286.9,119.25,112.08,102.19,97.05,44.52,44.52,274.57,105.51,98.77,90.38,85.07
23,0.00016033,0.20227,240.38939,240.59166,60.24,60.58,60.11,60.24,60.4,296.13,123.89,105.39,107.05,91.66,62.66,46.4,53.86,69.1,84.8,293.34,125.04,109.79,108.05,95.4,74.42,61.75,67.14,79.36,92.69,303.01,137.7,115.5,119.4,100.92,81.44,81.44,300.76,120.1,111.14,103.01,96.26,43.74,43.74,285.65,106.15,97.48,91.08,83.98
25,0.00015714,0.19823,237.57066,237.76889,58.32,59.08,58.3,58.07,58.25,289.57,120.18,103.43,103.62,89.93,58.79,42.3,49.82,65.3,81.34,290.81,122.3,108.82,105.32,94.56,72.91,60.11,65.69,77.84,91.17,301.55,135.28,114.32,117.11,99.89,75.56,75.56,289.56,115.98,109.85,99.0,95.0,39.76,39.76,278.07,102.33,96.02,87.3,82.68
