EXP_INFO, , ,PID,2060132, , , , ,"train.py --config ckpt/0501/06_base01_vx1000/config.yaml -c ckpt/0501/06_base01_vx1000/ -gpu 4,5 -bs 256 -vertex_x1000", , ,Checkpoint,ckpt/0501/06_base01_vx1000/, , ,Config,ckpt/0501/06_base01_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.35528,300.36608,300.72136,121.43,121.74,121.1,121.34,122.14,152.03,129.55,98.49,114.78,88.13,122.13,120.65,121.55,122.62,123.8,156.73,133.53,99.51,118.35,88.94,124.42,122.59,123.72,125.05,126.44,154.37,131.77,98.88,116.72,88.43,149.94,149.94,179.51,153.82,99.82,135.99,89.35,134.74,134.74,178.07,152.51,98.42,134.88,88.13
2,0.00019800,0.27032,256.70410,256.97442,115.35,115.87,115.0,115.16,116.07,151.68,128.13,99.68,113.2,89.25,117.76,115.74,117.01,118.44,119.97,155.69,131.53,100.29,116.22,89.76,118.59,116.46,117.8,119.3,120.91,155.68,131.67,100.56,116.35,90.0,143.1,143.1,183.26,154.97,103.93,136.59,93.15,114.27,114.27,153.66,130.51,98.37,115.32,88.08
3,0.00019602,0.24625,244.83928,245.08553,96.83,98.64,95.99,96.11,98.57,125.45,105.92,85.72,93.58,76.45,106.28,100.43,104.36,108.32,111.87,136.8,115.83,91.97,102.29,82.0,106.56,100.6,104.6,108.64,112.24,136.71,115.61,91.37,102.1,81.43,130.39,130.39,154.14,129.02,97.86,113.59,87.38,96.98,96.98,125.99,107.05,85.91,94.84,76.79
4,0.00019406,0.22134,229.00858,229.22992,82.62,85.35,81.77,81.49,84.39,105.32,89.3,74.36,78.43,66.19,96.05,88.11,93.5,98.84,103.46,122.77,104.68,84.25,91.97,74.91,96.15,88.2,93.62,98.95,103.5,123.26,105.02,84.61,92.24,75.18,115.43,115.43,130.66,109.72,87.4,96.53,78.03,83.35,83.35,106.07,90.11,74.5,79.22,66.36
5,0.00019212,0.20222,217.46703,217.66924,74.07,77.49,75.74,72.74,69.99,95.24,80.51,66.07,71.09,58.91,77.64,69.26,72.4,80.89,90.66,98.16,83.62,66.98,73.89,59.83,83.99,78.79,80.75,85.66,92.72,106.55,91.16,73.58,80.28,65.43,102.94,102.94,113.24,94.69,77.0,83.49,68.73,69.26,69.26,87.59,73.96,60.41,65.54,54.09
6,0.00019020,0.18090,205.50054,205.68144,68.11,72.15,69.74,66.64,63.71,89.45,73.81,60.91,64.96,54.23,69.12,59.75,63.29,72.28,84.35,89.09,74.65,59.81,65.79,53.55,73.35,64.48,67.99,76.36,87.39,94.99,79.57,63.96,70.03,57.1,90.2,90.2,97.67,80.75,65.69,71.28,58.77,59.96,59.96,78.35,63.66,51.23,56.3,46.01
7,0.00018830,0.16669,196.11842,196.28511,58.05,58.96,58.25,57.67,57.39,75.27,60.93,49.37,54.0,44.12,62.14,55.02,57.3,64.26,75.37,77.3,64.75,51.46,57.17,46.11,70.57,64.79,66.85,72.32,80.86,91.32,76.56,61.45,67.38,54.72,86.06,86.06,87.81,72.35,59.32,63.99,53.0,54.03,54.03,67.56,55.03,43.95,48.8,39.43
8,0.00018641,0.15450,187.13098,187.28548,53.64,54.06,53.7,53.5,53.41,67.38,53.82,42.56,47.94,38.11,55.55,48.65,51.14,57.65,67.66,67.98,56.01,44.83,49.54,40.23,63.9,58.22,60.15,65.63,74.19,80.24,66.34,53.13,58.72,47.39,85.96,85.96,81.79,66.31,55.08,58.6,49.21,48.22,48.22,58.65,47.01,37.06,41.75,33.36
9,0.00018455,0.14519,180.20260,180.34779,47.57,47.65,47.62,47.52,47.54,59.64,48.34,35.67,43.26,32.3,48.96,41.55,44.42,51.31,61.33,60.22,50.41,38.47,44.72,34.81,61.36,55.93,57.92,63.11,70.63,78.31,66.13,51.49,58.49,46.03,76.6,76.6,71.34,58.15,47.88,51.37,43.01,40.67,40.67,48.96,39.91,29.39,35.61,26.82
