EXP_INFO, , ,PID,804800, , , , ,"train.py --config ckpt/0501/07_base00_vx1000/config.yaml -c ckpt/0501/07_base00_vx1000/ -gpu 6,7 -bs 256 -vertex_x1000", , ,Checkpoint,ckpt/0501/07_base00_vx1000/, , ,Config,ckpt/0501/07_base00_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.75696,553.47343,554.23040,253.04,253.78,253.07,252.61,253.1,356.69,310.85,131.85,274.08,123.7,250.53,250.21,250.15,250.85,250.84,353.03,308.73,131.26,272.32,123.27,253.6,253.56,253.26,253.81,253.72,356.06,311.45,131.38,274.72,123.4,267.75,267.75,354.52,308.97,131.7,272.42,123.55,253.75,253.75,356.39,310.53,131.82,273.78,123.67
2,0.00019800,0.69093,532.04516,532.73609,156.65,164.22,155.09,153.23,159.83,217.51,184.78,109.38,166.05,100.23,174.64,157.46,169.37,180.77,189.68,239.89,204.17,112.82,183.08,103.84,178.73,164.23,174.28,183.86,191.36,244.22,208.72,112.61,187.12,103.47,192.41,192.41,230.45,194.73,114.45,174.42,105.29,152.25,152.25,212.71,179.71,108.68,161.64,99.52
3,0.00019602,0.63821,490.86692,491.50513,139.89,148.21,137.42,135.98,145.27,176.58,150.0,95.91,135.18,88.13,161.09,139.29,154.85,168.75,179.19,216.44,182.59,104.53,164.41,96.09,171.54,153.13,166.24,177.96,186.84,221.19,187.34,105.23,168.49,96.93,177.03,177.03,197.51,164.71,106.46,148.05,97.66,133.51,133.51,171.79,144.57,95.65,130.74,87.65
4,0.00019406,0.60939,473.49645,474.10584,162.77,169.13,161.4,159.82,165.98,195.82,169.47,101.96,152.13,94.59,168.22,149.02,162.85,174.84,183.88,212.96,180.99,105.06,162.78,96.91,187.04,173.49,183.02,191.75,198.47,233.41,200.09,110.83,179.49,102.63,193.96,193.96,209.88,179.22,110.79,160.29,102.12,148.1,148.1,173.0,148.17,97.35,133.69,89.93
5,0.00019212,0.60935,475.57121,476.18056,118.29,128.79,115.62,113.2,124.67,147.18,123.66,81.18,111.65,74.6,154.62,131.39,148.36,162.72,173.04,205.41,171.74,98.76,154.55,90.8,160.27,138.05,154.55,167.86,177.53,209.6,175.53,100.23,158.05,92.31,160.89,160.89,175.38,145.24,97.49,130.02,89.13,117.19,117.19,144.53,120.8,81.69,109.03,74.79
6,0.00019020,0.58333,458.21344,458.79677,105.51,120.4,106.64,98.22,104.64,141.6,119.26,78.15,107.67,71.85,142.59,118.56,136.23,150.92,161.43,194.93,163.54,95.13,147.28,87.52,146.12,121.81,140.02,154.54,164.41,196.89,165.49,96.31,149.09,88.68,147.0,147.0,167.23,138.33,94.43,123.79,86.3,107.8,107.8,138.61,116.23,78.78,104.95,72.11
7,0.00018830,0.57222,454.40346,454.97568,111.74,122.27,113.49,107.6,108.33,140.32,118.87,78.17,107.42,72.16,145.16,123.56,139.21,152.5,162.61,192.61,162.36,94.87,146.09,87.42,153.43,134.86,148.74,159.37,167.96,198.96,167.48,97.5,150.96,89.97,149.47,149.47,163.9,136.4,93.41,121.79,85.84,108.84,108.84,135.79,114.23,77.98,103.09,71.59
8,0.00018641,0.54118,435.64601,436.18718,98.3,108.82,102.54,94.73,88.82,132.42,111.96,71.13,101.1,65.11,124.07,88.49,115.34,136.18,151.46,168.28,141.69,87.41,127.54,79.9,137.13,109.87,129.36,146.68,160.02,178.65,151.66,91.35,136.88,83.74,130.12,130.12,138.81,113.16,82.05,101.11,74.61,78.99,78.99,104.18,86.66,62.33,78.05,57.0
9,0.00018455,0.48666,405.53459,406.02124,89.09,90.65,89.1,88.28,90.09,110.84,92.9,60.03,84.32,54.78,122.85,83.24,113.68,136.29,152.78,159.84,133.34,84.47,120.01,77.05,135.8,105.7,127.91,146.27,160.23,173.7,146.55,89.25,132.23,81.6,122.54,122.54,125.14,99.3,75.42,88.6,68.27,73.03,73.03,88.95,71.45,53.08,64.3,48.24
