EXP_INFO, , ,PID,171720, , , , ,train.py --config ckpt/0502_AMASS_H36MMESH/06_smalldata_ApcbHecb_M01V02_vx1000/config.yaml -c ckpt/0502_AMASS_H36MMESH/06_smalldata_ApcbHecb_M01V02_vx1000/ -gpu 0 -bs 220 -vertex_x1000 -out 050206, , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/06_smalldata_ApcbHecb_M01V02_vx1000/, , ,Config,ckpt/0502_AMASS_H36MMESH/06_smalldata_ApcbHecb_M01V02_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.46034,373.48148,373.94181,117.22,116.15,116.76,117.55,118.54,144.26,123.23,96.26,108.13,85.45,135.04,135.04,154.13,131.59,97.47,115.56,86.75,115.14,115.14,141.04,120.74,95.71,106.01,85.03,227.23,227.75,226.68,226.92,228.56,338.52,297.37,119.92,263.36,110.5,240.64,240.64,335.96,293.42,130.96,260.0,121.55,214.32,214.32,326.28,284.32,123.83,252.1,114.42
2,0.00019800,0.38719,328.11401,328.50120,107.42,104.73,106.44,108.33,110.26,133.1,114.27,88.24,100.73,78.33,121.0,121.0,137.04,116.8,90.61,102.83,80.58,103.41,103.41,125.06,108.2,85.05,95.6,75.6,184.99,187.29,183.09,183.81,189.43,236.56,202.56,104.75,181.87,97.07,209.52,209.52,247.78,213.67,112.28,190.85,104.47,178.3,178.3,225.47,193.75,102.64,173.93,95.11
3,0.00019602,0.36462,311.90058,312.26520,116.25,113.15,115.1,117.31,119.56,128.78,110.6,86.5,97.4,76.64,131.05,131.05,133.95,114.45,88.46,100.74,78.5,112.04,112.04,121.47,104.75,82.75,92.39,73.36,186.92,189.93,185.15,185.32,191.34,230.76,199.01,106.0,179.09,98.29,212.02,212.02,240.6,207.44,110.79,185.66,102.88,182.04,182.04,216.97,187.74,100.55,169.1,93.18
4,0.00019406,0.36055,309.78539,310.14594,107.56,104.07,106.29,108.76,111.24,124.99,107.95,84.47,95.17,74.77,119.21,119.21,127.69,109.57,86.52,96.54,76.71,103.34,103.34,116.05,100.66,80.27,89.0,71.14,185.46,189.46,184.05,183.48,189.06,223.72,191.79,102.4,171.93,94.24,210.97,210.97,235.0,201.07,108.94,179.89,100.5,178.05,178.05,210.93,180.7,98.95,162.45,90.95
5,0.00019212,0.34886,302.21186,302.56072,103.89,99.28,102.3,105.49,108.5,122.08,104.73,82.59,92.16,72.95,115.72,115.72,124.07,105.37,84.33,92.72,74.65,97.72,97.72,110.94,95.55,76.82,84.39,67.95,180.06,183.81,178.45,177.98,184.52,216.14,187.0,99.62,167.7,91.89,200.37,200.37,223.48,191.26,105.9,171.19,97.74,166.74,166.74,200.25,172.01,95.86,154.75,88.19
6,0.00019020,0.34652,301.87935,302.22587,97.47,91.17,95.38,99.65,103.58,118.14,102.51,81.31,90.01,71.77,109.53,109.53,120.07,102.87,82.17,90.43,72.74,89.28,89.28,105.73,91.5,73.87,80.54,65.27,170.06,173.28,167.95,168.39,175.19,216.35,187.6,102.72,168.66,94.82,194.16,194.16,224.19,194.86,107.84,174.5,99.84,160.01,160.01,200.1,173.48,98.15,156.11,90.56
7,0.00018830,0.34774,303.36906,303.71680,91.23,83.03,88.55,94.11,99.02,114.62,99.22,79.98,87.01,70.46,103.61,103.61,113.93,96.42,78.12,84.75,69.15,80.23,80.23,98.58,84.41,68.95,74.37,60.96,166.24,170.88,164.44,163.89,170.85,205.48,177.82,98.44,159.71,91.04,186.89,186.89,210.99,181.4,104.87,162.41,96.96,151.74,151.74,184.99,159.17,92.81,143.48,85.51
8,0.00018641,0.32971,292.60753,292.93725,113.38,103.54,110.38,116.85,122.15,111.68,96.76,78.68,84.76,69.29,121.53,121.53,108.26,90.36,74.18,79.45,65.72,98.62,98.62,90.91,76.86,63.02,67.76,55.82,150.13,156.79,145.83,146.86,159.34,175.71,151.32,90.27,135.9,83.11,171.78,171.78,186.53,158.13,99.85,141.48,91.73,143.59,143.59,157.46,133.48,86.3,120.42,79.25
9,0.00018455,0.32085,287.21042,287.53127,112.87,102.61,109.68,116.5,122.12,109.56,95.16,77.24,83.23,67.97,121.38,121.38,102.8,85.43,70.26,75.07,62.28,96.19,96.19,85.08,71.55,58.36,63.13,51.79,175.77,182.68,173.73,172.16,181.31,158.25,135.74,85.73,122.05,78.75,206.59,206.59,174.81,147.46,97.12,131.94,89.06,168.97,168.97,145.89,123.14,83.05,111.21,76.23
10,0.00018270,0.31021,280.78622,281.09643,91.72,80.46,88.42,95.72,101.43,107.94,93.52,76.64,81.72,67.48,96.88,96.88,98.11,80.96,67.19,71.2,59.76,71.31,71.31,80.86,66.99,54.94,59.1,48.9,131.57,139.39,128.69,127.32,139.27,144.24,123.68,80.7,111.47,74.07,160.31,160.31,158.07,132.48,91.67,118.55,83.66,129.98,129.98,134.69,114.22,78.02,103.39,71.55
11,0.00018088,0.29896,274.70453,275.00349,91.51,80.82,88.31,95.31,100.82,104.17,90.88,74.79,79.25,65.8,94.99,94.99,92.68,76.38,63.52,67.13,56.57,71.92,71.92,77.04,64.08,52.89,56.43,47.1,127.83,132.3,126.91,125.12,131.39,129.43,109.83,73.67,99.28,67.74,153.69,153.69,140.92,116.68,84.91,104.51,77.4,132.14,132.14,130.78,109.9,75.42,99.54,69.21
13,0.00017728,0.24332,243.49424,243.73756,62.29,50.33,54.91,67.62,78.93,75.03,62.93,50.81,55.88,45.46,80.56,80.56,77.97,63.28,53.03,56.05,47.43,49.7,49.7,59.73,47.71,36.63,43.0,33.26,94.2,95.93,94.15,93.27,94.69,112.26,94.52,62.86,85.3,57.97,111.71,111.71,109.46,87.12,70.24,77.57,63.81,74.23,74.23,84.34,68.58,51.78,62.0,47.75
15,0.00017375,0.20904,223.32938,223.53842,64.41,58.53,60.23,66.36,75.24,75.81,62.77,47.79,55.88,43.14,85.15,85.15,82.49,67.53,54.99,59.7,49.11,54.32,54.32,62.69,50.79,38.33,45.31,34.91,101.38,103.48,101.56,100.65,100.89,122.05,105.43,62.57,95.01,57.77,125.25,125.25,133.01,108.33,72.54,97.98,66.76,73.11,73.11,80.06,68.66,45.2,61.76,41.44
17,0.00017029,0.19909,216.13156,216.33065,55.42,49.62,51.58,57.22,65.96,54.5,44.63,35.0,39.57,31.72,79.22,79.22,64.11,51.73,44.99,45.51,40.18,48.73,48.73,43.29,34.32,26.59,30.6,24.21,96.12,97.22,95.91,95.75,96.98,97.59,81.55,52.66,74.41,48.43,105.78,105.78,86.11,65.76,56.16,58.8,50.95,65.71,65.71,55.76,44.51,33.99,40.79,31.51
19,0.00016690,0.18508,206.56284,206.74792,44.71,38.13,40.24,46.69,56.89,51.68,41.89,31.57,37.41,28.62,69.29,69.29,59.52,47.35,40.31,41.89,36.13,36.58,36.58,40.22,31.09,22.6,27.94,20.64,77.17,78.22,76.89,76.76,78.08,92.65,76.6,51.38,69.77,47.07,86.36,86.36,78.22,58.27,52.13,51.75,47.0,46.72,46.72,49.29,39.65,30.94,35.97,28.49
21,0.00016358,0.17544,200.61408,200.78953,49.12,42.65,45.01,51.31,60.06,50.58,40.71,31.13,36.11,28.21,69.21,69.21,56.99,44.52,38.38,39.13,34.38,42.34,42.34,40.05,30.63,22.81,27.24,20.8,76.06,77.39,75.91,75.59,76.74,96.41,79.96,50.53,72.91,46.58,81.61,81.61,76.4,55.9,49.66,49.62,44.8,48.42,48.42,50.21,38.65,28.99,35.06,26.77
23,0.00016033,0.16930,196.03389,196.20320,58.56,53.4,54.96,60.13,68.32,48.88,39.65,29.85,35.35,27.03,79.07,79.07,55.65,43.41,37.63,38.32,33.66,52.72,52.72,38.36,29.57,21.61,26.51,19.64,83.68,84.89,83.42,83.27,84.54,93.12,77.37,48.35,70.86,44.57,94.89,94.89,73.88,53.92,48.26,48.47,43.68,59.88,59.88,46.48,35.41,27.71,32.88,25.77
25,0.00015714,0.16359,192.54555,192.70914,43.2,37.24,39.13,45.13,54.04,45.29,36.59,27.01,32.59,24.58,62.38,62.38,51.58,40.08,33.94,35.36,30.46,37.16,37.16,35.4,27.34,19.03,24.51,17.5,90.33,91.93,90.62,89.67,90.59,91.52,76.75,47.54,70.68,43.89,91.51,91.51,70.86,51.67,46.2,46.41,41.92,59.54,59.54,45.07,34.86,25.72,32.45,24.08
27,0.00015401,0.16057,189.66910,189.82967,40.88,34.23,36.71,43.15,51.93,47.26,38.22,27.39,34.23,24.89,58.61,58.61,51.95,40.03,33.41,35.54,29.95,33.23,33.23,36.25,27.58,18.81,24.99,17.24,71.73,73.04,71.47,71.29,72.6,89.44,74.22,46.97,68.15,43.36,73.63,73.63,68.88,50.12,46.11,44.73,41.6,40.22,40.22,42.4,32.86,25.5,30.15,23.51
29,0.00015094,0.15733,187.20927,187.36660,59.45,53.8,55.69,61.3,69.44,43.8,34.8,26.08,31.01,23.7,76.49,76.49,48.71,36.79,31.47,32.46,28.29,53.38,53.38,32.89,24.25,17.2,21.74,15.78,82.57,83.67,82.33,82.19,83.38,87.37,72.41,45.91,66.23,42.15,99.19,99.19,68.62,48.78,45.11,43.44,40.68,66.44,66.44,41.21,30.6,23.99,28.13,22.21
31,0.00014794,0.15330,185.04870,185.20200,53.85,48.68,50.45,55.52,62.93,45.14,35.83,26.56,31.89,24.05,68.84,68.84,49.32,36.89,31.23,32.6,28.05,48.68,48.68,34.49,25.07,17.59,22.51,16.07,76.6,77.53,76.33,76.33,77.41,89.08,74.67,45.64,68.71,42.45,84.24,84.24,67.01,48.48,42.48,43.63,38.48,57.05,57.05,41.98,31.97,22.88,29.83,21.36
33,0.00014500,0.15074,183.24560,183.39634,72.47,68.02,69.52,73.95,80.34,43.86,34.46,25.44,30.51,23.12,87.59,87.59,48.29,36.15,30.63,31.75,27.53,68.1,68.1,33.74,24.54,17.02,21.84,15.69,123.28,124.89,123.82,122.66,122.99,85.7,71.74,44.02,65.97,40.71,130.79,130.79,65.73,47.15,42.05,42.34,38.01,102.47,102.47,39.68,30.08,21.73,27.9,20.18
35,0.00014211,0.14845,181.65524,181.80368,48.93,42.82,45.33,50.95,58.7,43.81,35.09,25.4,31.29,23.07,65.71,65.71,48.43,36.48,30.53,32.26,27.48,42.1,42.1,33.18,24.82,16.36,22.32,15.07,90.78,91.88,90.51,90.36,92.18,86.34,71.25,44.18,65.61,40.83,92.32,92.32,65.54,46.94,42.24,42.22,38.32,62.03,62.03,40.04,30.13,22.6,27.88,21.1
37,0.00013928,0.14530,180.10297,180.24827,60.76,56.84,57.91,62.0,68.32,42.4,33.4,24.51,29.76,22.34,76.03,76.03,46.9,34.69,29.66,30.59,26.71,57.05,57.05,31.46,22.48,15.69,20.19,14.48,77.45,78.53,77.2,77.19,77.99,81.29,66.69,43.33,61.21,39.94,93.11,93.11,63.63,45.57,42.47,40.91,38.53,66.03,66.03,38.0,28.56,22.02,26.39,20.63
39,0.00013651,0.14310,178.74091,178.88402,37.87,31.19,33.86,40.24,48.35,43.61,34.5,25.92,30.72,23.5,54.54,54.54,48.93,36.62,31.38,32.35,28.18,30.26,30.26,33.36,24.47,17.75,21.97,16.21,76.5,78.19,76.51,75.95,77.02,84.09,69.89,44.17,64.23,40.7,75.1,75.1,63.05,44.62,41.84,40.03,37.76,43.27,43.27,37.84,28.29,22.36,26.06,20.56
41,0.00013379,0.14084,177.54082,177.68166,45.51,39.59,41.83,47.54,55.21,44.39,34.87,26.17,31.08,23.68,61.29,61.29,48.5,35.98,30.29,31.85,27.21,38.3,38.3,33.29,24.19,17.13,21.73,15.63,80.22,81.81,80.22,79.69,80.97,82.98,68.17,42.54,62.67,39.32,85.86,85.86,62.21,43.58,39.75,39.24,36.03,55.02,55.02,38.51,27.42,20.98,25.55,19.59
43,0.00013113,0.13925,176.40730,176.54656,36.62,30.07,32.59,38.89,47.25,41.35,33.05,23.86,29.44,21.73,53.67,53.67,46.23,34.37,28.86,30.4,25.97,29.39,29.39,31.09,22.87,15.38,20.54,14.17,72.64,73.98,72.51,72.22,73.33,84.98,71.02,43.27,65.37,40.01,74.8,74.8,61.59,43.98,39.12,39.88,35.5,41.94,41.94,38.02,28.45,20.16,26.6,18.82
45,0.00012852,0.13796,175.30428,175.44224,48.68,43.63,45.39,50.33,57.44,41.75,33.17,24.03,29.67,21.83,61.26,61.26,45.92,34.32,28.83,30.4,25.9,42.38,42.38,31.65,23.32,16.1,21.01,14.74,71.23,72.42,70.89,70.93,72.06,82.4,68.31,42.08,62.9,39.01,77.24,77.24,63.06,44.4,40.53,39.97,36.69,49.87,49.87,37.89,27.88,20.88,25.92,19.49
47,0.00012596,0.13587,174.20729,174.34316,39.31,32.93,35.31,41.57,49.63,42.46,33.42,25.04,29.68,22.8,55.22,55.22,46.44,34.14,28.97,30.12,26.11,32.43,32.43,32.18,23.02,16.29,20.62,15.05,63.2,64.34,62.65,62.95,64.53,82.83,68.31,42.93,62.8,39.64,72.52,72.52,64.0,45.07,41.22,40.51,37.38,38.34,38.34,39.26,28.56,20.71,26.47,19.38
49,0.00012346,0.13532,173.31023,173.44556,38.94,32.14,34.93,41.37,49.35,41.51,33.02,24.69,29.41,22.38,53.8,53.8,45.03,33.27,28.13,29.43,25.3,31.34,31.34,30.67,22.29,15.76,20.03,14.41,63.35,64.47,62.87,63.14,64.54,80.91,67.44,41.51,62.29,38.3,71.24,71.24,60.72,42.84,39.57,38.73,35.9,37.56,37.56,35.5,25.79,20.31,24.14,18.95
51,0.00012100,0.13260,172.39130,172.52390,50.45,45.41,47.15,52.15,59.12,41.33,32.73,23.65,29.31,21.53,64.67,64.67,45.1,33.4,27.86,29.63,25.06,44.61,44.61,31.25,22.68,15.07,20.52,13.91,67.63,68.63,67.05,67.47,69.02,81.19,66.71,41.56,61.78,38.41,73.82,73.82,59.55,41.83,38.12,38.02,34.7,43.3,43.3,36.14,26.34,20.0,24.8,18.83
53,0.00011859,0.13117,171.47489,171.60606,53.71,49.11,50.66,55.21,61.84,40.45,31.99,23.34,28.55,21.25,67.83,67.83,44.93,33.26,27.95,29.44,25.17,48.39,48.39,30.36,21.98,14.88,19.75,13.72,74.41,75.8,74.04,74.24,75.1,80.0,66.1,41.05,61.05,37.88,82.78,82.78,60.39,42.42,38.94,38.43,35.45,52.47,52.47,36.25,26.43,19.12,24.94,18.17
55,0.00011623,0.12981,170.72483,170.85464,38.52,32.81,34.87,40.49,48.04,39.97,31.4,22.98,27.99,20.89,53.09,53.09,44.67,33.2,28.15,29.34,25.32,32.38,32.38,30.47,22.06,14.93,19.8,13.72,62.58,63.97,62.14,62.37,63.49,81.36,66.99,41.33,61.87,38.21,65.86,65.86,60.06,41.68,38.33,37.71,34.88,35.81,35.81,36.64,26.09,19.69,24.42,18.45
57,0.00011392,0.12908,169.87036,169.99943,34.85,28.58,30.87,37.07,45.12,39.86,30.91,22.54,27.55,20.53,50.39,50.39,44.23,32.11,26.9,28.41,24.23,27.81,27.81,30.47,21.18,14.17,19.03,13.1,74.59,75.33,74.22,74.49,75.92,81.82,67.49,40.99,62.28,37.98,75.66,75.66,59.81,41.75,37.14,37.87,33.81,45.35,45.35,37.03,26.3,18.46,24.67,17.4
59,0.00011165,0.12780,169.11378,169.24159,33.42,26.7,29.32,35.93,43.81,40.66,31.75,23.23,28.31,21.09,48.69,48.69,44.07,32.15,26.93,28.46,24.23,25.99,25.99,30.28,21.49,14.43,19.32,13.24,68.56,69.64,68.27,68.31,69.56,80.91,67.34,40.8,62.11,37.77,66.08,66.08,58.74,41.14,37.58,37.14,34.08,33.6,33.6,34.93,25.22,18.36,23.54,17.2
61,0.00010943,0.12653,168.47349,168.60003,56.75,52.39,53.95,58.24,64.08,41.55,32.72,23.93,29.16,21.79,68.91,68.91,45.08,33.07,27.63,29.31,24.86,51.45,51.45,31.03,22.04,14.98,19.82,13.8,70.17,71.43,69.71,70.0,71.15,79.01,65.34,40.41,60.18,37.39,85.15,85.15,58.93,40.69,37.65,36.75,34.13,54.88,54.88,35.74,25.19,18.35,23.59,17.24
63,0.00010725,0.12525,167.79095,167.91621,57.17,53.03,54.31,58.53,64.74,40.02,31.44,22.5,28.04,20.5,71.0,71.0,43.93,32.3,26.9,28.61,24.25,52.84,52.84,30.18,21.55,14.27,19.37,13.2,79.27,80.68,79.17,78.97,79.61,79.59,66.12,39.89,61.08,36.93,96.11,96.11,58.15,40.33,37.94,36.41,34.35,66.64,66.64,33.84,24.09,18.35,22.56,17.14
65,0.00010512,0.12433,167.06265,167.18698,30.54,23.37,26.22,33.18,41.54,40.3,31.4,23.4,27.96,21.22,46.78,46.78,44.28,32.33,27.49,28.57,24.73,22.42,22.42,30.11,21.19,14.88,19.02,13.64,62.32,63.66,61.86,62.04,63.57,78.18,64.65,40.0,59.62,36.92,63.98,63.98,57.51,39.88,37.31,36.0,33.79,28.73,28.73,33.49,23.77,18.03,22.23,16.84
67,0.00010303,0.12307,166.44950,166.57257,31.06,24.28,26.91,33.52,41.77,39.67,31.14,22.83,27.74,20.73,46.71,46.71,43.65,31.99,26.91,28.32,24.23,23.04,23.04,29.99,21.44,14.4,19.26,13.25,64.81,66.08,64.56,64.53,65.93,81.07,67.39,40.42,62.18,37.45,66.17,66.17,59.07,41.48,37.61,37.53,34.17,31.98,31.98,35.59,26.01,18.2,24.38,17.14
