EXP_INFO, , ,PID,1868289, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/07_smalldata_ApcbHecb_M01V0201_vx1000/config.yaml -c ckpt/0502_AMASS_H36MMESH/07_smalldata_ApcbHecb_M01V0201_vx1000/ -gpu 6,7 -bs 256 -vertex_x1000 -out 050207", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/07_smalldata_ApcbHecb_M01V0201_vx1000/, , ,Config,ckpt/0502_AMASS_H36MMESH/07_smalldata_ApcbHecb_M01V0201_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.46809,376.42967,376.89777,134.46,133.62,134.1,134.71,135.55,154.66,132.23,98.24,115.79,87.21,161.78,161.78,189.44,163.22,99.95,143.55,89.01,132.41,132.41,149.66,128.39,97.56,112.52,86.7,234.37,238.32,235.1,232.72,232.5,296.96,255.66,119.47,226.87,110.62,248.32,248.32,289.01,250.18,123.67,222.18,115.69,217.58,217.58,264.37,225.83,120.18,201.3,112.07
2,0.00019800,0.39330,329.36454,329.75784,122.26,120.17,121.45,122.94,124.61,135.5,116.07,88.04,102.29,77.95,144.82,144.82,155.35,133.99,89.97,118.09,79.94,119.03,119.03,127.77,109.94,85.44,97.02,75.65,206.22,210.73,206.21,204.22,206.48,243.26,207.43,114.02,185.71,105.41,232.45,232.45,258.45,221.49,119.47,197.53,111.07,203.82,203.82,241.47,205.82,113.3,184.03,105.02
3,0.00019602,0.37473,318.59832,318.97306,143.9,140.15,142.46,145.19,147.96,131.12,111.94,86.96,98.78,77.14,160.68,160.68,136.07,116.49,87.28,102.85,77.67,139.61,139.61,123.23,104.64,82.03,92.5,73.01,221.56,225.69,221.37,219.68,222.41,240.86,206.07,113.65,184.79,104.81,247.39,247.39,252.8,217.77,118.46,194.62,110.06,217.05,217.05,234.2,200.93,110.52,180.04,102.22
4,0.00019406,0.36992,315.76075,316.13067,115.8,110.43,113.85,117.67,121.36,125.66,107.88,83.85,94.99,74.09,131.43,131.43,132.01,112.74,84.06,99.46,74.65,109.12,109.12,114.12,96.98,75.8,85.79,67.22,194.67,198.46,193.88,192.75,196.92,239.81,205.99,116.22,184.67,107.82,220.84,220.84,253.22,217.94,120.62,194.59,112.41,192.4,192.4,235.15,201.32,112.89,180.6,105.11
5,0.00019212,0.36147,311.07215,311.43362,107.17,101.52,105.11,109.15,113.03,124.15,106.84,83.34,94.13,73.73,121.98,121.98,126.72,108.57,81.91,95.86,72.81,100.42,100.42,112.62,96.24,74.77,85.3,66.52,180.9,186.25,180.0,178.31,183.34,226.07,194.13,109.27,173.66,100.84,205.61,205.61,238.63,204.29,116.08,182.32,107.53,175.45,175.45,219.92,187.02,107.56,167.45,99.09
6,0.00019020,0.36188,311.32127,311.68315,126.72,123.52,125.54,127.81,130.13,133.14,115.21,86.53,101.79,76.68,146.72,146.72,143.72,124.65,87.8,110.25,78.08,123.73,123.73,125.68,109.23,82.06,96.91,72.94,213.44,215.91,212.51,212.2,215.74,256.77,224.91,119.16,201.24,112.28,237.18,237.18,269.46,235.77,122.91,210.34,115.83,208.88,208.88,250.51,219.42,118.03,196.49,111.34
7,0.00018830,0.35839,309.35037,309.70876,111.09,105.0,108.92,113.21,117.29,123.65,106.38,81.93,93.71,72.36,125.45,125.45,126.05,107.79,81.24,95.31,72.11,103.17,103.17,110.13,94.24,72.68,83.46,64.42,187.6,192.5,186.27,185.22,190.93,223.43,191.2,107.09,171.4,99.01,214.88,214.88,240.9,205.37,116.42,183.55,108.1,185.13,185.13,220.87,187.19,107.94,167.9,99.62
8,0.00018641,0.34722,303.08736,303.43458,100.18,92.4,97.52,102.91,107.81,119.19,102.19,79.87,90.2,70.49,111.33,111.33,119.32,101.01,77.57,89.37,68.89,89.54,89.54,104.37,88.0,68.4,78.17,60.68,183.34,187.53,181.64,181.19,187.8,218.61,188.92,107.37,169.15,99.14,208.68,208.68,231.27,198.68,115.13,177.36,106.52,178.38,178.38,211.32,181.4,106.57,162.69,98.32
9,0.00018455,0.34456,301.52877,301.87333,119.72,112.46,117.23,122.28,126.81,118.77,103.07,79.77,90.78,70.35,133.59,133.59,118.29,101.0,76.57,89.3,68.06,109.67,109.67,102.48,87.43,66.85,77.62,59.37,203.8,208.7,203.18,201.32,206.03,222.35,192.63,105.38,172.49,98.1,235.63,235.63,249.4,214.72,114.1,191.4,106.04,197.22,197.22,215.15,184.39,103.3,165.32,95.77
