EXP_INFO, , ,PID,4040344, , , , ,train.py --config ckpt/0502_AMASS_H36MMESH/98_smalldata_ApcbHecb_Mmotionbert_vx1000/config.yaml -c ckpt/0502_AMASS_H36MMESH/98_smalldata_ApcbHecb_Mmotionbert_vx1000/ -gpu 0 -bs 720 -vertex_x1000 -out 050298, , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/98_smalldata_ApcbHecb_Mmotionbert_vx1000/, , ,Config,ckpt/0502_AMASS_H36MMESH/98_smalldata_ApcbHecb_Mmotionbert_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.58996,463.21752,463.80748,135.48,135.37,135.36,135.46,135.89,173.56,152.56,104.12,133.79,92.47,152.02,152.02,192.11,169.12,101.1,148.54,89.87,134.91,134.91,174.66,153.36,102.94,134.61,91.52,262.63,263.51,262.6,262.01,263.32,373.18,330.31,128.51,292.68,120.22,284.07,284.07,377.81,334.54,128.6,296.33,120.41,257.39,257.39,364.84,321.02,130.75,284.4,122.19
2,0.00019800,0.44008,359.47537,359.91545,119.26,118.5,118.92,119.5,120.28,146.84,124.43,98.49,109.49,87.63,135.21,135.21,156.7,134.01,97.18,118.07,86.53,117.89,117.89,144.76,122.66,98.07,108.13,87.32,252.46,253.17,252.15,252.1,253.21,355.35,315.84,120.37,279.91,112.6,276.59,276.59,364.99,322.9,126.85,286.5,118.79,247.32,247.32,349.59,309.86,122.26,274.56,114.18
3,0.00019602,0.41381,346.30516,346.71897,108.17,106.8,107.56,108.6,109.97,141.56,119.92,97.69,105.12,86.39,123.78,123.78,145.45,123.31,96.98,108.49,86.16,107.37,107.37,137.16,115.47,95.98,101.58,85.14,225.2,228.82,225.39,223.18,226.23,334.79,300.48,124.09,266.26,115.42,268.74,268.74,358.7,320.17,127.2,283.9,118.88,219.77,219.77,329.28,294.69,126.31,260.69,117.44
4,0.00019406,0.38512,333.14265,333.52777,113.03,109.96,111.83,114.0,116.59,134.47,113.87,92.96,100.23,82.36,125.72,125.72,135.17,113.96,91.97,100.53,81.8,109.13,109.13,127.51,107.17,88.43,94.63,78.72,212.67,218.07,213.15,209.92,212.79,322.85,290.78,122.48,257.04,113.34,241.19,241.19,337.67,300.68,127.82,265.53,118.73,199.67,199.67,312.13,279.63,124.83,246.68,115.26
5,0.00019212,0.37248,326.22848,326.60096,106.1,101.14,104.24,107.53,111.87,134.94,113.2,93.9,99.19,82.97,115.52,115.52,127.35,105.43,86.01,92.89,76.52,93.69,93.69,116.83,96.02,80.14,84.68,71.17,194.15,197.47,194.41,192.52,194.69,290.62,261.79,120.72,231.28,111.04,233.28,233.28,315.2,281.17,128.03,248.34,118.46,186.6,186.6,282.04,254.27,124.81,224.66,114.61
6,0.00019020,0.36197,320.43606,320.79803,103.97,98.55,101.9,105.5,110.51,129.36,109.42,90.43,96.03,79.81,112.04,112.04,120.64,99.66,80.48,88.0,71.73,89.07,89.07,107.99,88.27,72.27,78.17,64.3,178.06,181.05,178.64,176.17,179.01,261.29,237.46,117.17,209.72,108.0,218.97,218.97,287.11,257.59,123.66,227.48,114.25,166.02,166.02,242.07,220.17,118.9,194.26,109.24
7,0.00018830,0.35089,308.74508,309.09597,98.27,92.23,96.23,99.96,105.2,128.42,108.26,88.71,94.55,78.23,104.94,104.94,117.51,96.4,77.97,84.86,69.5,80.99,80.99,103.45,84.2,68.28,74.32,60.78,163.91,167.66,163.86,161.88,165.7,192.64,173.3,93.75,154.9,86.88,199.84,199.84,221.03,194.73,107.59,173.33,99.55,157.22,157.22,184.25,164.22,95.32,146.85,87.92
8,0.00018641,0.33500,298.97284,299.30785,97.5,91.57,95.65,99.11,104.25,119.95,101.88,83.68,89.41,73.78,101.89,101.89,108.41,89.38,73.11,79.11,65.09,76.03,76.03,94.0,76.49,62.85,68.06,56.09,135.63,138.14,134.63,134.16,139.43,166.89,149.84,89.81,134.37,82.82,173.95,173.95,195.26,171.46,103.24,153.09,95.25,132.16,132.16,160.55,143.22,90.06,128.56,82.9
9,0.00018455,0.32376,290.46115,290.78492,103.56,97.5,101.84,105.31,109.88,123.09,103.63,85.33,90.66,75.46,109.81,109.81,112.09,91.52,73.53,80.76,66.01,80.79,80.79,95.34,75.84,62.54,67.16,56.03,128.97,132.26,127.9,127.33,133.29,160.72,140.07,85.84,125.26,79.65,166.09,166.09,188.73,162.03,100.06,144.3,92.25,125.66,125.66,153.13,132.8,84.94,118.96,78.37
10,0.00018270,0.30657,281.56566,281.87223,96.77,93.68,95.86,97.06,100.94,117.9,99.89,81.52,87.5,71.81,100.18,100.18,103.21,84.0,68.19,74.25,60.73,73.31,73.31,87.72,70.02,57.05,62.17,50.87,120.7,123.61,120.8,119.54,122.69,131.51,113.22,74.16,102.08,68.03,154.05,154.05,159.1,132.51,91.06,118.63,83.18,112.42,112.42,122.18,102.66,73.28,92.36,67.03
11,0.00018088,0.29623,275.14157,275.43780,92.79,89.65,91.83,93.45,96.8,115.82,98.98,81.15,86.58,71.34,95.03,95.03,98.86,80.97,66.68,71.35,59.27,66.95,66.95,83.15,66.88,54.36,59.34,48.41,107.73,111.31,107.44,107.03,108.68,121.04,103.39,71.08,93.22,65.04,142.72,142.72,150.57,124.25,88.84,111.13,80.98,102.78,102.78,114.3,95.82,70.79,86.29,64.58
13,0.00017728,0.27981,266.30292,266.58273,95.53,92.76,94.42,96.25,99.34,113.44,97.42,80.12,85.08,70.37,95.25,95.25,94.86,77.44,64.6,68.1,57.44,69.46,69.46,78.54,63.18,51.11,56.09,45.59,92.13,94.48,91.98,91.26,93.79,111.01,93.97,63.36,85.22,58.15,122.81,122.81,135.84,110.42,82.47,98.72,75.17,85.65,85.65,100.47,82.87,62.43,74.72,57.09
15,0.00017375,0.26306,257.48251,257.74557,93.52,90.19,92.37,94.44,97.77,110.26,94.72,78.19,82.81,68.68,91.14,91.14,89.36,72.48,61.44,63.73,54.62,66.07,66.07,72.32,57.94,46.2,51.72,41.39,90.5,91.78,90.03,89.64,95.0,107.89,90.92,59.99,82.64,54.94,114.19,114.19,125.64,99.36,77.0,88.69,69.77,82.54,82.54,94.8,76.93,58.24,69.38,53.09
17,0.00017029,0.25746,252.88011,253.13757,89.59,86.45,88.42,90.32,93.96,108.6,93.65,76.95,81.88,67.56,89.38,89.38,89.72,73.15,61.68,64.26,54.81,62.55,62.55,72.0,57.9,45.63,51.53,40.78,95.55,96.84,95.18,95.11,97.76,106.58,90.16,59.13,82.08,54.37,116.09,116.09,123.82,98.69,75.57,88.04,68.75,81.18,81.18,91.37,73.99,55.93,66.66,51.09
19,0.00016690,0.24761,246.13331,246.38092,83.39,76.54,79.97,85.65,92.89,98.09,84.38,69.43,73.86,61.14,87.54,87.54,85.26,69.04,57.6,60.67,51.35,60.2,60.2,66.25,53.0,40.48,47.22,36.47,80.94,82.02,81.81,79.79,82.04,102.93,86.57,57.39,78.93,52.83,105.67,105.67,117.5,92.51,72.5,82.66,65.85,73.08,73.08,89.04,72.18,54.06,65.38,49.67
21,0.00016358,0.24201,243.05219,243.29420,71.84,60.78,65.99,76.16,86.77,87.64,74.86,61.47,65.86,54.5,84.16,84.16,83.71,68.31,57.28,60.14,51.04,54.91,54.91,65.61,53.02,41.09,47.29,37.06,88.31,89.29,88.22,87.76,90.16,99.45,82.65,55.75,75.02,51.22,112.72,112.72,116.1,91.44,72.57,81.44,65.9,76.97,76.97,85.81,68.78,53.3,61.72,48.62
23,0.00016033,0.22659,234.59463,234.82122,72.64,62.45,67.28,76.35,86.66,77.62,65.35,52.68,57.7,46.94,85.89,85.89,77.82,63.28,53.95,55.61,48.03,60.49,60.49,59.04,47.2,36.26,42.15,32.76,82.49,83.85,81.67,81.73,86.32,94.09,78.36,52.66,71.58,48.29,101.28,101.28,107.65,83.54,68.09,74.59,61.6,73.03,73.03,80.64,64.65,49.67,58.51,45.29
25,0.00015714,0.21906,228.86155,229.08061,63.57,54.52,58.85,66.78,76.1,72.7,60.9,47.29,54.06,42.43,80.64,80.64,75.83,61.9,51.28,54.63,45.85,53.17,53.17,57.62,46.29,33.62,41.59,30.63,83.85,85.71,83.9,83.22,84.98,92.83,77.77,51.18,70.89,47.14,100.61,100.61,104.22,80.96,65.51,72.28,59.45,70.1,70.1,77.03,62.31,46.9,56.36,43.02
27,0.00015401,0.21107,224.70744,224.91851,55.68,47.41,51.48,58.58,66.79,70.82,57.74,44.99,51.39,40.42,75.83,75.83,74.96,60.42,51.09,53.29,45.6,46.28,46.28,58.15,46.05,34.93,41.24,31.6,80.59,82.05,79.66,80.06,84.36,98.13,83.05,51.02,76.32,47.29,94.39,94.39,104.11,81.05,64.92,72.76,58.87,64.2,64.2,78.87,64.26,46.84,58.57,43.0
29,0.00015094,0.20514,220.53958,220.74472,57.89,50.8,53.91,60.35,68.41,68.78,56.11,42.67,49.84,38.32,78.99,78.99,74.05,59.71,50.11,52.46,44.62,49.75,49.75,57.08,45.66,33.86,40.76,30.55,88.96,90.87,88.79,88.47,89.95,93.09,78.62,49.06,71.98,45.39,104.98,104.98,99.03,76.48,62.05,68.34,56.26,72.19,72.19,71.97,58.47,43.2,53.1,39.73
31,0.00014794,0.20134,217.92558,218.12692,59.68,52.94,56.13,62.08,69.16,63.62,52.39,38.66,46.7,34.89,78.11,78.11,68.82,55.49,46.33,48.86,41.42,52.55,52.55,51.66,41.48,29.78,37.15,27.07,76.82,79.44,76.51,76.52,77.74,90.41,76.77,48.16,70.12,44.42,92.18,92.18,99.12,75.68,60.95,67.53,55.27,63.06,63.06,71.2,57.31,41.73,52.13,38.46
33,0.00014500,0.20197,217.66826,217.87023,54.47,47.88,50.54,56.69,65.01,63.48,51.67,38.53,46.13,34.76,75.1,75.1,69.16,55.21,46.14,48.71,41.27,47.53,47.53,52.15,41.38,29.69,37.2,27.04,86.11,89.13,85.72,85.43,87.63,90.47,76.27,47.95,69.86,44.2,101.74,101.74,96.03,73.61,60.1,65.81,54.46,70.9,70.9,70.07,56.39,41.73,51.26,38.3
35,0.00014211,0.19280,212.60129,212.79409,56.36,49.58,52.6,58.71,66.36,62.89,51.46,38.07,45.92,34.34,75.89,75.89,67.9,54.07,44.67,47.69,40.0,47.81,47.81,50.7,40.34,28.72,36.28,26.14,86.01,88.32,85.6,85.69,87.06,86.01,71.89,45.99,65.87,42.33,101.79,101.79,92.53,70.12,58.75,62.53,53.18,71.25,71.25,66.54,53.24,40.59,48.33,37.28
37,0.00013928,0.18879,210.32703,210.51583,56.26,49.56,52.62,58.6,66.01,61.41,50.15,36.47,44.88,32.98,74.68,74.68,66.34,52.41,42.88,46.29,38.44,48.29,48.29,49.93,39.84,27.69,35.94,25.28,82.31,84.29,82.11,81.96,83.65,87.1,73.16,46.17,67.16,42.5,99.8,99.8,92.63,70.81,58.71,63.3,53.13,69.45,69.45,66.99,54.07,39.7,49.28,36.45
39,0.00013651,0.18778,208.28721,208.47499,55.37,49.19,52.11,57.57,64.06,60.24,48.86,36.6,43.55,33.02,70.41,70.41,65.13,50.96,42.55,44.88,38.15,48.32,48.32,48.69,38.39,27.95,34.4,25.41,68.72,70.7,68.08,68.01,71.02,83.5,69.23,45.33,63.5,41.72,86.37,86.37,90.16,68.34,57.16,61.33,51.84,58.76,58.76,65.18,51.78,39.53,47.33,36.43
41,0.00013379,0.18704,206.41862,206.60567,59.47,53.34,56.25,61.64,68.11,60.18,48.41,36.11,43.2,32.59,73.98,73.98,65.05,50.36,41.62,44.46,37.33,52.62,52.62,49.14,38.34,27.78,34.36,25.22,70.67,72.65,70.35,70.21,72.27,85.51,70.27,46.36,64.23,42.62,88.06,88.06,90.38,68.27,57.26,61.14,51.85,60.33,60.33,66.41,52.54,39.83,47.86,36.6
43,0.00013113,0.18545,206.96046,207.14591,57.83,52.15,54.82,59.82,65.9,61.97,49.45,37.24,44.06,33.54,72.24,72.24,65.71,50.72,42.33,44.66,37.91,51.63,51.63,50.93,39.61,29.13,35.44,26.38,72.39,74.0,71.96,72.1,73.7,84.51,69.79,45.0,64.0,41.39,92.82,92.82,88.97,67.54,56.64,60.39,51.4,64.46,64.46,64.73,51.31,38.86,46.71,35.87
45,0.00012852,0.18034,203.35997,203.54030,49.24,43.01,46.04,51.47,57.79,60.7,49.38,36.29,44.03,32.81,62.71,62.71,64.57,50.46,41.45,44.56,37.2,41.92,41.92,48.98,38.93,27.18,34.96,24.8,64.68,66.32,64.28,64.23,66.44,79.51,66.34,43.32,60.79,39.9,79.52,79.52,86.89,66.46,55.01,59.56,50.12,51.83,51.83,63.24,50.86,37.76,46.47,35.05
47,0.00012596,0.17729,201.95324,202.13053,50.13,44.02,46.85,52.28,58.93,60.58,49.75,36.24,44.33,32.69,64.2,64.2,65.02,51.08,41.47,45.08,37.16,42.65,42.65,49.88,40.17,28.48,35.96,25.79,63.47,65.03,62.72,63.2,65.97,81.85,68.51,43.52,62.77,40.19,77.31,77.31,84.81,64.99,52.96,58.43,48.23,49.26,49.26,62.27,49.97,36.8,45.69,33.98
