EXP_INFO, , ,PID,899740, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/99_smalldata_ApcbHecb_Mcvpr_vx1000/config.yaml -c ckpt/0502_AMASS_H36MMESH/99_smalldata_ApcbHecb_Mcvpr_vx1000/ -gpu 4,5 -bs 360 -vertex_x1000 -out 050299", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/99_smalldata_ApcbHecb_Mcvpr_vx1000/, , ,Config,ckpt/0502_AMASS_H36MMESH/99_smalldata_ApcbHecb_Mcvpr_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.48889,393.61492,394.10381,122.78,122.16,122.47,122.96,123.67,150.52,128.5,96.5,113.39,85.96,150.33,150.33,173.19,148.74,96.66,130.79,86.13,122.39,122.39,147.35,126.27,95.81,111.63,85.46,249.74,250.28,249.94,249.48,249.47,352.88,310.9,127.76,274.88,119.89,267.29,267.29,355.7,313.23,130.44,277.01,122.27,246.94,246.94,348.24,307.17,127.92,271.62,120.02
2,0.00019800,0.42624,353.31219,353.73844,131.96,131.18,131.64,132.16,133.05,166.09,143.06,97.93,127.29,87.9,153.85,153.85,174.48,150.65,97.39,134.2,87.33,131.23,131.23,163.6,140.26,96.28,124.74,86.11,248.83,248.91,248.61,248.8,249.29,357.77,314.5,123.58,277.92,115.48,261.9,261.9,355.32,311.29,126.07,275.02,117.88,243.75,243.75,354.13,309.44,123.69,273.43,115.63
3,0.00019602,0.40474,341.60343,342.00817,114.96,112.9,114.21,115.66,117.19,148.25,124.05,98.32,109.14,87.3,136.23,136.23,159.18,132.01,98.71,116.24,88.08,114.38,114.38,147.28,121.71,95.54,107.35,85.05,217.72,220.03,217.33,216.56,218.67,331.29,293.42,120.93,259.73,111.63,239.03,239.03,337.78,295.33,127.45,261.4,117.9,209.7,209.7,323.03,284.3,120.95,251.97,111.38
4,0.00019406,0.39458,336.84130,337.23588,113.24,110.61,112.28,114.13,115.96,143.38,120.57,93.81,106.43,83.36,135.67,135.67,154.68,129.32,95.77,114.18,85.66,112.77,112.77,138.71,116.17,88.29,102.96,78.77,210.39,213.43,210.1,208.99,210.97,325.58,286.81,122.15,254.11,112.15,234.25,234.25,333.19,290.21,129.35,256.98,119.57,202.43,202.43,317.58,277.97,122.71,246.46,112.71
5,0.00019212,0.40348,342.65932,343.06280,150.07,148.88,149.52,150.45,151.61,141.73,121.74,94.43,107.2,83.87,171.18,171.18,156.74,134.23,96.47,118.03,85.95,147.87,147.87,137.52,118.75,92.91,104.78,82.71,231.85,236.59,232.74,229.62,230.28,331.46,294.23,124.51,259.95,116.04,265.8,265.8,341.19,301.07,134.56,266.19,125.3,223.41,223.41,324.63,286.97,125.51,253.76,116.74
6,0.00019020,0.39001,335.18075,335.57076,112.32,108.29,110.89,113.73,116.43,135.1,115.25,91.04,101.8,81.01,129.85,129.85,143.37,120.76,91.78,106.73,82.15,108.34,108.34,128.74,108.17,84.72,95.88,75.72,204.85,209.31,204.86,202.81,204.92,313.29,277.42,126.09,245.98,114.87,228.75,228.75,321.89,281.93,130.28,249.66,119.41,197.43,197.43,305.68,269.72,126.71,239.11,115.71
7,0.00018830,0.37165,323.23573,323.60739,103.69,98.78,101.82,105.42,108.92,125.19,107.01,84.46,94.65,74.94,122.91,122.91,134.53,113.62,85.58,100.62,76.3,100.64,100.64,118.74,99.8,77.91,88.63,69.42,198.11,203.92,198.34,195.4,197.7,315.33,278.78,123.81,246.58,113.78,223.78,223.78,318.18,280.03,130.68,246.82,120.34,187.59,187.59,299.88,265.25,125.73,234.13,115.43
8,0.00018641,0.37108,321.89783,322.26891,105.17,97.95,102.63,107.73,112.36,123.45,106.35,82.87,93.71,73.5,120.64,120.64,123.76,105.24,80.69,93.39,71.97,97.93,97.93,109.74,93.37,71.25,83.07,63.65,192.82,198.59,192.47,190.08,194.04,269.04,238.64,123.96,211.89,114.15,215.61,215.61,275.38,241.6,127.73,213.9,117.67,187.11,187.11,252.93,224.69,123.49,199.55,113.71
9,0.00018455,0.35186,306.09905,306.45091,100.65,91.93,97.62,103.73,109.26,121.94,104.55,83.08,91.86,73.4,114.39,114.39,122.25,103.67,81.03,91.72,72.03,88.35,88.35,105.55,89.51,70.81,79.17,62.88,165.28,171.11,163.59,162.22,169.78,216.89,186.43,105.96,167.21,97.27,190.86,190.86,231.61,198.78,111.52,177.43,102.55,161.98,161.98,211.42,181.73,103.64,162.8,95.21
