EXP_INFO, , ,PID,3897781, , , , ,"train.py --config ckpt/0503_AllDataTask/00_base050206/config.yaml -c ckpt/0503_AllDataTask/00_base050206/ -bs 256 -gpu 6,7 -vertex_x1000 -out 050300", , ,Checkpoint,ckpt/0503_AllDataTask/00_base050206/, , ,Config,ckpt/0503_AllDataTask/00_base050206/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.44411,361.50547,361.94958,125.99,126.33,125.82,125.94,126.14,147.47,125.26,97.03,109.95,86.25,126.47,125.63,126.21,126.72,127.33,149.99,127.11,97.82,111.6,86.82,128.07,127.24,127.79,128.33,128.97,152.22,128.95,98.25,113.08,87.25,149.57,149.57,167.76,142.94,97.52,125.62,86.75,126.71,126.71,147.79,124.87,97.44,109.83,86.57,243.59,244.09,243.76,243.39,243.24,351.7,305.91,127.83,270.67,118.26,241.54,241.53,241.49,241.28,241.96,346.46,301.94,125.85,267.44,116.59,243.69,243.72,243.64,243.4,244.06,348.84,305.32,125.81,270.51,116.54,261.24,261.24,352.79,306.61,129.01,271.2,119.9,247.02,247.02,351.29,305.71,128.61,270.4,119.18,212.11,212.38,211.92,212.19,212.23,275.82,232.06,99.26,205.66,90.95,209.19,208.94,209.06,209.25,209.47,272.84,228.95,98.19,203.09,89.69,212.44,212.19,212.28,212.52,212.75,275.63,231.97,99.04,205.58,90.79,223.32,223.32,275.2,231.84,99.22,205.47,90.86,213.36,213.36,275.41,232.19,99.11,205.73,90.86
2,0.00019800,0.39743,333.28925,333.68669,114.21,114.95,113.93,113.99,114.61,121.15,102.99,83.46,90.72,74.05,120.39,118.04,119.63,121.22,122.59,131.82,112.94,89.34,99.22,79.09,119.9,117.33,119.07,120.81,122.31,131.34,112.36,89.38,98.66,79.17,136.96,136.96,137.76,117.34,89.07,103.17,79.2,130.06,130.06,140.25,121.14,91.36,106.86,81.42,227.93,228.03,227.21,227.89,229.43,337.11,294.74,123.94,261.12,113.95,226.73,225.1,226.3,226.88,228.55,332.28,290.67,123.53,257.77,113.73,233.94,232.44,233.58,234.08,235.66,339.15,297.96,123.88,264.2,114.0,249.64,249.64,340.68,297.7,127.88,263.44,118.43,265.17,265.17,352.4,316.93,128.78,280.47,118.77,206.42,206.81,206.08,206.41,206.85,267.57,227.4,95.06,201.77,87.76,196.26,195.17,195.84,196.72,197.1,256.18,217.79,93.2,193.73,85.07,208.21,207.4,207.7,208.55,209.14,269.01,228.7,95.94,202.83,88.53,216.17,216.17,262.71,224.23,95.02,199.22,87.13,231.6,231.6,278.33,246.41,100.02,217.88,93.53
3,0.00019602,0.37473,320.49809,320.87282,93.6,94.39,93.29,93.34,94.14,109.23,89.67,71.51,79.31,63.52,106.42,102.67,105.21,107.74,109.88,127.17,107.79,84.92,94.78,75.1,106.31,102.5,105.08,107.67,109.82,126.84,107.1,85.14,94.2,75.29,118.6,118.6,126.08,104.98,81.28,92.47,72.25,130.55,130.55,134.82,115.53,83.27,101.77,74.2,224.61,225.5,224.59,224.04,225.12,319.15,278.97,119.19,246.68,109.18,228.66,225.94,227.68,229.25,231.3,323.29,281.75,124.81,249.3,114.75,233.52,230.43,232.52,234.2,236.43,327.74,286.82,122.54,253.82,112.3,247.46,247.46,324.18,281.79,127.41,248.76,117.56,247.93,247.93,331.91,294.63,122.47,260.14,113.07,192.45,192.78,192.03,192.55,193.04,261.51,224.58,95.29,198.76,87.93,182.25,180.74,181.77,182.86,183.28,250.4,213.09,95.98,189.42,86.8,196.87,195.85,196.26,197.34,198.11,266.14,228.74,97.79,202.26,90.2,200.19,200.19,252.14,215.38,96.45,191.28,87.56,201.65,201.65,260.88,226.12,95.62,200.41,88.83
4,0.00019406,0.36004,311.71615,312.07619,80.47,81.36,80.26,80.14,80.86,93.5,77.22,61.68,68.54,55.15,98.61,94.74,97.41,99.99,102.02,117.7,101.11,81.07,88.9,71.55,100.43,96.63,99.27,101.81,103.71,121.04,103.68,83.91,90.98,74.15,105.52,105.52,107.86,89.57,71.79,79.17,64.1,119.58,119.58,118.87,101.5,77.28,89.85,68.93,198.16,199.3,197.81,197.35,199.59,290.47,257.22,114.37,227.45,104.14,210.67,206.71,209.36,211.84,214.15,304.95,268.1,121.31,237.48,111.12,217.35,213.7,216.14,218.43,220.29,310.92,274.07,122.6,242.98,111.87,211.47,211.47,280.47,247.31,128.15,217.27,117.17,247.74,247.74,306.96,275.97,119.16,243.92,109.36,183.4,183.65,183.08,183.46,183.91,242.89,213.82,92.97,189.1,86.25,168.37,166.32,167.57,169.21,170.09,230.55,199.37,90.55,177.6,82.24,190.16,189.26,189.48,190.65,191.37,250.92,220.16,97.18,194.6,89.99,183.96,183.96,220.55,191.26,99.31,169.4,90.36,219.07,219.07,245.73,218.26,95.09,194.31,89.17
5,0.00019212,0.33610,297.20983,297.54594,75.01,79.05,76.02,73.46,72.24,88.59,73.07,57.79,64.85,51.48,85.17,78.67,82.07,87.68,93.09,100.22,85.27,68.83,75.13,60.85,89.39,83.78,86.93,91.49,95.85,105.1,90.3,73.56,79.4,64.89,94.29,94.29,94.6,77.8,63.26,68.69,56.34,135.37,135.37,137.86,118.76,83.65,104.98,74.83,157.67,165.4,158.9,154.3,155.06,199.11,171.84,95.56,154.58,88.19,166.57,151.44,161.98,171.57,180.72,213.87,183.93,103.6,165.36,95.59,177.47,165.05,173.91,181.49,188.22,228.03,196.29,106.07,176.45,97.81,166.17,166.17,184.25,159.34,98.11,141.53,89.95,231.68,231.68,248.08,227.11,119.53,201.36,110.99,154.15,156.67,154.48,153.19,153.12,192.44,170.2,81.55,151.99,75.75,140.43,134.19,137.91,142.65,147.67,175.83,153.74,79.16,137.73,72.16,161.13,157.18,159.26,162.65,165.84,201.46,178.2,85.47,158.99,79.26,146.29,146.29,164.14,141.68,80.99,125.15,73.59,215.71,215.71,218.81,204.11,100.8,180.74,95.92
6,0.00019020,0.31825,285.53143,285.84969,84.94,90.09,86.09,82.9,81.9,90.79,75.49,58.04,67.06,51.69,92.1,83.6,88.16,95.36,102.34,100.3,85.36,66.9,75.05,59.28,98.13,90.93,95.23,100.85,105.83,108.19,92.39,73.3,81.31,64.72,104.58,104.58,97.42,80.69,64.68,71.34,57.57,138.49,138.49,134.62,117.48,83.98,103.94,75.0,185.3,193.76,186.96,181.63,182.04,216.48,188.42,96.67,168.65,89.76,178.65,163.51,173.74,183.68,193.29,211.04,179.87,103.6,161.59,95.67,201.23,188.98,197.35,205.18,212.57,243.34,210.35,107.49,188.18,99.58,178.47,178.47,176.66,150.7,96.64,133.41,88.49,232.61,232.61,250.68,221.95,108.25,198.5,100.29,180.26,182.79,180.49,179.46,179.39,224.33,202.15,83.04,179.19,76.88,150.04,143.98,147.62,152.27,156.76,176.55,155.94,82.95,139.6,75.42,188.0,184.06,186.18,189.54,192.43,234.86,211.36,86.85,187.17,80.21,152.64,152.64,158.21,136.65,80.13,121.07,72.62,210.91,210.91,238.58,215.09,87.1,191.38,81.07
7,0.00018830,0.29961,274.80155,275.10116,67.45,68.02,67.67,67.22,66.94,70.49,56.95,45.01,50.57,40.28,77.83,68.86,72.38,81.55,91.23,84.73,71.2,57.43,62.77,51.02,84.13,76.79,79.92,87.18,94.51,93.64,80.14,65.64,70.39,57.99,90.28,90.28,84.77,68.48,57.02,60.36,50.81,163.86,163.86,200.09,176.87,80.01,155.54,71.32,107.03,111.15,107.04,105.03,107.77,122.97,104.65,69.33,94.4,63.63,136.48,107.61,128.52,146.35,161.43,170.09,142.81,91.96,128.52,84.27,144.76,118.62,137.48,153.6,167.57,180.65,152.66,95.35,137.48,87.47,121.28,121.28,123.17,100.2,78.08,88.46,70.93,203.63,203.63,232.12,208.19,110.28,187.07,102.7,127.38,128.4,127.22,127.05,127.96,142.23,126.67,69.69,114.07,65.2,119.92,108.57,115.49,124.09,132.32,138.02,119.83,73.38,108.2,66.24,142.91,136.96,139.84,145.2,150.66,166.51,147.13,82.32,131.88,76.12,113.35,113.35,111.57,91.28,64.39,80.81,58.25,176.36,176.36,193.63,174.34,87.55,158.47,83.07
8,0.00018641,0.27831,261.41829,261.69660,63.87,65.15,64.71,63.3,62.01,69.38,56.72,43.65,50.5,39.09,71.3,60.82,65.07,75.46,86.85,77.02,64.88,51.62,57.36,45.94,74.69,64.64,68.89,78.81,88.98,82.85,70.26,56.31,62.03,49.97,86.7,86.7,78.88,64.15,53.45,56.65,47.69,159.0,159.0,195.01,173.36,76.81,152.56,68.37,98.94,101.29,98.69,97.86,99.69,116.93,100.18,64.3,91.23,59.41,127.03,93.24,117.96,138.52,155.65,161.98,136.34,88.34,123.19,81.17,136.91,107.75,128.83,146.81,162.2,174.03,147.67,92.79,133.51,85.38,106.81,106.81,110.57,89.35,70.12,79.98,63.95,198.39,198.39,229.39,206.3,107.12,184.96,99.2,125.77,126.6,125.71,125.51,126.37,134.39,117.61,64.54,106.29,59.81,114.68,101.91,109.68,119.56,128.07,127.95,111.8,71.79,100.9,64.96,140.53,133.64,137.34,143.25,148.61,158.81,138.69,78.42,124.65,71.75,108.11,108.11,99.27,79.7,57.77,71.24,52.41,173.24,173.24,183.68,166.85,83.78,150.84,78.21
9,0.00018455,0.26466,253.33756,253.60221,70.26,69.86,70.22,70.39,70.42,66.86,53.42,40.61,47.49,36.61,74.09,64.76,68.52,77.34,88.72,73.62,61.82,48.29,54.52,43.07,80.43,72.77,75.65,83.2,92.76,82.43,69.22,55.07,60.98,48.92,93.15,93.15,77.35,63.04,53.18,55.44,47.34,150.28,150.28,190.49,168.9,76.7,148.09,68.27,117.55,119.25,118.01,116.82,117.44,105.47,88.34,59.24,80.13,54.19,142.83,110.88,134.16,153.94,169.51,155.73,129.0,84.9,116.09,77.44,154.2,127.65,146.81,163.27,177.05,170.79,142.46,90.32,128.48,82.48,127.28,127.28,97.01,75.98,63.1,67.78,57.01,217.29,217.29,239.46,212.28,103.39,191.17,96.16,116.68,117.34,116.51,116.73,116.8,128.67,112.83,62.94,101.91,58.2,114.26,101.04,109.22,119.32,128.01,116.77,101.69,66.21,91.68,59.74,133.32,125.78,130.03,136.05,142.31,153.23,132.93,76.17,119.69,69.56,107.56,107.56,85.3,68.48,52.28,60.96,47.47,178.35,178.35,187.75,169.03,81.78,153.65,77.2
