EXP_INFO, , ,PID,327340, , , , ,"train_DDP.py --config ckpt/0702_base070100/13_Train3dt_PWstrd1/config.yaml -c ckpt/0702_base070100/13_Train3dt_PWstrd1 -vertex_x1000 -fully_connected_graph -data_efficient -gpu 2,3,4,5,6,7 -bs 92", , ,Checkpoint,ckpt/0702_base070100/13_Train3dt_PWstrd1, , ,Config,ckpt/0702_base070100/13_Train3dt_PWstrd1/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshCompletion, , , , , , , , , ,MeshPred, , , , , , , , , ,MeshInBetween, , , , , , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshCompletion, , , , , , , , , ,MeshPred, , , , , , , , , ,MeshInBetween, , , , , , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshCompletion, , , , , , , , , ,MeshPred, , , , , , , , , ,MeshInBetween, , , , , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.48465,380.23517,380.71982,129.18,129.48,128.83,129.11,129.81,150.84,128.41,96.54,113.07,86.27,130.74,129.9,130.53,130.95,131.58,154.03,130.64,98.0,114.84,87.38,151.58,151.58,171.27,147.05,96.91,129.3,86.56,126.68,125.78,126.42,126.92,127.64,149.89,126.45,98.62,111.18,88.04,126.21,126.21,146.0,123.94,96.76,109.1,86.52,193.4,193.48,193.24,193.39,193.7,291.3,253.25,94.89,221.59,84.56,189.8,190.07,189.98,189.63,189.49,288.63,251.6,95.15,219.85,84.57,190.38,190.47,190.21,190.39,190.69,288.41,251.33,93.43,219.85,83.21,263.53,264.0,263.76,262.6,264.55,349.71,309.77,121.14,273.99,113.24,267.08,265.48,266.54,267.48,269.02,352.26,312.28,122.22,277.11,114.34,282.39,282.39,352.28,310.45,125.17,274.38,116.96,267.13,265.39,266.52,267.67,269.08,350.18,309.93,121.97,275.03,114.39,262.81,262.81,345.11,305.78,120.34,270.42,112.7,266.16,266.54,266.77,265.24,266.25,355.22,309.87,128.28,273.46,119.63,263.15,262.15,262.68,263.42,264.75,348.0,306.48,124.74,271.62,116.54,261.43,262.0,262.05,260.55,261.29,348.95,304.86,125.73,269.21,116.89,208.94,209.78,208.95,208.8,208.48,274.86,238.35,86.58,210.6,80.2,209.79,209.22,208.76,210.15,211.48,275.81,238.75,88.54,211.11,81.88,223.25,223.25,272.11,236.19,88.31,208.84,81.38,206.97,206.01,205.99,207.43,208.79,267.22,232.88,87.98,205.97,81.05,206.09,206.09,265.85,232.33,86.42,205.44,79.73,211.28,212.35,211.46,211.1,210.43,274.32,237.91,87.71,209.78,80.47,208.43,207.61,207.64,208.92,209.95,269.81,234.5,85.24,207.01,77.96,208.32,209.33,208.52,208.14,207.52,269.63,234.4,84.72,206.75,77.48
2,0.00019800,0.44962,359.03657,359.48620,121.44,122.05,121.07,121.26,122.1,133.55,114.84,91.3,101.33,81.41,123.6,122.3,123.2,123.99,124.87,139.78,119.65,93.65,105.29,83.31,138.48,138.48,144.25,123.47,93.95,108.72,83.81,122.64,121.35,122.21,123.04,123.97,138.63,118.8,93.15,104.47,82.84,120.99,120.99,132.11,113.77,90.91,100.32,81.04,149.69,149.91,149.4,149.68,150.16,243.05,215.44,95.4,188.4,84.86,149.14,148.7,149.15,149.22,149.36,241.09,215.3,95.6,187.94,84.73,147.89,148.08,147.56,147.92,148.48,239.3,213.59,92.31,186.75,82.04,231.41,232.28,230.93,229.93,234.32,341.72,301.85,118.11,266.72,109.3,239.04,236.11,238.8,239.55,241.37,346.94,306.5,120.3,271.72,111.68,240.64,240.64,335.07,295.04,119.49,260.55,110.77,228.73,222.24,227.41,230.68,233.98,332.52,293.32,118.96,260.31,110.28,216.84,216.84,321.35,284.26,111.57,251.23,103.25,235.38,236.3,235.13,234.07,237.29,339.55,295.3,119.14,260.64,110.89,240.02,235.89,239.45,240.96,243.39,336.69,297.14,114.69,263.28,106.35,232.26,233.55,231.82,230.78,234.54,332.59,291.66,111.6,257.39,103.15,198.17,199.28,198.1,197.87,197.85,271.63,235.94,87.3,208.66,80.87,199.1,197.99,197.73,199.63,201.62,270.99,235.19,88.78,208.18,82.2,201.61,201.61,261.93,226.83,89.2,200.2,81.63,178.55,176.61,177.01,179.4,182.01,250.12,217.09,86.27,192.01,78.32,176.5,176.5,250.44,217.46,84.82,192.07,77.21,192.05,193.14,191.92,191.79,191.9,262.02,226.02,83.76,199.51,76.2,194.17,191.62,192.68,195.23,197.62,258.9,224.8,80.43,198.77,72.89,190.11,191.25,189.93,189.75,190.07,255.46,221.63,77.03,195.86,69.78
3,0.00019602,0.42717,345.79584,346.22301,129.32,130.24,129.03,128.99,129.85,144.16,125.68,87.05,112.48,77.86,132.15,130.22,131.51,132.75,134.16,150.57,130.76,90.95,116.61,81.17,156.41,156.41,171.03,148.38,90.29,131.85,80.82,132.34,130.46,131.7,132.93,134.33,149.58,130.22,89.15,116.34,79.62,131.43,131.43,147.4,128.3,86.58,114.97,77.62,135.18,136.16,134.97,134.86,135.36,164.0,145.69,93.23,128.1,82.94,135.1,133.53,134.64,135.62,136.55,162.44,145.56,93.63,127.77,82.98,131.96,132.91,131.63,131.64,132.61,155.45,140.13,87.8,123.4,78.04,220.96,222.97,219.22,219.02,226.38,285.74,254.14,115.34,226.26,107.28,238.82,229.86,236.8,241.6,246.25,308.12,273.48,119.95,244.12,111.94,233.39,233.39,280.58,246.6,119.59,219.56,111.0,223.0,210.04,219.82,227.26,233.49,281.12,247.36,118.75,221.18,110.15,202.7,202.7,251.32,222.28,110.61,198.28,102.19,206.08,207.59,205.03,204.52,210.12,268.02,231.66,118.94,206.05,111.03,218.9,209.05,216.47,221.91,227.53,279.96,245.42,113.16,219.13,105.06,202.27,204.82,200.93,200.3,206.77,257.44,224.3,110.13,199.85,101.86,198.02,199.31,197.83,197.68,197.83,240.77,207.76,86.08,184.42,79.07,201.13,198.72,198.83,202.21,205.91,245.97,211.21,88.24,187.66,80.96,206.51,206.51,238.61,204.61,89.87,181.52,82.33,179.19,175.55,176.72,180.59,185.09,218.23,186.84,86.22,166.25,78.28,175.21,175.21,210.93,181.45,83.56,161.45,76.05,178.76,180.15,178.65,178.35,178.73,223.39,191.46,84.32,169.9,76.92,183.63,179.92,182.1,184.99,188.06,226.09,194.77,80.23,172.99,72.61,179.43,180.5,179.2,179.15,179.75,221.51,190.87,77.88,169.45,70.55
4,0.00019406,0.39578,326.70361,327.09940,104.27,105.47,103.42,103.82,106.07,123.3,105.27,84.89,92.66,75.23,112.37,107.75,110.94,113.96,116.58,135.43,115.52,91.32,101.44,80.93,128.85,128.85,141.74,119.7,92.85,105.34,82.74,111.36,106.97,109.99,112.9,115.37,133.71,114.3,89.9,100.28,79.67,104.27,104.27,122.71,105.14,83.99,92.53,74.52,123.64,125.17,123.22,123.09,124.32,153.85,130.22,86.82,115.37,77.46,126.06,121.74,124.56,127.56,130.38,153.91,133.38,84.04,118.06,74.76,117.98,119.8,117.43,117.27,119.0,141.98,122.81,76.76,109.24,68.44,167.89,174.02,165.43,164.26,174.55,225.38,194.04,107.11,172.88,98.68,195.18,178.62,191.7,200.54,207.9,261.74,224.61,115.61,200.75,106.94,193.28,193.28,238.92,203.25,117.03,180.4,107.78,187.14,166.1,182.42,193.9,203.94,252.62,214.27,116.44,191.57,107.46,153.33,153.33,207.38,175.81,107.07,156.55,98.06,168.12,171.97,165.51,165.46,175.11,224.94,190.28,110.77,170.4,102.27,188.24,169.94,183.59,194.67,203.05,245.91,210.62,105.97,189.05,97.67,156.65,161.91,153.85,153.45,164.16,203.51,173.7,96.34,156.1,88.11,157.37,159.35,156.95,156.58,158.1,203.02,175.96,84.01,155.97,76.9,164.61,160.57,162.31,165.98,170.59,213.37,184.12,86.64,163.43,79.53,168.51,168.51,203.41,172.93,87.42,153.11,79.54,139.77,133.13,137.09,142.15,147.34,184.95,157.15,83.34,139.86,75.46,131.37,131.37,173.28,147.88,80.03,131.33,72.42,139.55,142.43,139.51,138.49,139.54,180.54,152.32,81.8,136.19,74.09,147.09,140.16,144.68,149.54,154.13,185.7,158.78,78.01,141.9,70.36,138.32,140.89,137.83,137.11,139.43,173.33,148.34,71.58,132.72,64.46
5,0.00019212,0.38201,318.03171,318.41372,118.44,119.97,117.6,117.83,120.18,112.35,96.29,79.28,84.5,70.11,126.9,121.71,125.24,128.7,131.76,127.3,109.1,87.46,95.6,77.36,143.96,143.96,131.56,111.62,87.81,98.3,78.0,127.63,122.63,126.03,129.39,132.31,126.76,108.8,86.89,95.29,76.8,119.58,119.58,112.56,96.53,78.76,84.79,69.68,132.89,134.72,132.57,132.23,133.32,132.97,114.54,81.12,101.75,72.31,134.44,130.43,133.04,135.83,138.5,133.63,117.16,80.39,103.58,71.24,129.46,131.8,129.01,128.6,130.08,122.97,108.08,71.12,96.19,63.23,177.66,182.43,173.84,174.49,187.35,207.89,179.94,102.68,160.82,94.4,209.24,193.7,205.93,214.27,220.89,250.34,215.08,112.21,192.66,103.77,201.98,201.98,226.25,193.05,112.85,171.63,103.68,201.32,182.2,197.32,207.4,215.69,240.57,204.05,113.02,182.8,104.12,165.18,165.18,189.38,160.93,101.31,143.73,92.52,179.58,184.04,177.09,176.7,186.24,210.42,177.77,107.33,159.73,98.64,200.68,184.16,196.64,206.32,214.02,231.72,198.27,103.92,178.48,95.49,172.75,178.06,169.95,169.52,180.27,190.31,162.64,93.02,146.51,84.72,193.22,194.96,193.0,192.53,193.45,204.53,179.14,83.35,159.41,76.7,199.45,195.55,197.37,200.84,205.04,215.56,188.21,87.1,167.37,80.18,191.6,191.6,195.46,167.09,84.66,148.08,76.84,168.24,161.53,165.61,170.63,175.78,179.61,154.01,81.23,137.21,73.53,157.58,157.58,162.48,139.98,76.74,124.52,69.24,160.62,163.06,160.29,159.62,161.18,163.22,137.04,78.12,123.13,70.66,166.0,159.53,163.71,168.32,172.64,169.04,144.25,76.02,129.41,68.66,158.03,160.61,157.67,156.88,159.05,154.4,131.74,69.1,118.25,62.31
6,0.00019020,0.37276,313.15683,313.52959,89.56,91.13,88.3,88.93,92.27,108.13,92.34,75.52,81.49,66.74,100.21,93.63,98.14,102.53,106.2,124.09,106.43,85.6,93.61,75.52,116.88,116.88,129.02,109.43,86.3,96.68,76.6,100.11,93.63,98.06,102.39,106.02,124.04,106.49,85.78,93.5,75.64,90.89,90.89,109.29,93.23,75.72,82.24,66.97,102.04,103.66,101.46,101.38,103.18,122.48,105.91,80.17,94.59,71.4,102.62,96.94,100.69,104.59,108.2,122.28,107.56,79.27,95.52,70.19,94.41,96.83,93.61,93.46,95.98,108.41,95.9,69.34,85.93,61.6,160.92,167.39,158.99,156.85,167.04,199.26,173.49,103.16,155.31,94.67,185.76,170.04,182.01,191.08,198.42,237.48,205.19,111.91,184.23,103.26,186.11,186.11,214.94,184.51,112.35,164.29,102.85,177.32,158.33,173.01,183.68,192.33,230.6,196.33,111.74,176.35,102.79,146.53,146.53,181.88,155.68,100.16,139.4,91.37,158.35,165.12,157.0,154.61,162.29,197.39,165.63,104.21,149.29,95.83,175.93,157.0,171.47,182.54,190.7,222.3,188.66,101.86,170.29,93.83,144.47,152.51,142.86,139.97,149.41,172.53,146.32,88.77,132.41,81.05,144.28,146.39,143.71,143.42,145.52,188.24,166.11,82.19,147.76,75.5,151.62,146.27,149.04,153.45,158.76,200.57,175.77,85.92,156.21,78.98,152.73,152.73,186.22,159.49,85.66,141.49,77.48,127.6,120.34,124.94,130.05,135.43,170.33,146.27,82.18,130.49,74.34,116.63,116.63,153.51,132.85,77.73,118.26,70.16,116.34,119.14,115.92,115.07,117.44,148.16,123.98,76.71,111.73,69.26,124.87,116.86,122.18,127.59,132.64,157.5,133.85,75.71,120.19,68.1,111.94,115.25,111.16,110.42,113.74,137.58,117.09,67.44,105.56,60.63
7,0.00018830,0.36430,307.46603,307.83032,89.04,94.08,88.87,86.88,89.31,101.65,86.04,70.51,76.07,62.39,99.84,91.28,96.86,102.88,108.27,116.91,100.27,81.21,88.21,71.64,116.78,116.78,120.08,101.86,82.65,89.85,73.35,98.91,90.87,96.03,101.78,106.99,116.2,99.69,81.3,87.43,71.77,89.62,89.62,102.25,86.81,71.61,76.46,63.41,103.62,106.94,103.6,102.27,103.4,118.78,103.09,77.01,91.78,68.5,103.92,97.19,101.35,106.29,111.11,118.25,104.33,75.68,92.54,67.06,96.25,101.03,96.24,94.31,95.87,105.16,93.27,66.72,83.31,59.24,142.59,156.09,142.8,134.98,144.65,193.76,166.73,99.54,148.96,91.0,171.38,150.08,167.16,178.13,187.42,226.62,194.73,106.57,174.57,97.94,166.89,166.89,207.41,175.99,108.98,156.55,99.39,164.6,140.3,159.35,172.23,183.61,218.86,185.7,106.12,166.53,97.28,133.41,133.41,178.42,151.51,97.4,135.4,88.69,151.24,160.23,150.35,146.04,154.99,199.84,168.06,101.86,151.36,93.26,175.62,153.13,171.09,183.16,192.1,226.74,193.84,98.47,174.54,90.4,140.38,151.22,139.73,134.21,144.41,178.12,152.13,86.57,137.29,78.87,158.87,162.07,158.9,157.39,158.85,188.94,168.27,83.74,149.51,77.08,168.79,163.61,166.11,170.68,175.6,202.78,180.37,87.75,160.37,80.99,156.84,156.84,182.48,155.59,83.93,138.3,76.06,131.2,123.19,128.09,134.11,139.85,162.77,139.79,79.72,124.89,72.03,122.83,122.83,150.37,129.84,75.64,115.89,68.3,125.2,128.5,125.11,123.85,125.34,146.29,122.6,74.76,110.62,67.39,130.13,120.83,127.03,133.53,138.78,151.02,129.8,72.9,116.67,65.49,117.6,122.07,117.77,115.41,117.9,130.59,112.27,64.92,101.43,58.27
8,0.00018641,0.35902,303.48875,303.84777,105.34,110.74,105.31,103.1,105.14,98.94,82.64,68.13,72.81,60.47,116.15,107.24,113.01,119.35,124.94,115.91,98.69,80.79,86.44,71.33,132.81,132.81,116.28,97.8,80.3,86.11,71.37,115.62,107.22,112.59,118.66,124.05,114.49,97.5,79.79,85.4,70.45,106.52,106.52,98.42,82.73,68.16,72.86,60.49,120.17,124.06,120.35,118.63,119.45,118.24,101.42,75.27,90.32,66.98,119.77,112.92,117.14,122.22,127.08,115.96,101.79,73.34,90.33,64.97,111.99,117.41,112.15,109.81,111.21,101.04,89.1,62.27,79.8,55.38,154.9,167.73,155.93,148.07,154.71,184.45,158.96,99.43,142.44,91.12,180.03,161.31,175.96,186.09,194.72,217.92,187.3,106.56,168.54,98.14,178.32,178.32,195.49,165.79,106.13,148.15,96.94,172.2,150.5,167.3,179.33,189.19,206.76,175.42,103.4,157.83,95.02,146.11,146.11,168.04,142.64,94.56,127.91,86.36,156.98,165.51,155.98,152.56,160.17,184.37,154.07,97.5,139.48,89.21,176.95,156.24,172.07,183.92,193.17,209.4,177.66,95.19,160.58,87.55,143.86,153.93,143.15,138.43,147.32,157.67,133.9,80.55,121.76,73.47,170.43,173.24,170.64,169.22,170.07,177.39,159.03,81.77,142.09,75.37,178.41,173.11,175.75,180.35,185.22,190.48,169.46,85.28,151.44,78.47,167.01,167.01,165.91,142.16,82.17,126.84,74.35,144.68,136.64,141.6,147.49,153.62,150.51,129.82,77.95,116.32,70.42,135.75,135.75,135.04,117.72,72.92,105.36,65.77,137.17,140.7,137.35,135.48,137.22,136.61,114.95,71.92,104.03,64.78,142.46,133.21,139.54,145.82,151.17,143.22,123.61,70.31,111.34,63.13,130.15,134.78,130.3,127.92,130.45,121.13,104.76,60.5,95.01,54.22
9,0.00018455,0.35048,298.86865,299.21913,79.95,86.13,79.99,77.35,79.65,98.95,82.29,66.6,72.64,59.33,91.91,81.88,88.45,95.47,101.71,114.62,97.62,79.7,85.6,70.46,105.38,105.38,112.56,94.42,77.03,83.19,68.63,90.91,81.35,87.57,94.34,100.3,113.43,96.64,78.92,84.74,69.77,80.65,80.65,98.84,82.27,66.69,72.61,59.4,95.47,99.24,95.53,94.01,94.92,116.66,99.8,74.3,88.94,66.22,95.91,88.74,93.04,98.5,103.74,116.32,101.29,73.76,89.8,65.23,87.43,92.93,87.62,85.23,86.51,103.25,89.73,64.18,80.2,57.0,145.21,161.24,147.95,137.25,140.85,193.44,164.33,102.1,146.99,93.8,167.26,146.42,162.68,174.13,183.79,220.51,187.04,108.54,168.4,100.05,168.87,168.87,202.66,169.94,108.24,151.48,98.85,158.36,134.49,152.99,166.22,177.34,208.16,175.04,104.96,157.61,96.71,134.85,134.85,172.4,144.37,95.64,129.49,87.59,145.91,155.97,145.84,140.77,147.0,190.46,158.35,99.22,142.82,91.02,163.1,140.34,157.84,170.72,181.03,209.63,177.57,96.36,160.12,88.71,132.82,145.78,133.1,126.15,133.87,166.81,140.38,84.28,126.98,77.04,138.19,142.08,138.48,136.49,137.78,173.78,152.06,81.2,135.73,74.41,145.14,139.16,142.23,147.29,152.51,182.62,159.76,84.09,142.57,77.21,147.61,147.61,175.69,148.6,84.62,132.58,76.47,121.76,112.82,118.42,124.99,131.05,157.31,134.11,79.64,120.32,71.97,111.57,111.57,143.2,121.55,75.99,109.02,68.55,115.19,119.32,115.57,113.31,114.64,140.48,117.18,72.07,105.75,64.83,121.93,112.17,118.66,125.52,131.24,147.08,125.38,70.47,112.99,63.1,110.2,115.5,110.82,107.65,109.57,129.19,110.06,61.54,99.59,54.99
