EXP_INFO, , ,PID,659937, , , , ,train_DDP.py --config ckpt/0702_base070100/211_TrC_applyMask/config.yaml -c ckpt/0702_base070100/211_TrC_applyMask -vertex_x1000 -fully_connected_graph -data_efficient -apply_attnmask -gpu 0 -bs 164 -mp 8888, , ,Checkpoint,ckpt/0702_base070100/211_TrC_applyMask, , ,Config,ckpt/0702_base070100/211_TrC_applyMask/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,COCO, , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MeshCompletion, , , , , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.24330,204.02102,204.26432,9.0,143.95,0.0,0.0,0.0,9.65,8.46,5.47,7.58,5.03,9.25,9.25,8.55,7.16,5.44,6.37,4.93,9.69,154.98,0.0,0.0,0.0,10.85,9.41,5.17,8.47,4.7
2,0.00019800,0.16369,159.61470,159.77839,8.47,135.5,0.0,0.0,0.0,6.99,6.11,4.21,5.49,3.87,8.97,8.97,6.02,4.83,4.35,4.23,3.92,8.97,143.47,0.0,0.0,0.0,7.71,6.69,3.85,6.05,3.49
3,0.00019602,0.13936,149.21348,149.35284,6.33,101.22,0.0,0.0,0.0,6.79,5.97,4.03,5.36,3.71,6.56,6.56,5.5,4.34,3.95,3.8,3.56,6.24,99.83,0.0,0.0,0.0,6.77,5.71,3.52,5.16,3.2
4,0.00019406,0.12591,142.15456,142.28047,7.86,125.79,0.0,0.0,0.0,6.23,5.5,3.7,4.95,3.4,8.43,8.43,4.86,3.81,3.52,3.35,3.17,7.49,119.82,0.0,0.0,0.0,5.69,4.86,3.23,4.37,2.95
5,0.00019212,0.12123,138.29344,138.41466,6.05,96.8,0.0,0.0,0.0,5.94,5.24,3.51,4.73,3.24,6.51,6.51,4.63,3.64,3.35,3.19,3.02,5.15,82.35,0.0,0.0,0.0,4.93,4.11,2.99,3.69,2.72
6,0.00019020,0.11427,135.49499,135.60926,6.27,100.26,0.0,0.0,0.0,5.92,5.19,3.48,4.67,3.22,6.66,6.66,4.43,3.48,3.19,3.05,2.87,5.57,89.08,0.0,0.0,0.0,4.92,4.07,3.01,3.66,2.76
7,0.00018830,0.11079,133.62811,133.73889,6.31,101.02,0.0,0.0,0.0,5.83,5.15,3.39,4.65,3.13,6.52,6.52,4.35,3.42,3.15,3.0,2.84,5.36,85.77,0.0,0.0,0.0,4.54,3.83,2.76,3.43,2.52
8,0.00018641,0.10745,132.35069,132.45814,7.71,123.36,0.0,0.0,0.0,5.8,5.16,3.33,4.66,3.08,8.02,8.02,4.19,3.27,3.05,2.86,2.75,6.84,109.44,0.0,0.0,0.0,4.12,3.45,2.6,3.08,2.35
9,0.00018455,0.10268,131.27736,131.38004,6.98,111.62,0.0,0.0,0.0,5.65,4.98,3.26,4.5,3.02,7.19,7.19,4.13,3.21,2.98,2.83,2.69,6.01,96.12,0.0,0.0,0.0,4.2,3.49,2.61,3.12,2.38
10,0.00018270,0.10160,130.33100,130.43260,6.67,106.76,0.0,0.0,0.0,5.53,4.89,3.22,4.41,2.98,6.9,6.9,4.06,3.16,2.94,2.77,2.64,5.75,91.93,0.0,0.0,0.0,3.96,3.28,2.5,2.93,2.27
11,0.00018088,0.09860,129.38586,129.48445,7.6,121.52,0.0,0.0,0.0,5.63,4.98,3.23,4.5,3.0,7.87,7.87,4.08,3.15,2.93,2.77,2.65,6.66,106.56,0.0,0.0,0.0,3.84,3.19,2.44,2.86,2.21
13,0.00017728,0.09598,127.93926,128.03525,5.33,85.34,0.0,0.0,0.0,5.39,4.76,3.14,4.29,2.91,5.68,5.68,3.94,3.03,2.86,2.66,2.58,4.05,64.84,0.0,0.0,0.0,3.72,3.06,2.35,2.73,2.13
15,0.00017375,0.09707,127.06519,127.16226,7.04,112.57,0.0,0.0,0.0,5.35,4.74,3.12,4.27,2.88,7.62,7.62,3.81,2.95,2.78,2.58,2.5,6.17,98.66,0.0,0.0,0.0,3.56,2.92,2.26,2.6,2.05
17,0.00017029,0.09100,126.02388,126.11489,5.39,86.17,0.0,0.0,0.0,5.27,4.63,3.05,4.17,2.82,5.5,5.5,3.83,2.95,2.75,2.59,2.47,4.06,64.93,0.0,0.0,0.0,3.52,2.89,2.25,2.59,2.04
19,0.00016690,0.09080,125.22771,125.31851,6.76,108.09,0.0,0.0,0.0,5.14,4.53,3.0,4.08,2.77,7.38,7.38,3.72,2.87,2.75,2.51,2.47,5.94,95.02,0.0,0.0,0.0,3.46,2.88,2.22,2.58,2.01
