EXP_INFO, , ,PID,3728174, , , , ,"/home/wxs/Skeleton-in-Context-tpami/train_DDP.py --config /home/wxs/Skeleton-in-Context-tpami/ckpt/0802_CombineTasks_TrainSimul/00_Train2dt/config.yaml -c /home/wxs/Skeleton-in-Context-tpami/ckpt/0802_CombineTasks_TrainSimul/00_Train2dt -vertex_x1000 -fully_connected_graph -train_simultaneously -gpu 4,5,6,7 -bs 92", , ,Checkpoint,/home/wxs/Skeleton-in-Context-tpami/ckpt/0802_CombineTasks_TrainSimul/00_Train2dt, , ,Config,/home/wxs/Skeleton-in-Context-tpami/ckpt/0802_CombineTasks_TrainSimul/00_Train2dt/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshPred, , , , , , , , , ,MeshCompletion, , , , , , , , , ,MeshInBetween, , , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshPred, , , , , , , , , ,MeshCompletion, , , , , , , , , ,MeshInBetween, , , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshPred, , , , , , , , , ,MeshCompletion, , , , , , , , , ,MeshInBetween, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.48539,385.63321,0.00000,147.37,148.27,147.5,147.12,146.8,152.13,130.29,94.89,115.04,84.48,147.62,147.43,147.48,147.71,147.98,152.44,131.14,95.79,115.62,85.11,161.83,161.83,169.09,145.84,94.88,128.71,84.54,144.07,144.07,143.95,144.07,144.36,149.52,128.8,95.62,113.61,84.93,142.06,142.06,150.53,129.08,94.45,114.1,84.09,160.33,160.31,160.28,160.37,160.31,202.58,179.11,95.58,157.84,85.1,161.83,162.18,161.85,161.73,161.67,207.64,183.71,94.56,162.02,84.36,162.39,162.39,206.27,182.68,94.03,161.1,83.88,261.77,260.97,261.41,261.89,263.44,359.14,315.94,135.37,279.46,127.17,265.56,264.61,266.79,265.24,264.58,358.69,316.21,135.45,280.51,127.69,276.5,276.5,357.08,313.69,136.17,277.25,127.85,262.8,261.56,263.89,262.6,262.22,353.66,312.39,134.99,277.01,127.31,258.98,258.98,353.07,311.26,135.01,275.28,126.89,299.04,297.76,300.07,299.14,298.14,386.79,348.7,130.24,311.84,122.45,301.21,301.04,301.49,301.04,301.81,394.65,354.41,132.33,316.34,124.01,289.81,289.81,382.61,341.55,131.75,304.14,123.39,224.26,226.0,224.57,223.52,223.38,270.05,232.9,102.37,206.05,94.5,222.07,222.44,222.08,221.88,221.89,267.66,230.76,101.69,203.91,93.77,232.93,232.93,266.47,231.23,101.93,204.42,94.24,219.47,219.66,219.39,219.25,219.65,260.55,227.25,99.85,200.89,92.21,220.81,220.81,262.43,229.5,100.17,203.06,92.7,244.64,244.95,244.78,244.37,244.03,295.22,255.19,102.98,226.57,94.31,255.04,256.1,255.85,254.52,253.76,309.05,270.05,102.38,241.39,94.11,236.11,236.11,286.87,245.17,103.99,217.39,95.29
2,0.00019800,0.44350,355.36520,0.00000,125.31,126.1,125.35,125.06,125.0,150.23,125.9,98.24,110.75,87.33,125.18,124.74,124.95,125.35,125.8,149.96,126.52,98.99,111.16,87.85,144.36,144.36,161.64,136.55,98.09,120.01,87.31,124.09,123.67,123.86,124.24,124.68,147.7,124.98,98.29,109.82,87.2,124.96,124.96,147.7,123.95,97.58,109.0,86.71,140.97,140.37,140.73,141.21,141.62,174.67,149.94,97.73,131.81,87.09,139.04,139.45,138.93,138.95,139.11,171.39,147.46,96.08,130.01,85.82,139.96,139.96,171.12,147.68,94.77,130.14,84.64,252.13,252.13,252.38,251.91,252.76,362.7,317.66,132.05,279.96,125.18,255.3,253.81,256.33,255.16,255.07,362.3,318.6,132.78,281.6,126.27,265.6,265.6,358.25,313.33,132.17,276.02,125.09,248.69,245.55,249.12,249.1,250.13,354.31,312.17,129.95,275.91,123.64,244.21,244.21,354.11,310.53,129.26,273.66,122.6,285.3,283.8,286.12,285.57,284.46,383.77,343.21,124.55,306.73,116.09,288.97,289.93,289.44,288.39,288.75,393.03,351.29,126.65,312.76,118.02,272.23,272.23,376.85,333.67,124.99,296.28,116.15,207.59,209.41,207.73,206.91,206.93,270.1,234.36,96.51,207.41,89.6,206.28,206.62,206.46,205.95,206.17,268.05,232.17,96.07,205.4,89.02,216.91,216.91,266.7,231.94,97.01,205.52,90.0,201.9,201.73,201.77,201.8,202.47,263.84,231.13,94.85,205.2,87.99,203.13,203.13,265.12,232.19,95.06,206.13,88.41,254.7,254.7,254.53,254.61,254.72,321.12,280.33,101.65,250.24,92.46,267.2,268.56,268.08,266.19,265.83,334.66,295.71,100.63,265.3,92.04,239.53,239.53,303.21,262.58,99.57,233.48,90.58
3,0.00019602,0.42830,345.84824,0.00000,124.53,125.15,124.38,124.36,124.64,153.37,128.87,98.03,113.42,87.15,125.34,124.7,125.02,125.56,126.22,152.76,129.87,99.26,114.17,88.09,144.38,144.38,160.27,135.33,98.02,118.94,87.26,124.45,123.79,124.11,124.68,125.38,147.44,125.79,97.82,110.47,86.74,123.81,123.81,146.87,124.03,96.27,109.09,85.53,134.99,134.18,134.66,135.29,135.88,159.47,135.65,99.22,119.08,88.45,133.85,134.25,133.72,133.74,134.03,156.66,132.97,97.92,117.09,87.5,134.51,134.51,156.63,133.17,96.41,117.25,86.18,253.29,253.61,253.47,252.76,254.06,359.06,314.08,130.63,277.05,123.25,256.17,254.92,257.01,255.94,256.18,359.91,315.4,131.81,278.99,124.71,267.39,267.39,353.9,308.93,131.12,272.54,123.63,249.01,246.36,249.41,249.2,250.37,350.64,307.21,128.85,271.91,122.04,244.48,244.48,348.07,304.45,127.18,268.67,120.19,282.21,280.67,282.87,282.22,282.64,382.77,339.37,121.28,301.77,112.76,279.85,281.02,280.3,279.03,279.7,384.91,339.3,123.33,300.42,114.55,274.1,274.1,380.94,334.39,121.49,295.7,112.46,206.81,208.66,207.16,206.06,205.55,267.77,231.34,96.38,204.71,89.11,206.01,205.97,205.7,205.96,206.67,266.43,229.86,96.04,203.24,88.66,217.35,217.35,263.54,228.16,96.44,202.19,89.11,197.09,196.48,196.64,197.29,198.12,258.14,224.63,93.13,199.47,86.01,197.79,197.79,258.04,224.91,93.7,199.74,86.74,222.7,222.94,222.7,222.55,222.55,299.19,250.55,105.13,221.44,95.6,233.57,235.24,234.07,232.82,232.34,307.23,263.13,103.37,233.63,94.41,219.36,219.36,295.56,246.89,105.74,217.9,96.04
4,0.00019406,0.42013,341.26335,0.00000,135.26,135.7,135.03,135.18,135.59,146.89,125.52,94.68,110.96,84.57,137.62,136.51,137.14,138.04,138.83,148.97,128.74,96.85,113.63,86.28,160.85,160.85,170.59,146.99,95.18,129.53,84.84,135.83,134.96,135.46,136.17,136.77,149.2,130.08,95.15,114.72,84.65,134.45,134.45,149.29,128.55,93.37,113.54,83.26,150.11,149.0,149.71,150.54,151.18,164.05,140.66,98.51,124.06,88.28,148.64,148.78,148.33,148.66,149.16,162.02,138.64,97.25,122.72,87.4,148.19,148.19,159.93,136.67,95.8,120.88,86.11,257.4,257.86,257.82,257.08,257.67,355.55,311.86,133.87,275.14,126.45,260.62,259.09,261.4,260.52,260.82,355.79,313.11,133.47,277.05,126.47,273.9,273.9,351.17,307.87,133.59,271.72,126.02,253.98,251.25,254.5,254.21,255.12,345.9,304.19,131.44,269.43,124.58,248.99,248.99,344.54,301.95,130.58,266.74,123.31,291.42,289.73,292.16,291.41,291.22,384.28,345.16,122.32,308.1,114.1,286.46,287.12,286.93,285.86,286.85,385.23,344.08,124.85,305.2,116.34,281.07,281.07,378.3,336.92,122.96,298.79,114.13,207.61,209.33,207.78,206.88,206.87,264.66,230.22,96.65,203.89,89.62,207.51,207.61,207.57,207.34,207.5,263.2,229.02,95.55,202.67,88.52,221.02,221.02,262.65,228.69,97.69,202.77,90.39,200.51,200.13,200.37,200.49,201.05,256.44,223.65,94.3,198.8,87.15,201.57,201.57,258.61,225.62,95.3,200.64,88.29,230.44,230.33,230.33,230.28,230.65,302.76,259.41,105.08,229.1,96.12,239.99,242.2,240.43,238.95,239.11,312.42,272.44,103.56,241.77,95.08,231.37,231.37,304.02,259.92,106.23,229.67,97.08
5,0.00019212,0.41302,336.43571,0.00000,129.79,130.5,129.61,129.59,130.01,142.4,120.93,94.85,106.62,84.57,131.77,130.48,131.24,132.24,133.22,145.35,124.39,97.26,109.49,86.48,149.86,149.86,154.51,131.14,96.06,115.47,85.61,128.8,127.76,128.38,129.17,129.96,142.12,122.47,95.7,107.83,85.0,127.56,127.56,140.23,119.33,93.1,105.29,82.91,135.91,134.34,135.37,136.49,137.42,161.37,137.51,99.17,121.45,89.17,133.45,133.72,133.17,133.4,134.0,155.21,132.21,96.89,117.06,87.17,134.34,134.34,158.39,135.08,95.9,119.57,86.48,254.06,254.43,254.4,253.46,254.93,346.85,305.15,133.34,269.12,126.32,258.86,256.04,259.34,259.19,259.98,348.62,307.38,133.52,271.92,126.94,268.99,268.99,341.46,299.63,132.71,264.39,125.35,249.46,244.93,249.47,250.37,252.04,335.14,294.67,131.35,261.07,124.58,241.92,241.92,330.56,290.38,129.28,256.33,122.26,285.29,283.55,286.44,285.29,284.97,383.42,342.77,119.89,304.35,111.65,291.09,291.89,292.2,290.32,291.06,393.23,350.89,121.85,310.99,113.36,281.75,281.75,386.49,343.95,118.51,304.26,109.66,200.63,202.69,201.0,199.7,199.28,257.48,222.78,96.86,196.8,89.75,199.97,199.81,199.72,199.89,200.77,256.71,222.01,95.06,196.05,88.06,211.61,211.61,254.94,219.94,97.14,194.58,89.81,190.8,189.86,190.29,191.02,192.29,246.53,213.08,93.97,188.9,86.78,191.64,191.64,247.28,214.06,94.0,189.83,87.06,218.68,218.8,218.48,218.41,219.36,306.18,262.3,106.18,230.65,97.03,231.1,233.45,231.78,230.1,229.55,315.06,273.51,101.13,242.21,92.81,216.79,216.79,303.68,259.83,103.21,228.76,94.19
6,0.00019020,0.40615,332.38409,0.00000,132.84,133.83,132.71,132.49,132.96,140.01,118.85,93.9,104.81,83.48,135.01,133.57,134.41,135.53,136.61,144.33,123.1,96.37,108.33,85.47,153.54,153.54,153.26,130.02,95.97,114.52,85.49,132.67,131.35,132.1,133.15,134.18,141.97,121.21,95.3,106.56,84.49,130.67,130.67,139.08,118.09,92.72,104.08,82.41,164.25,162.53,163.59,164.88,166.11,162.32,138.29,99.76,121.91,89.65,157.82,158.35,157.61,157.66,158.19,156.01,132.84,96.66,117.39,86.86,162.22,162.22,157.15,134.01,95.86,118.49,86.38,246.37,246.34,245.34,246.21,249.09,346.4,302.62,134.93,267.2,126.84,252.43,250.18,253.15,252.51,253.0,347.49,304.16,135.02,269.36,127.33,266.26,266.26,344.29,300.11,135.1,265.13,126.55,248.92,245.44,249.36,249.35,250.43,338.38,295.81,133.58,262.21,125.65,240.4,240.4,334.57,292.13,132.25,258.21,124.04,290.01,289.85,291.19,289.42,288.91,371.69,328.1,119.08,290.14,110.83,286.75,286.44,285.87,286.64,288.73,378.3,332.51,121.67,293.41,113.01,289.55,289.55,377.39,331.96,117.65,292.9,108.97,225.73,227.56,226.01,225.01,224.76,261.56,225.0,99.44,199.27,91.61,225.98,225.42,225.51,226.08,226.92,260.11,223.34,98.69,197.79,90.79,240.34,240.34,260.7,223.24,100.42,197.95,92.26,216.75,215.56,216.08,217.07,218.21,251.89,217.02,96.25,192.97,88.32,216.08,216.08,253.01,218.5,96.02,194.4,88.44,260.88,260.32,260.38,260.83,261.86,301.59,257.36,104.53,226.83,95.96,253.46,255.18,253.86,252.87,252.39,297.8,255.96,101.27,225.78,93.08,262.03,262.03,303.13,259.47,101.68,229.07,93.35
7,0.00018830,0.40334,331.15053,0.00000,120.76,121.54,120.45,120.49,121.31,141.14,121.43,91.97,107.68,81.71,126.26,124.25,125.57,126.97,128.17,148.74,129.04,95.18,114.34,84.33,147.5,147.5,161.22,139.9,95.2,124.35,84.75,126.84,125.0,126.23,127.48,128.57,151.38,132.4,95.0,117.36,84.2,125.78,125.78,149.06,129.62,91.82,115.2,81.63,123.65,121.25,122.83,124.51,125.99,153.73,130.9,96.1,115.42,86.24,121.92,122.45,121.56,121.76,122.63,149.72,127.08,94.28,112.37,84.65,119.47,119.47,146.77,124.52,91.74,110.14,82.57,247.79,248.94,248.22,247.02,247.92,340.01,298.87,141.51,264.19,132.3,251.43,248.55,251.73,251.89,252.62,341.1,300.02,140.67,266.13,132.02,267.99,267.99,339.86,297.83,140.91,263.51,131.32,245.21,241.47,245.33,245.91,247.06,332.48,291.53,139.84,258.95,130.7,239.63,239.63,329.8,288.95,139.51,255.84,129.98,262.08,260.6,262.53,262.06,262.66,364.49,320.45,120.41,283.28,111.97,262.19,263.3,262.89,261.42,261.82,367.95,321.11,122.5,282.87,113.71,259.86,259.86,366.75,320.66,119.51,282.53,110.7,202.62,204.38,203.01,201.7,201.51,256.49,220.13,105.46,194.49,96.47,202.4,202.16,202.12,202.4,203.22,254.92,218.77,104.37,193.14,95.41,217.01,217.01,254.44,217.76,105.49,192.54,96.3,191.66,190.91,191.2,191.83,192.94,243.34,208.2,101.86,184.27,92.65,191.83,191.83,244.51,209.52,101.96,185.57,93.03,208.59,208.14,208.26,208.46,209.74,287.58,243.87,105.53,214.71,96.84,207.41,209.34,207.55,206.72,206.55,283.82,241.41,101.33,212.83,93.18,209.15,209.15,287.02,244.08,102.45,215.24,94.06
8,0.00018641,0.39510,326.28155,0.00000,111.49,112.38,111.07,111.14,112.33,132.48,113.42,90.47,100.33,80.5,116.57,113.99,115.68,117.47,119.13,141.8,121.23,94.73,106.95,84.06,134.29,134.29,146.07,124.85,94.97,110.29,84.61,115.34,113.08,114.56,116.13,117.6,138.8,118.86,93.82,104.84,83.24,111.95,111.95,132.1,113.21,89.77,100.13,79.83,132.72,130.27,131.85,133.63,135.1,165.09,139.4,100.05,123.59,90.31,130.24,130.77,129.85,130.08,130.98,161.05,135.21,98.63,120.33,89.15,129.58,129.58,158.49,133.34,95.7,118.66,86.71,235.62,236.09,235.72,235.09,236.76,342.39,300.04,136.13,265.04,128.07,240.56,237.74,241.11,240.87,241.61,344.62,302.26,136.3,267.73,128.66,255.38,255.38,342.39,299.79,136.36,264.8,127.75,231.87,227.73,232.07,232.62,234.06,333.09,291.34,134.93,258.43,126.83,226.25,226.25,331.1,289.42,133.13,255.92,124.76,255.2,253.83,256.02,254.98,255.35,362.73,320.37,123.02,282.82,114.88,251.77,252.11,252.02,251.32,252.38,365.53,320.48,124.25,282.11,115.78,251.92,251.92,364.18,320.12,122.42,281.7,113.9,194.72,196.81,195.11,193.84,193.47,257.57,222.43,97.97,196.86,90.45,194.86,194.46,194.41,194.83,196.2,256.59,221.77,96.95,196.17,89.5,210.76,210.76,256.31,220.68,100.07,195.47,92.02,184.39,183.54,183.77,184.5,186.09,244.68,210.72,95.71,187.1,87.85,186.05,186.05,247.66,213.51,95.64,189.6,88.04,204.69,204.35,204.39,204.51,205.71,286.89,244.09,106.56,214.72,97.42,202.87,204.85,203.03,202.18,202.02,282.74,241.74,102.31,212.96,93.88,204.95,204.95,285.79,243.78,103.84,214.63,95.06
9,0.00018455,0.39248,325.56133,0.00000,121.47,122.59,121.11,121.04,122.17,129.58,111.56,89.3,98.53,79.33,125.54,122.81,124.58,126.5,128.28,138.67,118.96,93.5,104.68,82.85,145.02,145.02,141.77,122.01,92.89,107.6,82.7,124.2,121.73,123.31,125.07,126.76,135.44,116.09,92.13,102.1,81.65,121.04,121.04,128.49,110.49,88.12,97.55,78.34,142.09,140.06,141.28,142.8,144.33,153.06,129.95,95.09,114.29,85.2,140.53,141.5,140.37,140.17,140.73,152.71,128.51,95.11,113.39,85.47,139.47,139.47,147.35,124.43,90.84,109.81,81.67,231.39,231.65,230.68,230.76,234.2,336.02,296.07,139.86,261.69,131.31,238.71,235.64,239.19,238.94,240.27,339.17,298.5,140.35,264.65,132.11,253.41,253.41,337.9,296.73,139.24,262.36,130.23,233.43,229.44,233.66,233.95,235.71,331.13,290.18,137.65,257.64,129.11,225.01,225.01,326.3,286.56,136.81,253.64,127.97,268.62,267.87,269.81,268.0,268.3,367.42,325.26,119.74,287.16,112.28,265.68,264.79,264.98,265.77,267.96,372.55,327.55,121.31,288.51,113.45,266.12,266.12,368.67,325.48,118.31,286.42,110.62,204.8,206.47,205.18,203.98,203.81,253.69,219.34,101.83,193.82,93.68,204.99,204.32,204.22,205.19,206.65,253.07,218.49,101.38,192.9,93.13,222.32,222.32,252.06,217.47,103.7,192.38,95.0,196.26,195.18,195.27,196.6,198.43,242.7,209.18,99.51,185.31,90.96,196.39,196.39,242.84,209.96,99.78,186.17,91.43,224.0,223.51,223.45,223.95,225.31,288.1,245.85,102.92,215.9,94.59,220.57,222.65,220.77,219.83,219.59,284.85,243.95,99.92,214.5,92.08,224.14,224.14,286.32,244.89,100.07,215.3,91.99
